,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51
0,Part_id,NT_EASY,NT_MEDIUM,NT_HARD,TR_EASY,TR_MEDIUM,TR_HARD,RTM_EASY,RTM_MEDIUM,RTM_HARD,RFRF_EASY,RFRF_MEDIUM,RFRF_HARD,RV_AVG_DUR_1_EASY,RV_AVG_DUR_1_MEDIUM,RV_AVG_DUR_1_HARD,RV_AVG_DUR_2_EASY,RV_AVG_DUR_2_MEDIUM,RV_AVG_DUR_2_HARD,RV_AVG_DUR_3_EASY,RV_AVG_DUR_3_MEDIUM,RV_AVG_DUR_3_HARD,RV_AVG_DUR_4_EASY,RV_AVG_DUR_4_MEDIUM,RV_AVG_DUR_4_HARD,RV_AVG_DUR_5_EASY,RV_AVG_DUR_5_MEDIUM,RV_AVG_DUR_5_HARD,RV_AVG_DUR_6_EASY,RV_AVG_DUR_6_MEDIUM,RV_AVG_DUR_6_HARD,RV_SUM_FIX_1_EASY,RV_SUM_FIX_1_MEDIUM,RV_SUM_FIX_1_HARD,RV_SUM_FIX_2_EASY,RV_SUM_FIX_2_MEDIUM,RV_SUM_FIX_2_HARD,RV_SUM_FIX_3_EASY,RV_SUM_FIX_3_MEDIUM,RV_SUM_FIX_3_HARD,RV_SUM_FIX_4_EASY,RV_SUM_FIX_4_MEDIUM,RV_SUM_FIX_4_HARD,RV_SUM_FIX_5_EASY,RV_SUM_FIX_5_MEDIUM,RV_SUM_FIX_5_HARD,RV_SUM_FIX_6_EASY,RV_SUM_FIX_6_MEDIUM,RV_SUM_FIX_6_HARD,AVG_PUP_SIZE_EASY,AVG_PUP_SIZE_MEDIUM,AVG_PUP_SIZE_HARD
1,100,251,327,322,0.263490682065,0.254330852255,0.297731887821,0.334339232394,0.330521997876,0.317754819593,0.059133187732,0.0602577455,0.0450962100397,6316.85714286,8398.38461538,5928.58333333,4631.5,4670.3,4771.66666667,3832.5625,3799.58333333,4717.81818182,3096.66666667,2708.625,2992.83333333,1181.16666667,1813.35714286,1056.0,1934.21428571,2210.23076923,1494.0,401,487,321,83,228,260,292,217,484,337,207,178,73,125,11,123,139,90,1734.72882833,1693.68052423,1681.96308056
