,Kx,FOx,FOx_STD,PSOx,PSOx_STD,RMx,RMx_STD,RMk,PROP_FOx,AVG_RMx,PROP_PSOx
0,582,202.09700000000015,0.09785743640785538,1534619,536.3940845668199,191.65500612563173,0.3301544849389386,318,0.3472457044673542,0.6026886985082759,2636.8024054982816
1,582,375.9589999999998,0.21445000405118983,2681798,493.754845445201,187.62605788927397,0.28793904358870887,323,0.6459776632302402,0.5808856281401671,4607.900343642612
2,582,539.8300000000003,0.2015638845841927,3572619,467.29241085813004,217.8237509820368,0.29633958137557587,391,0.9275429553264609,0.5570939922814241,6138.520618556701
3,581,622.6809999999994,0.19834929417738573,4105389,466.6401056924062,244.23279529939313,0.28199277792158983,417,1.0717401032702227,0.585690156593269,7066.074010327023
4,575,695.8209999999993,0.1308291886023194,4651731,470.7609584547126,269.23997727564984,0.2795458281827145,445,1.2101234782608685,0.6050336567992131,8089.966956521739
5,565,723.0519999999985,0.12480069436406291,4812621,460.47952341797816,275.5227362395887,0.2797811197067421,457,1.2797380530973426,0.6028943900209819,8517.913274336282
6,552,711.1269999999996,0.12016813944900084,4663756,469.61836194512966,268.8564260058003,0.29320160733643336,453,1.288273550724637,0.5935020441629145,8448.833333333334
7,540,701.3579999999996,0.1288894540529255,4613760,481.86793181287373,265.82397628389225,0.29066662619002276,443,1.2988111111111105,0.6000541225370029,8544.0
8,521,686.7839999999992,0.15045225435670823,4411911,451.80267335738034,265.2891399888299,0.2863237942469049,425,1.3182034548944321,0.624209741150188,8468.159309021114
9,491,627.5569999999987,0.1497925028705658,4024763,464.7399378810989,257.6143134148077,0.2855183646488798,402,1.2781201629327874,0.6408316254099695,8197.0733197556
10,456,573.1989999999995,0.13000804821250764,3759481,433.40890213757524,248.86128932716855,0.2873010820639863,375,1.257015350877192,0.6636301048724494,8244.475877192983
11,425,555.9540000000005,0.1354347204036033,3623987,417.58547841599665,236.25072621768837,0.2907245924275744,364,1.3081270588235305,0.649040456642001,8527.028235294118
12,398,538.8920000000005,0.14071982382001055,3418772,422.39599891962126,223.18821506902367,0.2965979142770005,341,1.3540000000000012,0.654510894630568,8589.879396984925
13,368,516.6680000000005,0.14820851887797537,3228432,436.92821673730583,211.35102730224023,0.2898128146205762,314,1.4039891304347838,0.6730924436377077,8772.91304347826
14,338,443.2510000000001,0.13985789748325764,2815783,409.26668613886994,188.0615461815225,0.29547760780621063,284,1.3113934911242606,0.6621885428926848,8330.718934911243
15,309,424.06499999999926,0.1367703089419226,2721462,435.5738024913005,176.875788745657,0.29996020552630553,272,1.3723786407766967,0.6502786350943272,8807.320388349515
16,283,391.61899999999997,0.14082502995335736,2574954,433.1741572576413,160.01177076835313,0.28799802476163094,238,1.3838127208480564,0.6723183645729123,9098.77738515901
17,258,355.39,0.1498550971240805,2321165,437.30999298072504,142.32841195020808,0.2916683685806392,212,1.3774806201550387,0.6713604337273966,8996.763565891473
18,228,301.2180000000001,0.1418100863887225,2025627,425.48562824309835,131.91436824500187,0.29437766371994767,195,1.3211315789473688,0.6764839397179583,8884.328947368422
19,202,256.0000000000001,0.12618180125147901,1745962,422.36400389543047,124.00111700323946,0.2692774726304592,177,1.2673267326732678,0.7005712825041778,8643.376237623763
20,171,220.69100000000023,0.1150545051141399,1531704,402.38682014500205,109.4907488550416,0.26533948493722165,153,1.290590643274855,0.7156258095100758,8957.333333333334
21,149,203.72600000000006,0.12902321029590655,1345621,377.27976170390855,93.17971269994513,0.2790494687398989,132,1.3672885906040273,0.7059069143935237,9031.013422818793
22,116,153.01500000000024,0.16778440358406968,939494,349.32311049942825,65.60383079502886,0.27391168780666214,94,1.3190948275862089,0.6979130935641368,8099.086206896552
23,68,39.787000000000006,0.1921905148159486,221109,326.7816547847861,38.69356666076891,0.24170764288517776,50,0.5851029411764707,0.7738713332153782,3251.6029411764707
