,Kx,FOx,FOx_STD,PSOx,PSOx_STD,RMx,RMx_STD,RMk,PROP_FOx,AVG_RMx,PROP_PSOx
0,1194,348.4620000000005,0.1009094519630003,2752155,483.2477716311772,209.57138323762902,0.29314617308817437,632,0.29184422110552805,0.3316002899329573,2304.9874371859296
1,1194,761.2350000000005,0.10113807503897362,5609231,499.8549928456503,251.2392613316218,0.25218012414288415,698,0.6375502512562818,0.35994163514558997,4697.848408710218
2,1194,1223.8450000000007,0.11442538284125107,8674990,504.41118569853,356.21124484435404,0.25766036701127165,854,1.0249958123953105,0.4171091860004146,7265.485762144053
3,1163,1387.4109999999962,0.1254225600229753,9314138,499.8040644001102,419.2725878943365,0.28101524228358227,911,1.1929587274290594,0.460233356634837,8008.717110920034
4,1110,1322.2329999999995,0.12233243197992395,8808741,490.53837288739845,443.5028063625415,0.28323356918405146,888,1.1912009009009004,0.4994400972551143,7935.802702702703
5,1044,1281.030999999998,0.12597343058284416,8507576,496.30539465763593,459.1722270870109,0.2984429956681847,859,1.2270411877394616,0.534542755630979,8149.0191570881225
6,949,1096.7789999999993,0.13272351598184925,7099273,491.82825474919247,439.3934243457646,0.30895645185847836,765,1.1557207586933607,0.5743704893408688,7480.793466807166
7,844,1019.1179999999983,0.1312098463738357,6562136,496.71915211617045,409.2449481348576,0.30654307505620276,698,1.2074857819905194,0.5863108139467874,7775.042654028436
8,747,892.3070000000014,0.13816468538141,5746390,507.3346908658846,373.9844121816761,0.31495348466018563,624,1.1945207496653298,0.5993339938808911,7692.623828647925
9,646,818.3600000000009,0.1480371150693703,5192570,501.66255442224707,333.2069325165545,0.31291955368889607,544,1.2668111455108373,0.6125127435966076,8038.034055727554
10,549,684.7389999999997,0.1406849632713533,4362885,477.9682413268275,286.0787630918666,0.3181279864174393,467,1.2472477231329684,0.6125883577984296,7946.9672131147545
11,473,590.7720000000011,0.14471227025876313,3685822,479.4689018879646,245.38955284282835,0.31288850434733984,394,1.248989429175478,0.6228161239665694,7792.435517970402
12,410,477.6030000000001,0.14293332229278533,2961226,482.5929069377638,210.2910583631793,0.3283084942323986,337,1.1648853658536589,0.6240090752616596,7222.502439024391
13,339,379.22099999999995,0.14428372975243564,2376834,495.09110919429935,178.9983633061584,0.33195481092882984,287,1.1186460176991149,0.6236876770249422,7011.309734513275
14,285,303.40299999999996,0.12548948845263883,1899560,481.6459684263671,148.79550081569448,0.3270530222672676,235,1.0645719298245613,0.6331723438965723,6665.122807017544
15,239,288.7539999999998,0.20371737065921555,1763804,501.3759805715811,128.91906546195537,0.2951289407342949,199,1.2081757322175724,0.6478344998088209,7379.933054393306
16,201,247.2020000000001,0.20959590960311986,1447402,463.4400648943456,113.01618087435737,0.3139175990531604,169,1.2298606965174135,0.6687347980731205,7201.004975124378
17,168,187.2790000000001,0.12145747188912123,1175492,498.1468685244862,89.86153851955454,0.294608159186702,143,1.114755952380953,0.6284023672696122,6996.976190476191
18,148,175.86899999999991,0.13072259442152065,1113450,517.1821198501455,87.11118072966433,0.31844702651066037,125,1.1883040540540535,0.6968894458373146,7523.310810810811
19,122,129.55600000000004,0.16090526053738968,771497,546.8576591678213,61.30479692860896,0.30189443070174,91,1.0619344262295085,0.673679087127571,6323.745901639344
20,95,105.18399999999997,0.12952059155930615,644149,468.80728860748417,54.48277152760121,0.2750120590067771,78,1.1071999999999997,0.6984970708666821,6780.515789473684
21,71,82.621,0.16121720644621337,451311,352.61634003010863,39.56608086344813,0.2880846745798478,57,1.1636760563380282,0.6941417695341777,6356.492957746479
22,48,48.427000000000035,0.1656016694993833,276713,365.65803067941147,25.120482572448104,0.28288369926161683,35,1.008895833333334,0.7177280734985173,5764.854166666667
23,28,12.44,0.1995867144717249,66297,449.0715219582623,11.328369355719278,0.2924013782760511,17,0.4442857142857143,0.666374667983487,2367.75
