,Kx,FOx_STD,RMx_STD,RMk
0,295,0.13088981867310484,0.1246210379440496,32
1,295,0.30173163291316285,0.18370374088518157,27
2,295,0.2669031842718694,0.15577033283156488,26
3,288,0.25880249584278026,0.15002201466632634,33
4,277,0.1416860567687803,0.14906341418464672,33
5,264,0.1325263897005148,0.13081180848950197,30
6,250,0.32059883492175223,0.12706815706239033,39
7,239,0.32551419625668543,0.12396828800096883,34
8,224,0.3657254504080299,0.12189046334976375,38
9,207,0.16153901775040636,0.11875254268062264,33
10,185,0.13323583988782564,0.1253407385873235,33
11,169,0.13828901463301133,0.13475594107350386,20
12,154,0.13062841178123016,0.13246868419983832,23
13,142,0.15242091717782777,0.08529095044505063,21
14,127,0.14672974170764227,0.13645364721548986,15
15,112,0.12282729890963308,0.11866574722900033,14
16,99,0.15603621027300993,0.15112941152448978,11
17,89,0.1460090929969705,0.10660795736234832,11
18,78,0.12747179078388787,0.13778761908781312,10
19,65,0.13369616541782772,0.1351648021523902,12
20,56,0.11076605193098353,0.1187560901154569,7
21,51,0.12171273939899846,0.12178225913169162,6
22,40,0.14564240296416972,0.13156883112740148,4
23,19,0.15313979231632383,0.028905333565496794,2
