,Kx,FOx,FOx_STD,PSOx,PSOx_STD,RMx,RMx_STD,RMk,PROP_FOx,AVG_RMx,PROP_PSOx
0,485,139.0880000000001,0.13087937083266296,1013848,535.0898071453666,172.9238555566876,0.3115512613127371,235,0.2867793814432992,0.7358461938582451,2090.4082474226802
1,485,284.807,0.1261982517233773,1871604,529.7600177437073,187.0416319167818,0.2738677766903473,258,0.5872309278350516,0.7249675655689217,3858.9773195876287
2,485,454.9419999999998,0.1248449671016804,3009276,566.4271357976606,231.62852693620454,0.25181998638019343,320,0.9380247422680408,0.7238391466756392,6204.692783505155
3,478,563.4179999999996,0.12395397133221818,3774454,588.5114621121185,259.6638715487103,0.23475927733430693,354,1.1786987447698736,0.7335137614370347,7896.347280334728
4,467,553.0209999999993,0.15254709630295485,3570207,585.7791050498338,273.01907473475217,0.23162671481474617,358,1.1841991434689492,0.762623113784224,7644.982869379015
5,454,540.9789999999986,0.15881339602490802,3458190,559.8109689055108,269.50242523007046,0.24238623273590712,355,1.1915837004405254,0.7591617612114661,7617.15859030837
6,438,556.704,0.14798780974547843,3435292,555.6000294415214,263.0183387522303,0.253922809741631,351,1.2710136986301368,0.7493399964451006,7843.132420091324
7,420,532.2719999999994,0.13434770230600507,3387080,593.6571220477036,259.44850156874617,0.22975536701193178,335,1.2673142857142843,0.7744731390111826,8064.476190476191
8,405,528.012999999999,0.13602281500763844,3376563,587.2000820019748,257.41556064247396,0.2255470088909173,329,1.3037358024691335,0.7824181174543282,8337.192592592593
9,394,445.205000000001,0.1309506003105995,2730558,595.910977343525,240.9044932731433,0.25228985320428204,310,1.1299619289340128,0.7771112686230429,6930.350253807107
10,371,475.48299999999995,0.1584514873601418,2946331,605.6426824321826,231.75979096693254,0.261994463491209,300,1.2816253369272235,0.7725326365564418,7941.592991913747
11,340,444.11599999999964,0.15142102895849308,2800412,620.4445689017633,220.9733821518021,0.23223079511093334,277,1.3062235294117637,0.7977378417032567,8236.505882352942
12,316,366.4350000000006,0.13634022025005385,2391907,613.0667149837508,205.0379757017503,0.22327235674934479,256,1.1596044303797488,0.8009295925849621,7569.3259493670885
13,286,329.1339999999996,0.13234578468432565,2129984,589.389868602354,173.8295195093756,0.2566411389083568,224,1.1508181818181804,0.7760246406668553,7447.4965034965035
14,255,304.17600000000016,0.1280592938294393,1952294,600.7425840461042,162.8868658577825,0.21712683545233674,201,1.19284705882353,0.810382417202898,7656.054901960784
15,230,263.02799999999985,0.13054942780644285,1773242,645.9485023471265,143.04341347729127,0.24828670130918676,180,1.1435999999999993,0.7946856304293959,7709.747826086957
16,205,242.9799999999999,0.13997052163284168,1619431,666.9483589273373,142.09218481546836,0.19917400511434363,172,1.1852682926829263,0.8261173535783044,7899.663414634147
17,182,222.68699999999984,0.1404520278476884,1485547,700.4000656959815,123.00320342126629,0.22115370674982776,150,1.223554945054944,0.8200213561417753,8162.346153846154
18,150,172.5519999999998,0.1337656016199553,1188128,697.4596682921099,100.55600932765647,0.19984451914207463,122,1.1503466666666653,0.8242295846529218,7920.8533333333335
19,127,183.5589999999999,0.14615496544726306,1265124,689.7706886073506,86.36383784616453,0.20899373587795742,107,1.4453464566929126,0.8071386714594816,9961.606299212599
20,113,140.97600000000003,0.13611044731114502,941008,672.5858092692872,72.54610880904598,0.2175003911762075,90,1.2475752212389384,0.8060678756560664,8327.504424778761
21,83,111.62499999999999,0.16965499526436534,754767,649.845209620353,51.24322533347138,0.19588893955596884,64,1.344879518072289,0.8006753958354903,9093.578313253012
22,67,75.58899999999998,0.13792124064776642,518205,599.661108375355,44.95001608856147,0.18695506054831806,54,1.128194029850746,0.8324077053437309,7734.4029850746265
23,29,16.245,0.15532457684126608,93840,497.29492235083035,14.470914460030471,0.28634878856029583,19,0.5601724137931035,0.761627076843709,3235.862068965517
