,Kx,FOx,FOx_STD,PSOx,PSOx_STD,RMx,RMx_STD,RMk,PROP_FOx,AVG_RMx,PROP_PSOx
0,508,192.13899999999998,0.11231464904482556,1426496,410.73501353020214,98.77110909312182,0.2762850762415516,294,0.3782263779527559,0.33595615337796536,2808.0629921259842
1,508,383.52800000000025,0.09937408076439758,2804829,481.48795765488916,117.51908545471376,0.2375974341586559,343,0.7549763779527564,0.3426212403927515,5521.316929133858
2,508,583.1200000000001,0.11201710599206209,4086692,492.71878395378604,163.41349467963622,0.2465137632321412,400,1.1478740157480318,0.40853373669909054,8044.669291338582
3,496,653.0080000000005,0.12092383429451382,4212360,475.176453320539,195.63659934633958,0.27726230533900337,404,1.3165483870967751,0.48424900828301876,8492.661290322581
4,471,615.0350000000004,0.12452229245893902,4057656,479.1035559967301,204.88097559524553,0.28460782651436445,400,1.3058067940552025,0.5122024389881138,8614.980891719746
5,441,569.5899999999995,0.1290806424416733,3679164,474.7031413689116,206.76000371030185,0.3020769394699856,381,1.2915873015873003,0.5426771750926558,8342.775510204081
6,407,498.9729999999997,0.13449477392175124,3106609,482.1437382183549,197.64232902800066,0.31059016496869946,342,1.2259778869778861,0.577901546865499,7632.945945945946
7,360,452.6040000000004,0.1362376443960814,2771699,481.42210839397484,181.09081844761607,0.3095953771955368,304,1.2572333333333343,0.5956934817355792,7699.163888888889
8,322,415.2749999999998,0.13164397346163428,2575750,487.41630478027815,173.3659087147197,0.3281524403340353,286,1.2896739130434776,0.6061745059955234,7999.223602484472
9,283,390.2309999999997,0.1407556283861862,2433299,472.49365662928074,146.51884728346118,0.32355842165432036,248,1.3789081272084796,0.5908018035623435,8598.229681978799
10,241,325.89800000000054,0.1562176681404001,1987923,468.6182157688144,132.3780906713069,0.3068708209886306,212,1.352273858921164,0.6244249559967306,8248.643153526971
11,209,257.57800000000015,0.16263328863910442,1517949,467.61110937576683,108.38643119542574,0.32206868193921107,178,1.23243062200957,0.6089125348057626,7262.913875598086
12,184,222.58000000000024,0.12818199427192836,1303289,454.79912422096703,101.27436095434811,0.32075035005433555,153,1.2096739130434795,0.6619239278061968,7083.092391304348
13,151,180.15300000000013,0.12960100066607047,1131057,476.55419901331794,80.04193506853291,0.3444512628140653,135,1.1930662251655637,0.5929032227298734,7490.443708609271
14,127,141.37299999999996,0.14718156570437635,831770,466.5272663361968,66.47145673325353,0.33747027374073113,109,1.1131732283464564,0.6098298782867296,6549.370078740158
15,112,137.41000000000008,0.2592452475281802,831786,463.26217414114467,58.14779835350491,0.3069470164264629,97,1.2268750000000008,0.599461838695927,7426.660714285715
16,102,131.75000000000003,0.2541705268266609,771056,456.83268040303267,54.293842551823886,0.333446359867658,87,1.291666666666667,0.6240671557680907,7559.3725490196075
17,90,107.69299999999998,0.13141656931231604,662240,449.3118223334538,43.14003538065056,0.32347194969688975,79,1.1965888888888887,0.5460763972234248,7358.222222222223
18,82,100.481,0.12436304642080895,612935,425.60724784374344,42.657029253383755,0.3442790674490627,71,1.2253780487804877,0.600803228920898,7474.817073170731
19,74,91.58599999999996,0.1417986484458495,514187,383.8446877967496,30.0259661747389,0.3135761857776546,59,1.237648648648648,0.508914680927778,6948.472972972973
20,59,75.18700000000001,0.13517938124817128,456425,386.34735453639234,27.867686856370163,0.3080270353540366,50,1.27435593220339,0.5573537371274032,7736.016949152542
21,49,59.660999999999994,0.16073559785460842,288304,326.7562333576545,24.522110746681655,0.33524731711805333,43,1.2175714285714285,0.5702816452716664,5883.755102040816
22,35,41.356000000000016,0.18837294672071528,218234,325.3785172850102,13.283690643041924,0.3188605542808692,26,1.1816000000000004,0.5109111785785355,6235.257142857143
23,21,9.600999999999999,0.2700148076067411,46492,361.4539763831059,7.848048451551079,0.3307750830984362,14,0.45719047619047615,0.5605748893965056,2213.904761904762
