ID,TIME,FEEDBACK,N_FIGURES,TRIAL,RM,SELECTED,LATENCY,ACCURACY
AB0605MALE20,120,0,2,experiment,100,D5,19.2450888,1
AB0605MALE20,120,0,3,experiment,16,D1,15.1998168,0
AB0605MALE20,120,0,4,experiment,25,D2,11.9527971,0
AB2404MALE24,150,1,2,training,100,D5,,1
AB2404MALE24,150,1,2,training,50,D2,,0
AB2404MALE24,120,0,3,experiment,33,D2,66.1533015,0
AB2404MALE24,120,0,4,experiment,12,D1,15.3677751,0
AB2404MALE24,120,0,4,experiment,100,D5,29.8449441,1
AB2404MALE24,120,0,2,experiment,100,D5,14.8080819,1
AB2404MALE24,120,0,3,experiment,100,D5,53.9871458,1
AB2404MALE24,120,0,3,experiment,0,D0,74.5183208,0
AB2404MALE24,120,0,4,experiment,25,D2,39.244109,0
AB2404MALE24,120,0,2,experiment,75,D4,,0
AB2404MALE24,120,0,2,experiment,100,D5,77.8067133,1
AB2404MALE24,120,0,4,experiment,87,D4,25.3529929,0
AB2404MALE24,120,0,3,experiment,83,D4,10.7135191,0
AB2404MALE24,120,0,3,experiment,75,D3,38.6249304,0
AB2404MALE24,120,0,2,experiment,100,D5,99.5737848,1
AB2404MALE24,120,0,2,experiment,63,D3,62.3919132,0
AB2404MALE24,120,0,4,experiment,12,D1,,0
AB2404MALE24,120,0,3,experiment,100,D5,27.7835329,1
AB2404MALE24,120,0,2,experiment,50,D2,,0
AB2404MALE24,120,0,4,experiment,100,D5,,0
AB2701MALE20,150,1,2,training,75,D4,,0
AB2701MALE20,150,1,2,training,100,D5,,1
AB2701MALE20,120,0,2,experiment,100,D5,92.7232022,1
AB2701MALE20,120,0,3,experiment,75,D3,68.9747799,0
AB2701MALE20,120,0,2,experiment,25,D1,57.5023324,0
AB2701MALE20,120,0,2,experiment,25,D1,38.5178586,0
AB2701MALE20,120,0,2,experiment,25,D1,16.1315229,0
AB2701MALE20,120,0,4,experiment,81,D3,44.2053374,0
AB2701MALE20,120,0,3,experiment,83,D4,62.160017,0
AB2701MALE20,120,0,3,experiment,83,D4,17.8867189,0
AB2701MALE20,120,0,2,experiment,100,D5,41.148272,1
AB2701MALE20,120,0,3,experiment,83,D4,57.7824221,0
AB2701MALE20,120,0,4,experiment,87,D4,16.4398905,0
AB2701MALE20,120,0,4,experiment,100,D5,44.3904362,1
AB2701MALE20,120,0,2,experiment,0,D0,38.6895718,0
AB2701MALE20,120,0,3,experiment,75,D3,33.5246498,0
AB2701MALE20,120,0,3,experiment,16,D1,40.3917931,0
AB2701MALE20,120,0,4,experiment,12,D1,26.159964,0
AB2701MALE20,120,0,4,experiment,100,D5,71.3307626,1
AB2701MALE20,120,0,4,experiment,12,D1,,0
AF0208MALE20,150,1,2,training,100,D5,,1
AF0208MALE20,150,1,2,training,50,D2,,0
AF0208MALE20,120,0,4,experiment,25,D2,74.6895869,0
AF0208MALE20,120,0,4,experiment,100,D5,59.4682052,1
AF0208MALE20,120,0,2,experiment,100,D5,45.4525891,1
AF0208MALE20,120,0,2,experiment,63,D3,61.483053,0
AF0208MALE20,120,0,3,experiment,100,D5,77.0342069,1
AF0208MALE20,120,0,3,experiment,16,D1,54.6310104,0
AF0208MALE20,120,0,3,experiment,100,D5,71.0237742,1
AF0208MALE20,120,0,3,experiment,100,D5,72.7782201,1
AF0208MALE20,120,0,3,experiment,100,D5,61.9844815,1
AF0208MALE20,120,0,2,experiment,100,D5,65.2769918,1
AF0208MALE20,120,0,4,experiment,100,D5,68.9960685,1
AF0208MALE20,120,0,4,experiment,100,D5,37.6482446,1
AF0208MALE20,120,0,2,experiment,100,D5,42.1328602,1
AF0208MALE20,120,0,3,experiment,100,D5,82.8676935,1
AF0208MALE20,120,0,2,experiment,100,D5,39.9340086,1
AF0208MALE20,120,0,2,experiment,100,D5,45.6494318,1
AF0208MALE20,120,0,4,experiment,25,D2,76.3425764,0
AF0208MALE20,120,0,4,experiment,100,D5,57.0168668,1
AF0502MALE20,150,1,2,training,50,D2,,0
AF0502MALE20,150,1,2,training,25,D1,,0
AF0502MALE20,120,0,2,experiment,100,D5,46.2653113,1
AF0502MALE20,120,0,2,experiment,25,D1,,0
AF0502MALE20,120,0,4,experiment,12,D1,32.847424,0
AF0502MALE20,120,0,3,experiment,100,D5,23.4923681,1
AF0502MALE20,120,0,3,experiment,100,D5,67.0635376,1
AF0502MALE20,120,0,4,experiment,81,D3,34.6635704,0
AF0502MALE20,120,0,3,experiment,83,D4,10.1240206,0
AF0502MALE20,120,0,3,experiment,100,D5,45.5347195,1
AF0502MALE20,120,0,2,experiment,0,D0,46.7976598,0
AF0502MALE20,120,0,3,experiment,100,D5,40.9803941,1
AF0502MALE20,120,0,2,experiment,50,D2,54.1829521,0
AF0502MALE20,120,0,4,experiment,87,D4,37.5987759,0
AF0502MALE20,120,0,4,experiment,100,D5,52.888681,1
AF0502MALE20,120,0,3,experiment,100,D5,61.4344835,1
AF0502MALE20,120,0,2,experiment,50,D2,,0
AF0502MALE20,120,0,4,experiment,25,D2,,0
AF0502MALE20,120,0,2,experiment,100,D5,50.0143732,1
AF0502MALE20,120,0,4,experiment,81,D3,41.5777258,0
AG0408FEMALE20,150,1,2,training,100,D5,,1
AG0408FEMALE20,150,1,2,training,100,D5,,1
AG0408FEMALE20,120,0,4,experiment,100,D5,83.8354873,1
AG0408FEMALE20,120,0,3,experiment,75,D3,,0
AG0408FEMALE20,120,0,3,experiment,75,D3,68.5814033,0
AG0408FEMALE20,120,0,3,experiment,75,D3,80.335946,0
AG0408FEMALE20,120,0,2,experiment,63,D3,42.9670441,0
AG0408FEMALE20,120,0,2,experiment,50,D2,32.0293545,0
AG0408FEMALE20,120,0,2,experiment,63,D3,26.8129293,0
AG0408FEMALE20,120,0,3,experiment,75,D3,54.3586407,0
AG0408FEMALE20,120,0,4,experiment,100,D5,50.5659941,1
AG0408FEMALE20,120,0,4,experiment,100,D5,66.7401986,1
AG0408FEMALE20,120,0,2,experiment,75,D4,17.411434,0
AG0408FEMALE20,120,0,4,experiment,87,D4,30.3407907,0
AG0408FEMALE20,120,0,2,experiment,100,D5,57.3312982,1
AG0408FEMALE20,120,0,4,experiment,87,D4,43.5605065,0
AG0408FEMALE20,120,0,4,experiment,100,D5,28.8731739,1
AG0408FEMALE20,120,0,2,experiment,75,D4,21.1804312,0
AG0408FEMALE20,120,0,3,experiment,75,D3,24.9527169,0
AG0408FEMALE20,120,0,3,experiment,100,D5,14.1357787,1
AG0908MALE20,150,1,2,training,50,D2,,0
AG0908MALE20,150,1,2,training,25,D1,,0
AG0908MALE20,120,0,2,experiment,100,D5,107.74007,1
AG0908MALE20,120,0,3,experiment,100,D5,89.2461756,1
AG0908MALE20,120,0,2,experiment,100,D5,87.2127412,1
AG0908MALE20,120,0,4,experiment,100,D5,116.915347,1
AG0908MALE20,120,0,4,experiment,100,D5,114.991822,1
AG0908MALE20,120,0,3,experiment,100,D5,112.751097,1
AG0908MALE20,120,0,4,experiment,100,D5,110.531255,1
AG0908MALE20,120,0,3,experiment,100,D5,87.8693576,1
AG0908MALE20,120,0,3,experiment,100,D5,93.3756139,1
AG0908MALE20,120,0,4,experiment,100,D5,118.443859,1
AG0908MALE20,120,0,2,experiment,100,D5,80.0758611,1
AG0908MALE20,120,0,3,experiment,100,D5,66.6344562,1
AG0908MALE20,120,0,4,experiment,100,D5,106.120631,1
AG0908MALE20,120,0,2,experiment,100,D5,89.8750152,1
AG0908MALE20,120,0,3,experiment,100,D5,118.538273,1
AG0908MALE20,120,0,4,experiment,100,D5,117.313648,1
AG0908MALE20,120,0,2,experiment,100,D5,96.6676138,1
AG0908MALE20,120,0,2,experiment,100,D5,63.5999912,1
AG1209MALE20,150,1,2,training,75,D4,,0
AG1209MALE20,150,1,2,training,100,D5,,1
AG1209MALE20,120,0,2,experiment,100,D5,75.634901,1
AG1209MALE20,120,0,4,experiment,25,D2,53.6696699,0
AG1209MALE20,120,0,4,experiment,81,D3,48.9785,0
AG1209MALE20,120,0,4,experiment,100,D5,46.721317,1
AG1209MALE20,120,0,2,experiment,0,D0,56.0957948,0
