,Kx,FOx,FOx_STD,RMx,RMx_STD,RMk,PROP_FOx,AVG_RMx
0,1429,94,0.2901430934704696,48.18412698412697,0.40071492056021335,94,0.06578026592022393,0.5125970955758188
1,1429,81,0.2631675197338399,43.5374603174603,0.40044817603140404,81,0.05668299510146956,0.5374995100921025
2,1429,81,0.2616164067493904,41.38285714285714,0.3923232309603203,81,0.05668299510146956,0.5108994708994709
3,1429,84,0.26680550992403856,40.48920634920633,0.3965203861636692,84,0.05878236529041288,0.4820143613000753
4,1428,112,0.30228725588496574,58.57682539682539,0.3957056832116341,112,0.0784313725490196,0.5230073696145124
5,1428,145,0.33584075148631315,79.71682539682541,0.4002901311270596,145,0.1015406162464986,0.5497712096332787
6,1428,166,0.35903509241788084,92.44000000000004,0.398899824098756,166,0.11624649859943978,0.5568674698795183
7,1428,180,0.3691361845107559,94.38349206349213,0.39896255330193003,180,0.12605042016806722,0.5243527336860674
8,1428,221,0.4052442850534713,123.73746031746037,0.40202242089601115,221,0.15476190476190477,0.559898010486246
9,1425,239,0.4152571785365654,124.93206349206363,0.40734603774357614,239,0.16771929824561405,0.5227282991299733
10,1425,267,0.4313970271823027,144.11841269841273,0.40049785292494944,267,0.18736842105263157,0.5397693359491114
11,1422,313,0.4546720643122238,167.85047619047623,0.40005745855626124,313,0.22011251758087202,0.5362635022059944
12,1418,340,0.4640934176690406,185.49015873015875,0.3993804982011997,340,0.2397743300423131,0.5455592903828199
13,1412,333,0.46583830528916936,196.25682539682538,0.3866883380398736,333,0.2358356940509915,0.5893598360265027
14,1409,360,0.47238552344723345,209.0409523809523,0.3918031934344481,360,0.255500354861604,0.580669312169312
15,1404,392,0.4838755417325336,228.51079365079357,0.39331744816515163,392,0.2792022792022792,0.5829356980887591
16,1401,416,0.4884594449757039,246.96634920634907,0.39389945737478804,416,0.29693076374018557,0.5936691086691084
17,1389,406,0.4868145342459313,244.37492063492056,0.39542782967496276,406,0.29229661627069836,0.6019086715145826
18,1386,447,0.4942670989431584,271.82126984126984,0.3936776331008367,447,0.3225108225108225,0.6081012748126842
19,1373,420,0.48982010694584976,241.11873015873013,0.39546370875265957,420,0.3058994901675164,0.5740922146636431
20,1370,425,0.4915119617854383,250.43746031746016,0.3899068408632673,425,0.3102189781021898,0.589264612511671
21,1364,414,0.49005539371711254,244.38920634920632,0.3952528483653301,414,0.3035190615835777,0.5903120926309331
22,1357,419,0.4931880011350422,243.28920634920627,0.398887873147762,419,0.3087693441414886,0.5806424972534756
23,1345,421,0.492683738448089,255.21682539682533,0.3800122227927261,421,0.31301115241635685,0.6062157372846207
24,1339,399,0.48852416459032694,254.07111111111095,0.37725566298683544,399,0.29798356982823004,0.6367697020328595
25,1326,393,0.49002239752793386,241.60888888888874,0.3928172366696971,393,0.29638009049773756,0.6147808877579867
26,1310,406,0.49230226916499004,257.8317460317459,0.3846530928109487,406,0.3099236641221374,0.6350535616545466
27,1300,422,0.49534542170496315,268.9565079365078,0.38099674885201174,422,0.32461538461538464,0.637337696532009
28,1289,416,0.49535213749266327,268.08,0.37871100657673096,416,0.3227307990690458,0.6444230769230769
29,1270,400,0.49502550469615086,250.63841269841257,0.3788512809410478,400,0.31496062992125984,0.6265960317460314
30,1261,421,0.49620849777476506,264.6584126984125,0.38792551988429885,421,0.3338620142743854,0.6286423104475357
31,1254,425,0.49670681989535387,257.2987301587302,0.3868985622211488,425,0.33891547049441784,0.6054087768440711
32,1238,404,0.4969039949999533,253.9612698412699,0.383130096092159,404,0.3263327948303716,0.6286170045575988
33,1222,392,0.49644106456816406,243.36857142857139,0.38898317424138773,392,0.32078559738134205,0.620838192419825
34,1210,381,0.4952154839513162,240.87365079365068,0.3974437167569469,381,0.3148760330578512,0.6322143065450149
35,1193,388,0.49637597385372484,255.18761904761897,0.38147566666710736,388,0.32523051131601005,0.6577000490918015
36,1180,372,0.4943646510049695,232.97523809523804,0.39631538929188503,372,0.3152542372881356,0.6262775217613926
37,1170,379,0.49590429367709876,237.16158730158736,0.38860503392685114,379,0.32393162393162395,0.6257561670226579
38,1152,366,0.4955090495284926,221.85047619047617,0.3901130455351484,366,0.3177083333333333,0.6061488420504814
39,1130,376,0.4970782813846029,245.71365079365074,0.3748054587200016,376,0.3327433628318584,0.6534937521107732
40,1116,353,0.4951444786416666,237.80888888888884,0.3720779020605015,353,0.3163082437275986,0.6736795719231978
41,1106,370,0.49605973319911323,260.3926984126984,0.36075805801040955,370,0.3345388788426763,0.7037640497640497
42,1093,366,0.49705344011867036,244.58825396825392,0.3812265390866568,366,0.33485818847209514,0.668273917946049
43,1078,345,0.4942445948414234,238.89111111111103,0.36381549400017704,345,0.3200371057513915,0.6924380032206117
44,1057,323,0.49133420900287333,224.11968253968251,0.3702624144203336,323,0.30558183538315986,0.6938689861909675
45,1048,322,0.49215295678475035,215.592380952381,0.38072917357280256,322,0.30725190839694655,0.669541555752736
46,1033,307,0.490057184847349,207.58253968253973,0.3786830287641798,307,0.2971926427879961,0.6761646243730935
47,1015,312,0.4927987756108553,213.9504761904761,0.3694286417599655,312,0.30738916256157633,0.6857387057387054
48,1005,303,0.49223880593245173,202.63523809523798,0.3810401825211976,303,0.30149253731343284,0.6687631620304884
49,988,296,0.49011797262344936,197.78920634920627,0.39182566835444615,296,0.29959514170040485,0.668206778206778
50,972,309,0.49495720914932523,207.7323809523808,0.3769971639127062,309,0.31790123456790126,0.6722730775157955
51,953,303,0.49651250318085227,203.7365079365079,0.3769129930180846,303,0.3179433368310598,0.6723977159620723
52,935,291,0.49583902751779835,203.31555555555553,0.3567595377590844,291,0.31122994652406416,0.6986788850706376
53,919,291,0.4958390275177983,204.55428571428573,0.3559428329453163,291,0.31664853101196955,0.7029356897398135
54,900,290,0.49738362125898344,206.2403174603174,0.3617061361602757,290,0.32222222222222224,0.7111735084838532
55,878,319,0.4999975585877895,230.16571428571427,0.3413148695513919,319,0.36332574031890663,0.7215226153157187
56,853,294,0.4997026464203254,199.63777777777776,0.36750318095769563,294,0.34466588511137164,0.6790400604686319
57,833,276,0.49833541204232734,186.64825396825393,0.3683345798709467,276,0.33133253301320525,0.6762617897400505
58,823,287,0.49934319267353006,197.15206349206352,0.36693679734978796,287,0.3487241798298906,0.6869409877772248
59,808,273,0.49883380405415706,192.15492063492061,0.35657056480665855,273,0.3378712871287129,0.7038641781498923
60,785,255,0.49625255737706814,166.50698412698418,0.3714331161520607,255,0.3248407643312102,0.6529685652038595
61,761,241,0.49468720603966,156.2577777777778,0.3701205108409242,241,0.316688567674113,0.6483725218994929
62,747,253,0.4978241734237816,167.57650793650794,0.37192671791093523,253,0.3386880856760375,0.662357738879478
63,734,237,0.4959467591756963,162.98920634920643,0.3730630202005377,237,0.3228882833787466,0.6877181702498162
64,721,236,0.49560132641114313,171.46952380952388,0.338857745124433,236,0.3273231622746186,0.7265657788539147
65,703,218,0.494460895469437,158.90507936507927,0.34847319450749503,218,0.310099573257468,0.7289223824086205
66,684,206,0.494828700017127,146.57650793650797,0.3405102221376502,206,0.30116959064327486,0.711536446293728
67,670,207,0.49561983156844147,147.35365079365081,0.3526284424665163,207,0.30895522388059704,0.711853385476574
68,648,199,0.4929475849169609,135.02793650793652,0.36812658853585,199,0.30709876543209874,0.6785323442609875
69,631,214,0.4986441766227509,147.89746031746037,0.36742943681434187,214,0.33914421553090335,0.6911096276516839
70,614,197,0.4973662087792056,138.73873015873016,0.3536095002611275,197,0.32084690553745926,0.7042575134960922
71,603,196,0.4986554809136432,141.8263492063493,0.3414133814260501,196,0.3250414593698176,0.723603822481374
72,581,192,0.49868552272710875,138.31714285714287,0.34268182081457293,192,0.3304647160068847,0.7204017857142858
73,561,193,0.4997726813380186,140.0431746031746,0.3478842358595754,193,0.34402852049910876,0.7256123036433917
74,554,201,0.4999862823907024,148.9533333333333,0.33645642856553865,201,0.3628158844765343,0.7410613598673298
75,541,190,0.49925069469859107,140.66285714285718,0.33354969440223825,190,0.3512014787430684,0.7403308270676694
76,529,178,0.4982965989029681,130.33365079365083,0.3389939668893319,178,0.33648393194706994,0.7322115213126451
77,511,167,0.49632304509961345,122.42349206349205,0.3386721524327228,167,0.3268101761252446,0.7330748027754015
78,500,172,0.49786338343587505,123.68095238095242,0.35629601720532805,172,0.344,0.719075304540421
79,484,167,0.4981933959679475,128.24888888888887,0.31359132363282105,167,0.3450413223140496,0.7679574184963406
80,474,152,0.49566282153603297,111.0707936507936,0.35554917671435166,152,0.3206751054852321,0.7307289055973264
81,462,151,0.4957777526922856,109.39238095238092,0.3599061608076468,151,0.3268398268398268,0.7244528539892776
82,456,161,0.4993709114934982,120.90031746031747,0.3427520841385329,161,0.3530701754385965,0.7509336488218477
83,442,149,0.4991881728546479,106.18888888888891,0.36650751396563896,149,0.33710407239819007,0.7126771066368384
84,430,153,0.4999764345469411,110.96317460317462,0.345058173542834,153,0.3558139534883721,0.7252495072102917
85,416,146,0.4991564163583148,110.06253968253966,0.3397791456494127,146,0.35096153846153844,0.7538530115242443
86,403,140,0.4975098504782365,105.49174603174605,0.3340335464026414,140,0.34739454094292804,0.7535124716553289
87,393,139,0.49876526775404006,110.38761904761904,0.29286847279293265,139,0.35368956743002544,0.7941555327166837
88,379,133,0.49919456277935903,99.04603174603173,0.3422469618418785,133,0.35092348284960423,0.7447070056092612
89,368,123,0.49786789595639647,91.9549206349206,0.3450899447927325,123,0.3342391304347826,0.7476009807717122
90,349,121,0.49903759309269724,91.55396825396822,0.3361624928295537,121,0.3467048710601719,0.7566443657352746
91,344,122,0.49993495934931836,91.35936507936505,0.34095564923322913,122,0.3546511627906977,0.7488472547488938
92,330,122,0.49963318368934334,92.16888888888884,0.3270575590042609,122,0.3696969696969697,0.7554826958105643
93,319,101,0.4979668100555396,72.14476190476188,0.35791427003043924,101,0.3166144200626959,0.7143045733144741
94,304,100,0.4981147084308546,74.10476190476187,0.32492252075661815,100,0.32894736842105265,0.7410476190476187
95,289,101,0.49673836140589445,76.33936507936505,0.3019081952039108,101,0.3494809688581315,0.7558352978154955
96,285,104,0.49965694678637185,78.86317460317457,0.3203246631703561,104,0.3649122807017544,0.7582997557997555
97,278,97,0.49819449736922145,67.1612698412698,0.36363552328661386,97,0.3489208633093525,0.6923842251677299
98,268,96,0.49949852330392575,66.71682539682536,0.36461710721919394,96,0.3582089552238806,0.6949669312169308
99,259,106,0.4985484870445368,84.82571428571427,0.28812213096099454,106,0.4092664092664093,0.800242587601078
100,252,98,0.4992768501610279,73.40285714285712,0.34693414997081357,98,0.3888888888888889,0.7490087463556848
101,239,82,0.4999618946004096,64.20825396825394,0.30528612722834597,82,0.34309623430962344,0.783027487417731
102,227,86,0.49904649213352437,69.46158730158727,0.28689206274912954,86,0.3788546255506608,0.807692875599852
103,210,73,0.4996103052016761,54.322857142857124,0.32234351010535034,73,0.3476190476190476,0.7441487279843442
104,199,74,0.4998929730874516,52.25999999999998,0.36080440398026653,74,0.37185929648241206,0.7062162162162159
105,192,73,0.4993655723475762,52.73206349206346,0.35088103808549137,73,0.3802083333333333,0.7223570341378556
106,182,74,0.4980498300551794,56.446349206349176,0.32392380815767413,74,0.4065934065934066,0.7627885027885024
107,176,71,0.495354418573207,53.64031746031743,0.3353869830995714,71,0.4034090909090909,0.7554974290185554
108,171,78,0.4889254893402009,58.45396825396822,0.32809784203829845,78,0.45614035087719296,0.749409849409849
109,164,58,0.49822814711259217,41.889523809523794,0.35431042717353534,58,0.35365853658536583,0.7222331691297206
110,152,61,0.49141944601334997,45.877777777777766,0.3253279451092561,61,0.40131578947368424,0.752094717668488
111,136,59,0.4751867728965133,44.06476190476189,0.32251094023804494,59,0.4338235294117647,0.7468603712671507
112,120,54,0.48134758930538313,37.54857142857143,0.3708919683139471,54,0.45,0.6953439153439154
113,102,52,0.43705881545081005,37.15523809523809,0.3599794495268204,52,0.5098039215686274,0.7145238095238095
114,90,37,0.47346691369867333,26.4568253968254,0.3566997314596309,37,0.4111111111111111,0.7150493350493352
115,68,28,0.47140452079103173,16.476825396825397,0.38598156351125307,28,0.4117647058823529,0.5884580498866213
116,50,31,0.3876557858593746,17.250476190476192,0.3936415087514378,31,0.62,0.5564669738863288
117,40,17,0.466476151587624,11.099365079365079,0.3479956764246755,17,0.425,0.6529038281979458
118,24,10,0.49215295678475035,5.623174603174604,0.3625062128380463,10,0.4166666666666667,0.5623174603174604
119,8,5,0.49792959773196915,4.063492063492063,0.26813653858766573,5,0.625,0.8126984126984127
