,Kx,FOx,FOx_STD,RMx,RMx_STD,RMk,PROP_FOx,AVG_RMx
0,1423,129,0.32431076012954374,68.49396825396822,0.39248315951876206,129,0.09065354884047787,0.5309609942168079
1,1423,110,0.29388520496273307,58.35936507936506,0.38712439776205354,110,0.07730147575544624,0.5305396825396824
2,1423,105,0.28526511935479776,59.124761904761876,0.3775694694999174,105,0.07378777231201687,0.5630929705215417
3,1423,100,0.28066932062240874,49.862539682539676,0.39769111422444603,100,0.07027406886858749,0.49862539682539675
4,1422,116,0.30023014410290855,68.36825396825395,0.3862462861891241,116,0.08157524613220815,0.5893814997263271
5,1422,149,0.3350811794153918,84.235873015873,0.399988989571744,149,0.10478199718706048,0.5653414296367315
6,1422,195,0.3764239342364706,106.7298412698413,0.3985568433282556,195,0.1371308016877637,0.5473325193325195
7,1422,215,0.3894855427953239,122.52698412698423,0.3919212946893426,215,0.15119549929676512,0.5698929494278336
8,1420,235,0.40571898566790415,136.23142857142872,0.39573655546297565,235,0.16549295774647887,0.5797082066869307
9,1417,273,0.42856573847743973,139.6593650793652,0.4057375566248401,273,0.1926605504587156,0.5115727658584805
10,1417,313,0.44604978065234063,161.4019047619048,0.40575333066095093,313,0.2208892025405787,0.5156610375779707
11,1413,325,0.45145621227708266,186.51301587301583,0.39627817909764024,325,0.2300070771408351,0.5738862026862026
12,1409,363,0.46727879765552466,207.62952380952376,0.3971594816247552,363,0.2576295244854507,0.5719821592548864
13,1407,376,0.4738003842542656,206.06634920634917,0.4000147845065513,376,0.26723525230987916,0.5480488010807159
14,1406,369,0.46991195149290926,225.03809523809514,0.38611224597673993,369,0.2624466571834993,0.6098593366886047
15,1400,360,0.471949800705705,222.07936507936512,0.38901289330179245,360,0.2571428571428571,0.6168871252204586
16,1397,400,0.4797267222939816,241.36793650793646,0.39343761134138483,400,0.2863278453829635,0.6034198412698412
17,1392,403,0.4827301157124683,253.81365079365062,0.3901142051640187,403,0.28951149425287354,0.6298105478750636
18,1387,405,0.48294933096994186,255.82666666666654,0.3848432044706931,405,0.2919971160778659,0.6316707818930039
19,1378,441,0.4913840423745202,269.81904761904775,0.3884222687716334,441,0.3200290275761974,0.6118345750998815
20,1373,412,0.4853180030681116,257.4298412698412,0.3873391734273506,412,0.30007283321194467,0.6248297118200029
21,1370,423,0.48747473400722546,254.54793650793644,0.4015775155459617,423,0.30875912408759126,0.6017681714135613
22,1361,438,0.4917131430068525,272.892380952381,0.394092437943631,438,0.3218221895664952,0.6230419656447055
23,1354,426,0.4899745367252816,265.8412698412698,0.38686067610151076,426,0.31462333825701627,0.6240405395334973
24,1344,415,0.4886591289717937,273.7253968253968,0.37063761268940176,415,0.3087797619047619,0.6595792694587874
25,1335,425,0.4906207541534469,274.33269841269833,0.38167019064976276,425,0.31835205992509363,0.6454887021475255
26,1322,450,0.49516330078450743,304.4346031746033,0.37626910174788375,450,0.340393343419062,0.6765213403880074
27,1316,454,0.49637756966362245,287.08063492063485,0.3767162479520864,454,0.34498480243161095,0.6323362002657156
28,1309,419,0.4918297236972807,275.29873015872994,0.37764928668275877,419,0.3200916730328495,0.6570375421449401
29,1292,393,0.48841683017684806,247.85238095238088,0.38514803520037355,393,0.3041795665634675,0.6306676360111473
30,1277,422,0.4933379233612132,271.186984126984,0.38211029415018616,422,0.33046202036021927,0.6426231851350331
31,1270,423,0.49302051929835766,265.9695238095237,0.38892280444145205,423,0.33307086614173226,0.6287695598333893
32,1257,402,0.4929920440202467,264.42793650793647,0.3889023232526334,402,0.3198090692124105,0.6577809365869066
33,1242,401,0.4922933570661966,267.4990476190476,0.38565525816564844,401,0.32286634460547503,0.6670799192494953
34,1231,413,0.49529339662689353,285.85079365079366,0.3759891073485991,413,0.33549959382615757,0.6921326722779507
35,1219,407,0.4934208836294539,278.1193650793652,0.3695421798186031,407,0.3338802296964725,0.6833399633399636
36,1204,409,0.49409689553150415,279.8977777777778,0.3716019831712108,409,0.33970099667774084,0.684346644933442
37,1192,392,0.49365552393169476,257.3196825396825,0.3827751118019093,392,0.3288590604026846,0.6564277615808227
38,1174,421,0.49747219703369905,274.3679365079365,0.3834947323751867,421,0.358603066439523,0.6517053123703955
39,1158,404,0.4948497696182087,289.9241269841271,0.35666904225936424,404,0.3488773747841105,0.7176339776834829
40,1147,372,0.4931481915388461,261.1698412698412,0.3704309365304084,372,0.32432432432432434,0.702069465779143
41,1130,373,0.49364228686025785,262.19809523809516,0.3615100244697722,373,0.33008849557522124,0.7029439550619173
42,1115,360,0.49341046833385865,250.7771428571429,0.37009505171334983,360,0.32286995515695066,0.6966031746031748
