,Part_id,AVG_CORR,WMC,GF,KOL,WAR,ZLOZ,WYB,LAT,NT,RTPR,RTOP,AVG_DUR_COR,AVG_DUR_SE,AVG_DUR_BE,AVG_DUR_CON,SUM_FIX_COR,SUM_FIX_SE,SUM_FIX_BE,SUM_FIX_CON
0,25,0.4523809523809524,0.67494,0.0456083518663538,4,EASY,3,be,115.37829060465016,26,0.5765902723238887,0.10954400462829013,174.6,171.27272727272728,225.51282051282053,181.16666666666666,873,942.0,4397.5,1087
1,25,0.4523809523809524,0.67494,0.0456083518663538,5,MEDIUM,3,be,60.28316839685317,17,0.35588706716218177,0.28419209632807396,137.5,213.79166666666666,188.85,205.10526315789474,550,2565.5,3777.0,3897
2,25,0.4523809523809524,0.67494,0.0456083518663538,6,EASY,4,be,60.78277038122269,26,0.3962965137805134,0.2537890244760129,247.24242424242425,192.42857142857142,208.0,240.0,8159,673.5,2600.0,720
3,25,0.4523809523809524,0.67494,0.0456083518663538,7,EASY,3,corr,116.52263942413765,43,0.41587626438507985,0.2677591252154294,214.3846153846154,217.68421052631578,210.3125,210.41666666666666,11148,4136.0,3365.0,5050
4,25,0.4523809523809524,0.67494,0.0456083518663538,8,HARD,3,se,114.73499118656765,33,0.4550399094475396,0.2498714620841524,186.5,225.44285714285715,227.5,205.44444444444446,3730,7890.5,2730.0,3698
5,25,0.4523809523809524,0.67494,0.0456083518663538,9,HARD,4,se,110.7216661620646,29,0.46794816042744675,0.2439359967765172,163.0,231.67532467532467,179.33333333333334,232.3,1467,8919.5,2690.0,2323
6,25,0.4523809523809524,0.67494,0.0456083518663538,10,MEDIUM,3,se,97.63017227886894,35,0.3883328187899335,0.31288483147142404,200.5,225.5609756097561,223.08823529411765,237.0,2807,9248.0,3792.5,1659
7,25,0.4523809523809524,0.67494,0.0456083518663538,11,HARD,4,be,79.93196722993935,17,0.40051560232348227,0.2593955925087487,223.91666666666666,232.11111111111111,242.72727272727272,250.52380952380952,5374,1044.5,4005.0,5261
8,25,0.4523809523809524,0.67494,0.0456083518663538,12,EASY,4,be,117.1651412073502,36,0.4826606225815938,0.18030960217606676,165.8,221.68965517241378,202.0681818181818,188.54545454545453,1658,3214.5,4445.5,4148
9,25,0.4523809523809524,0.67494,0.0456083518663538,13,MEDIUM,4,con,53.51324773057331,14,0.4613623924360439,0.21957179760717388,,188.0,207.06896551724137,240.25,0,470.0,3002.5,4805
10,25,0.4523809523809524,0.67494,0.0456083518663538,14,HARD,3,be,106.95315442621586,44,0.37905380367222513,0.2953723073384787,194.97297297297297,204.05555555555554,200.7,206.23809523809524,7214,1836.5,6021.0,8662
11,25,0.4523809523809524,0.67494,0.0456083518663538,15,MEDIUM,4,con,101.78744329640313,26,0.48587525531990283,0.21344479531462732,169.66666666666666,200.34782608695653,238.98214285714286,268.8333333333333,509,2304.0,6691.5,3226
12,25,0.4523809523809524,0.67494,0.0456083518663538,17,HARD,4,con,57.87448043084442,22,0.40852202601199294,0.2207017653534317,154.83333333333334,203.5,203.13636363636363,222.5,929,1017.5,2234.5,5340
13,25,0.4523809523809524,0.67494,0.0456083518663538,18,EASY,4,be,108.06970918239084,26,0.4227641616291545,0.268336060302133,260.72727272727275,242.52941176470588,227.84285714285716,193.6,2868,4123.0,7974.5,1936
14,25,0.4523809523809524,0.67494,0.0456083518663538,19,HARD,3,con,19.860291061357657,5,0.5011507620533135,0.1363524830342985,120.0,207.0,200.5,208.42857142857142,240,103.5,401.0,1459
15,25,0.4523809523809524,0.67494,0.0456083518663538,20,HARD,3,con,65.35309631144355,19,0.4464210824987547,0.2393918709749106,188.78571428571428,193.75,207.77272727272728,192.5,2643,775.0,4571.0,2310
16,25,0.4523809523809524,0.67494,0.0456083518663538,21,MEDIUM,3,con,65.0026334458853,31,0.3766308948141504,0.29328042556723155,173.6,231.66666666666666,216.76470588235293,209.4,1736,1042.5,5527.5,4188
17,25,0.4523809523809524,0.67494,0.0456083518663538,22,EASY,3,be,56.701324067469606,24,0.4764086279159354,0.2138750761017491,181.5,149.44444444444446,201.97222222222223,190.42857142857142,2178,672.5,3635.5,1333
18,25,0.4523809523809524,0.67494,0.0456083518663538,23,MEDIUM,4,con,100.17360441159144,28,0.47320848918674663,0.19880486598219646,172.33333333333334,249.11764705882354,226.67857142857142,208.22727272727272,517,4235.0,3173.5,4581
19,25,0.4523809523809524,0.67494,0.0456083518663538,24,HARD,4,con,62.39746847947117,16,0.473929483368852,0.16082383219283206,170.0,258.2608695652174,208.9,208.25,340,2970.0,1044.5,1666
20,25,0.4523809523809524,0.67494,0.0456083518663538,25,MEDIUM,4,se,45.22049809362989,27,0.42374588533555557,0.25641026721979787,172.8,200.66666666666666,206.05555555555554,133.33333333333334,864,3311.0,1854.5,400
21,25,0.4523809523809524,0.67494,0.0456083518663538,26,EASY,3,corr,101.73180609935707,38,0.4327456838523407,0.2064251172292194,204.92857142857142,220.875,225.36170212765958,227.2,5738,1767.0,5296.0,1136
22,25,0.4523809523809524,0.67494,0.0456083518663538,27,EASY,4,se,44.229902295341155,18,0.4399964501402454,0.19344379155233235,244.5,215.5,218.57142857142858,188.88888888888889,2934,431.0,1530.0,1700
23,25,0.4523809523809524,0.67494,0.0456083518663538,28,EASY,4,corr,34.18236492484812,13,0.42548255604829605,0.27239191964835563,236.38095238095238,182.28571428571428,229.27272727272728,183.0,4964,638.0,1261.0,549
24,25,0.4523809523809524,0.67494,0.0456083518663538,29,MEDIUM,4,corr,49.867371634346455,14,0.35542278285612483,0.2811257048555639,199.38888888888889,263.6333333333333,199.71428571428572,140.375,3589,3954.5,699.0,1123
25,25,0.4523809523809524,0.67494,0.0456083518663538,30,HARD,4,corr,97.30178244292436,22,0.4332705829384903,0.276428646266345,231.0,178.0,200.69444444444446,203.52380952380952,9702,2848.0,3612.5,4274
26,25,0.4523809523809524,0.67494,0.0456083518663538,31,MEDIUM,3,se,52.763291669446055,13,0.3293577684438361,0.32533982351863794,201.75,214.08,214.30769230769232,187.45454545454547,1614,5352.0,1393.0,2062
27,25,0.4523809523809524,0.67494,0.0456083518663538,32,HARD,3,corr,62.17994155167753,17,0.32378608756438815,0.33102314808214384,279.57142857142856,219.5142857142857,224.34146341463415,193.88888888888889,1957,3841.5,4599.0,1745
28,25,0.4523809523809524,0.67494,0.0456083518663538,33,EASY,3,corr,26.88699467088873,9,0.43508023649313765,0.20597318769866613,251.71428571428572,175.0,263.72727272727275,,1762,437.5,1450.5,0
29,25,0.4523809523809524,0.67494,0.0456083518663538,34,EASY,4,corr,21.615396309391144,5,0.5758395461198279,0.10053019472309682,252.75,,156.0,231.33333333333334,1011,0.0,234.0,694
30,25,0.4523809523809524,0.67494,0.0456083518663538,35,EASY,3,corr,31.248859192910462,7,0.44788835053457954,0.24247285167194266,175.11764705882354,191.07142857142858,189.625,204.0,2977,1337.5,758.5,408
31,25,0.4523809523809524,0.67494,0.0456083518663538,36,MEDIUM,4,corr,39.77956733359679,11,0.36654496208371945,0.3059610955024312,232.85,187.2608695652174,243.25,144.0,4657,2153.5,1459.5,288
32,25,0.4523809523809524,0.67494,0.0456083518663538,37,EASY,4,corr,20.20580038024764,5,0.47001355161777586,0.12080689475613256,228.5,181.0,160.0,182.0,457,181.0,720.0,182
33,25,0.4523809523809524,0.67494,0.0456083518663538,38,HARD,3,corr,41.532904442892686,8,0.40170559280149376,0.30963401602896246,215.66666666666666,182.53333333333333,220.3,278.0,3235,1369.0,3304.5,278
34,25,0.4523809523809524,0.67494,0.0456083518663538,39,MEDIUM,3,corr,85.73293247397031,23,0.3240178446996909,0.37941079421115037,246.29850746268656,206.71428571428572,204.1764705882353,203.8421052631579,16502,4341.0,1735.5,3873
35,25,0.4523809523809524,0.67494,0.0456083518663538,40,HARD,3,corr,73.53294677815849,18,0.3123497834146665,0.31430808926679604,209.95454545454547,236.91666666666666,216.06382978723406,175.2,9238,1421.5,5077.5,876
36,25,0.4523809523809524,0.67494,0.0456083518663538,41,HARD,4,corr,72.39647231786785,11,0.39709117142859507,0.2831491555278548,194.71428571428572,188.43478260869566,181.20833333333334,212.0625,4089,4334.0,2174.5,3393
37,25,0.4523809523809524,0.67494,0.0456083518663538,42,HARD,4,corr,45.298628144996655,10,0.41672343673579904,0.23188340199570023,222.22727272727272,250.875,191.3125,273.5,4889,1003.5,1530.5,547
38,25,0.4523809523809524,0.67494,0.0456083518663538,43,MEDIUM,4,corr,48.800709628834746,9,0.3270649160923096,0.34249501958316286,193.76666666666668,204.7872340425532,141.77777777777777,,5813,4812.5,638.0,0
39,25,0.4523809523809524,0.67494,0.0456083518663538,44,MEDIUM,3,corr,38.88146190082807,13,0.30819314434637535,0.365984181260863,199.46875,215.1304347826087,184.14285714285714,160.5,6383,2474.0,1289.0,321
40,25,0.4523809523809524,0.67494,0.0456083518663538,45,EASY,3,corr,35.783156209428846,1,0.02582220513450757,0.005477437452774334,,196.0,,,0,98.0,0.0,0
41,36,0.9047619047619048,0.88022,0.25175329270323804,4,EASY,3,corr,43.070701722088415,5,0.5630741787418473,0.11917614050312972,232.1,255.14285714285714,153.0,130.5,2321,893.0,382.5,261
42,36,0.9047619047619048,0.88022,0.25175329270323804,5,EASY,3,corr,72.31703538020702,14,0.5204029700905068,0.23265610808770734,257.82142857142856,222.6818181818182,209.6875,270.4,7219,2449.5,1677.5,1352
43,36,0.9047619047619048,0.88022,0.25175329270323804,6,HARD,4,corr,107.6754641980424,32,0.48263548606038703,0.26768400967361716,225.94117647058823,238.72727272727272,246.41463414634146,291.5,3841,6565.0,5051.5,1749
44,36,0.9047619047619048,0.88022,0.25175329270323804,7,MEDIUM,3,corr,97.43744655957563,25,0.49959232018910177,0.2730469746426807,257.68,259.6764705882353,319.04,279.8333333333333,6442,4414.5,3988.0,3358
45,36,0.9047619047619048,0.88022,0.25175329270323804,8,MEDIUM,3,corr,56.535646727761566,14,0.499932372510052,0.20505646739700797,219.23076923076923,230.8,217.0,146.5,2850,2885.0,1193.5,586
46,36,0.9047619047619048,0.88022,0.25175329270323804,9,HARD,4,corr,113.15968175324996,20,0.46462661599426053,0.2700078289953523,228.92857142857142,214.04,233.92307692307693,182.57142857142858,6410,5351.0,6082.0,1278
47,36,0.9047619047619048,0.88022,0.25175329270323804,10,HARD,3,corr,68.83273155058487,9,0.4781300880935381,0.2930001402774293,362.1875,234.2,271.23809523809524,160.0,5795,4098.5,2848.0,480
48,36,0.9047619047619048,0.88022,0.25175329270323804,11,MEDIUM,3,corr,85.28846924814206,19,0.478892403159056,0.22822545851265855,217.82608695652175,245.8709677419355,243.66666666666666,244.7,5010,3811.0,2193.0,2447
