PART_ID,SEX,AGE,GF,WMC,ACC
129,FEMALE,19,-0.07195,0.57154,0.523809524
130,MALE,18,-1.14641,0.07070,0.261904762
131,FEMALE,20,0.54934,1.76687,0.595238095
132,FEMALE,28,1.02513,0.81594,0.833333333
133,FEMALE,35,0.54131,-0.07732,0.833333333
134,FEMALE,18,-0.67226,-0.87126,0.380952381
135,MALE,20,0.67877,0.97611,0.476190476
136,FEMALE,23,-0.03655,-0.51217,0.452380952
139,MALE,20,-0.30968,0.14072,0.452380952
140,FEMALE,24,-2.48776,-1.71779,0.238095238
142,FEMALE,29,-0.55085,0.24439,0.642857143
144,FEMALE,22,-0.15796,0.02422,0.595238095
145,FEMALE,26,0.68352,0.37911,0.595238095
146,FEMALE,22,-0.52037,-1.16328,0.571428571
148,FEMALE,20,0.05749,1.00993,0.952380952
149,FEMALE,20,-1.25487,-0.91848,0.5
150,MALE,26,0.06224,-0.42445,0.833333333
152,FEMALE,22,0.31144,-0.03867,0.904761905
154,MALE,20,0.68827,1.33091,0.952380952
155,MALE,33,-1.02828,-0.38535,0.428571429
157,MALE,21,0.65780,0.95465,0.880952381
159,FEMALE,23,0.31783,0.94648,0.880952381
162,FEMALE,18,-0.79841,-0.55161,0.428571429
163,MALE,40,-0.66259,-1.50086,0.619047619
164,FEMALE,21,0.55736,-0.63047,0.857142857
165,FEMALE,20,-0.04950,-0.22373,0.547619048
166,FEMALE,21,-0.29690,-0.51253,0.69047619
168,MALE,37,-2.85329,-1.88528,0.452380952
169,MALE,24,0.42957,-0.02282,0.571428571
170,FEMALE,20,0.30816,-0.55020,0.523809524
171,FEMALE,22,1.26777,1.14819,0.69047619
172,FEMALE,24,-0.43108,0.25833,0.761904762
173,MALE,28,-0.29378,-0.06236,0.357142857
174,FEMALE,21,1.27744,0.58279,0.738095238
175,FEMALE,34,-0.44239,-1.03593,0.476190476
177,FEMALE,29,-1.27256,-0.55190,0.30952381
178,FEMALE,23,0.07191,-0.96986,0.761904762
180,FEMALE,32,0.30980,0.14013,0.523809524
181,MALE,20,0.67877,-0.25071,0.738095238
