,Part_id,NT_EASY,NT_MEDIUM,NT_HARD,TR_EASY,TR_MEDIUM,TR_HARD,RTM_EASY,RTM_MEDIUM,RTM_HARD,RFRF_EASY,RFRF_MEDIUM,RFRF_HARD,RV_AVG_DUR_EASY_CORR,RV_AVG_DUR_MEDIUM_CORR,RV_AVG_DUR_HARD_CORR,RV_AVG_DUR_EASY_SMALL_ERROR,RV_AVG_DUR_MEDIUM_SMALL_ERROR,RV_AVG_DUR_HARD_SMALL_ERROR,RV_AVG_DUR_EASY_BIG_ERROR,RV_AVG_DUR_MEDIUM_BIG_ERROR,RV_AVG_DUR_HARD_BIG_ERROR,RV_AVG_DUR_EASY_CONTROL,RV_AVG_DUR_MEDIUM_CONTROL,RV_AVG_DUR_HARD_CONTROL,RV_SUM_FIX_EASY_CORR,RV_SUM_FIX_MEDIUM_CORR,RV_SUM_FIX_HARD_CORR,RV_SUM_FIX_EASY_SMALL_ERROR,RV_SUM_FIX_MEDIUM_SMALL_ERROR,RV_SUM_FIX_HARD_SMALL_ERROR,RV_SUM_FIX_EASY_BIG_ERROR,RV_SUM_FIX_MEDIUM_BIG_ERROR,RV_SUM_FIX_HARD_BIG_ERROR,RV_SUM_FIX_EASY_CONTROL,RV_SUM_FIX_MEDIUM_CONTROL,RV_SUM_FIX_HARD_CONTROL,AVG_PUP_SIZE_EASY,AVG_PUP_SIZE_MEDIUM,AVG_PUP_SIZE_HARD,MEAN_CORR_EASY,MEAN_CORR_MEDIUM,MEAN_CORR_HARD,MEAN_RT_EASY,MEAN_RT_MEDIUM,MEAN_RT_HARD,PERC_CORR_EASY,PERC_CORR_MEDIUM,PERC_CORR_HARD,PERC_SMALL_ERROR_EASY,PERC_SMALL_ERROR_MEDIUM,PERC_SMALL_ERROR_HARD,PERC_BIG_ERROR_EASY,PERC_BIG_ERROR_MEDIUM,PERC_BIG_ERROR_HARD,PERC_CONTROL_EASY,PERC_CONTROL_MEDIUM,PERC_CONTROL_HARD,RM
0,25,277,317,271,0.31105975021044874,0.3780848643472775,0.26829829228009155,0.44347462929281434,0.4497051104645951,0.41431493520818696,0.08193111687853552,0.06251400656119308,0.10386708021395293,1980.1818181818182,2719.4,1949.8181818181818,2722.4,3076.1875,2508.0526315789475,1282.8947368421052,1628.7727272727273,1837.5882352941176,1329.4545454545455,1729.625,2324.777777777778,214.0,216.0,265.0,88.5,243.5,182.0,174.5,209.5,210.5,95.0,151.0,196.0,1183.414470378582,1176.6443611074321,1181.2313469124535,0.5714285714285714,0.35714285714285715,0.42857142857142855,63.607439639259596,59.88829302105911,72.14784221188727,0.5714285714285714,0.35714285714285715,0.42857142857142855,0.07142857142857142,0.21428571428571427,0.14285714285714285,0.35714285714285715,0.14285714285714285,0.14285714285714285,0.0,0.2857142857142857,0.2857142857142857,0.6320937263794406
1,36,108,180,210,0.23132633829831462,0.24106081392058848,0.21310171912258205,0.49534465716558457,0.49987843523991626,0.46831335271387736,0.11426235965612863,0.13348742570852587,0.08602003107896683,298.1,1857.888888888889,2726.090909090909,1108.6,2024.235294117647,2518.2,1615.5882352941176,1646.8333333333333,3153.6666666666665,1137.3333333333333,3220.5,3022.0,142.0,211.0,226.0,71.5,127.5,182.5,36.0,76.5,179.5,26.0,55.0,79.0,1188.6166919966033,1174.1672012459364,1182.5093408792468,0.9285714285714286,1.0,0.7857142857142857,33.348064777377395,53.335681764429474,70.38892066080227,0.9285714285714286,1.0,0.7857142857142857,0.0,0.0,0.07142857142857142,0.07142857142857142,0.0,0.14285714285714285,0.0,0.0,0.0,0.9706198034769462
2,115,176,176,209,0.12873577984121903,0.15960708482671437,0.1487876510876519,0.2440596320735256,0.3192295862468495,0.32882426841689455,0.0790342599296793,0.0707195414547822,0.08090702276775383,3301.8333333333335,2564.909090909091,3921.909090909091,2799.266666666667,3694.8,2245.8888888888887,3038.35,2813.4210526315787,3424.277777777778,3204.3333333333335,4402.818181818182,3431.5555555555557,205.0,353.0,193.0,198.5,203.5,193.5,193.0,197.5,197.0,210.0,111.0,159.0,1405.1176063887826,1420.3792773859223,1402.966282703534,0.35714285714285715,0.42857142857142855,0.07142857142857142,97.65294921842244,78.76485298304513,100.33474767188103,0.35714285714285715,0.42857142857142855,0.07142857142857142,0.35714285714285715,0.42857142857142855,0.35714285714285715,0.2857142857142857,0.14285714285714285,0.5,0.0,0.0,0.07142857142857142,0.7178004535147392
3,131,176,556,569,0.38754963000517867,0.4271199358587879,0.3903035191154764,0.40439702897773333,0.401444343023881,0.421245190715232,0.10739528724211689,0.07658890375033327,0.035798858276129344,493.4,3256.285714285714,4156.111111111111,1168.8,3097.1739130434785,3457.45,1003.7058823529412,5010.4375,3606.6470588235293,2336.8888888888887,4672.6,4175.8,188.0,411.0,347.0,72.5,475.5,287.0,87.5,126.5,318.0,70.0,89.0,230.0,1626.9848636470358,1623.1888281663562,1645.8160386701124,1.0,0.42857142857142855,0.35714285714285715,32.43824170664435,92.98157819403643,104.13141350855312,1.0,0.42857142857142855,0.35714285714285715,0.0,0.5714285714285714,0.07142857142857142,0.0,0.0,0.5714285714285714,0.0,0.0,0.0,0.9502116402116402
4,59,88,146,96,0.14852785746736114,0.17459103230637407,0.13984933879314307,0.364327019651502,0.3681885705543749,0.39153735923031924,0.09181722097982326,0.1131409680794724,0.12750909140859396,1186.375,2099.25,871.8888888888889,1344.2105263157894,2432.1052631578946,1441.55,1020.5263157894736,2703.8,2275.6,1359.7,2822.4444444444443,1602.5833333333333,128.0,189.0,118.0,86.0,195.5,116.0,72.0,113.0,110.0,67.0,96.0,93.0,1103.5447883387826,1114.2867745179042,1110.8413249930038,0.7142857142857143,0.21428571428571427,0.14285714285714285,42.32010339942839,59.731426584793134,49.03235808133166,0.7142857142857143,0.21428571428571427,0.14285714285714285,0.07142857142857142,0.6428571428571429,0.35714285714285715,0.14285714285714285,0.07142857142857142,0.2857142857142857,0.07142857142857142,0.07142857142857142,0.21428571428571427,0.7544595616024188
5,128,180,162,181,0.17661148849040378,0.1617218396163716,0.22612022632747314,0.36455260396746697,0.3385906265938494,0.3517893529957577,0.0947805176482473,0.07646947306452889,0.1136910010880204,1583.3,1625.7777777777778,1591.125,2265.3888888888887,893.9375,1748.3157894736842,2186.1875,2776.3333333333335,1296.875,1901.3333333333333,2322.2,1908.6153846153845,224.0,97.0,82.0,110.0,111.0,87.0,88.0,96.0,90.5,103.0,99.0,161.0,1040.5187171918565,1030.3020213922691,1043.4402761562067,0.6428571428571429,0.21428571428571427,0.21428571428571427,72.79901758962556,71.55142805002548,57.175652256105295,0.6428571428571429,0.21428571428571427,0.21428571428571427,0.14285714285714285,0.5,0.21428571428571427,0.21428571428571427,0.2857142857142857,0.5,0.0,0.0,0.07142857142857142,0.7640891912320482
6,81,133,186,176,0.1955566367049568,0.1493165626268833,0.1529106100841063,0.2523753969469842,0.23221615486466682,0.21033983870438763,0.20392587261566816,0.10595535395092377,0.10744837432347545,1404.090909090909,2217.222222222222,1674.3333333333333,1110.55,2455.5454545454545,3464.6363636363635,1631.1875,2307.0555555555557,2465.8823529411766,1631.111111111111,2780.714285714286,2794.25,159.0,270.0,243.0,98.0,171.0,174.0,71.5,109.0,160.0,72.0,97.0,105.0,1180.2669197861408,1206.736772515181,1209.4822985702278,0.9285714285714286,0.9285714285714286,0.5,48.57927687891762,88.97682917408851,82.21423329953255,0.9285714285714286,0.9285714285714286,0.5,0.07142857142857142,0.07142857142857142,0.14285714285714285,0.0,0.0,0.2857142857142857,0.0,0.0,0.07142857142857142,0.9419954648526078
7,37,146,158,188,0.29952802375572773,0.26197288246348355,0.2685436113061905,0.3407049207749141,0.3185009931079617,0.3286616696521673,0.049774992550421,0.023436624643173042,0.06793010627275103,1105.3333333333333,1599.2727272727273,1523.7142857142858,1308.25,1576.3529411764705,1931.2222222222222,1201.0,1401.3157894736842,2119.0434782608695,2077.6666666666665,2506.777777777778,2825.125,222.0,263.0,254.0,112.5,194.5,125.0,57.5,59.0,206.5,75.0,53.0,85.0,1579.4115250640225,1563.694540758531,1594.2592276205262,0.9285714285714286,0.9285714285714286,0.7857142857142857,34.8166802485105,43.07970420292414,50.005179282631744,0.9285714285714286,0.9285714285714286,0.7857142857142857,0.0,0.07142857142857142,0.0,0.07142857142857142,0.0,0.21428571428571427,0.0,0.0,0.0,0.9674981103552531
8,74,269,284,304,0.2791454771640029,0.32936877413226207,0.28569649985671425,0.3693250320209032,0.4227772945764897,0.32540549396344376,0.07069021951631614,0.10065463347513741,0.04479796301042716,2183.5,2511.714285714286,3455.0,1669.125,2377.6470588235293,2235.1666666666665,1671.15,2606.6190476190477,2880.4210526315787,3634.125,2989.6363636363635,3038.25,332.0,242.0,153.0,132.0,247.5,178.0,99.5,110.5,187.5,93.0,70.0,125.0,1661.4572310131935,1678.2609574721516,1729.2294207891628,0.7857142857142857,0.2857142857142857,0.14285714285714285,68.83251668447052,61.589670542260656,76.00473133264184,0.7857142857142857,0.2857142857142857,0.14285714285714285,0.07142857142857142,0.42857142857142855,0.21428571428571427,0.07142857142857142,0.2857142857142857,0.6428571428571429,0.07142857142857142,0.0,0.0,0.8256916099773242
9,55,108,104,95,0.2765358432425593,0.18631913413518517,0.15990925991254593,0.3480946137157056,0.31129985947690425,0.29228719503425393,0.12852515418111354,0.10580776982715417,0.12461476136679579,413.54545454545456,759.1428571428571,1396.7777777777778,1118.7222222222222,781.1666666666666,1269.15,1547.3125,1861.0,1695.6875,665.7272727272727,2023.8,1641.4545454545455,170.0,274.0,261.0,93.0,221.0,164.0,62.5,59.5,183.5,56.0,66.0,74.0,1427.1437958607476,1430.6499643985605,1405.2308018075817,0.9285714285714286,0.9285714285714286,0.9285714285714286,27.896151268605145,39.87014786780609,42.43478013359189,0.9285714285714286,0.9285714285714286,0.9285714285714286,0.07142857142857142,0.07142857142857142,0.0,0.0,0.0,0.07142857142857142,0.0,0.0,0.0,0.9795918367346937
