,Kx,FOx,FOX_aggregated,FOx_mean,FOx_STD,PSOx,PSOx_mean,PSOx_STD,RMx,RMx_STD,RMk,PROP_FOx,AVG_RMx,PROP_PSOx
0,479,107.30999999999996,0.10171563981042654,0.19231182795698926,0.12334889281346355,796703,1427.7831541218638,575.7444343584322,119.46425534798345,0.32477950177101717,211,0.2240292275574112,0.5661813049667462,1663.2630480167015
1,479,272.336,0.220514979757085,0.20916743471582183,0.112825761496067,1857370,1426.5514592933948,546.8476059996776,134.74084733703856,0.2749308585835937,247,0.5685511482254697,0.5455095033888201,3877.5991649269313
2,479,408.1300000000001,0.25428660436137074,0.20865541922290387,0.1213695655761243,2915871,1490.7315950920245,573.6531349758309,185.74732026774194,0.25648335045972515,321,0.8520459290187894,0.5786520880615014,6087.413361169102
3,475,506.96599999999955,0.29219942363112394,0.2146342082980525,0.11507734754071529,3544881,1500.7963590177815,575.0811984963218,207.3111115171566,0.25843962001503,347,1.0672968421052622,0.5974383617209124,7462.9073684210525
4,468,545.064000000001,0.2994857142857143,0.21569608231104073,0.12058513617264599,3753856,1485.4990106846062,580.0752812474738,222.6060714757104,0.2632950990415578,364,1.1646666666666687,0.6115551414167868,8021.059829059829
5,459,574.0570000000006,0.31628484848484845,0.21994521072796935,0.15366009805335884,3877205,1485.5191570881227,560.1857832022976,236.11207888217646,0.26029929476102986,363,1.2506688453159054,0.6504464982980068,8447.069716775599
6,447,527.7400000000002,0.2931888888888889,0.22090414399330263,0.16027959957970087,3467159,1451.3013813311009,570.4784678637087,241.14118770961196,0.2665789991054645,360,1.1806263982102914,0.6698366325266999,7756.507829977629
7,434,507.51099999999997,0.29167298850574713,0.2193219533275713,0.13879830778531474,3518362,1520.467588591184,612.3858368441462,230.44147557887763,0.27956363202400863,348,1.1693801843317972,0.6621881482151656,8106.824884792627
8,414,499.5560000000006,0.30184652567975834,0.22143439716312058,0.12764895049124383,3319895,1471.5846631205675,588.9810281495486,226.32408762439042,0.2592036512420211,331,1.2066570048309193,0.6837585728833547,8019.070048309179
9,389,471.4610000000004,0.3031903536977492,0.2188769730733519,0.13893961467630267,3185086,1478.6843082636954,595.0628484123675,218.368778025048,0.2512023074152351,311,1.2119820051413892,0.7021504116561028,8187.881748071979
10,371,447.7340000000007,0.296512582781457,0.22012487708947887,0.13470631641469294,3060219,1504.5324483775812,630.4203340785172,208.51285465623698,0.2704653917667873,302,1.2068301886792472,0.6904399160802549,8248.56873315364
11,339,417.1900000000001,0.2958794326241135,0.22611924119241192,0.13941322983908938,2722852,1475.80054200542,601.5514172886493,203.9089041876206,0.2468521621605002,282,1.2306489675516228,0.7230812205234773,8032.011799410029
12,299,337.7520000000002,0.27571591836734693,0.2170642673521851,0.11709491671329308,2323196,1493.056555269923,601.093658904995,176.5713106347215,0.2530981724635254,245,1.1296053511705693,0.7206992270804959,7769.886287625418
13,272,295.74500000000023,0.2700867579908676,0.22421910538286582,0.12739284450010888,1957759,1484.2752084912813,600.4041897997768,163.43182628619726,0.2483295606929914,219,1.0872977941176478,0.7462640469689373,7197.643382352941
14,235,287.5869999999994,0.291966497461929,0.22054217791411043,0.12256603228506385,1914371,1468.0759202453987,622.4831652464648,146.12470256146867,0.2595311240964029,197,1.223774468085104,0.7417497591952724,8146.259574468085
15,210,256.84700000000026,0.29353942857142856,0.2171149619611158,0.12477514642001562,1757881,1485.951817413356,600.7398117584753,129.8699265885018,0.2656030667935664,175,1.2230809523809536,0.7421138662200104,8370.861904761905
16,183,239.97199999999998,0.299965,0.21658122743682312,0.12517932151788294,1741071,1571.3637184115523,656.2098537979695,120.14832677063767,0.2679705637403473,160,1.3113224043715845,0.7509270423164854,9514.04918032787
17,162,192.14800000000025,0.2784753623188405,0.22342790697674422,0.12686303056259626,1288198,1497.9046511627907,621.317965428663,105.90801447985696,0.25848755619231434,138,1.1860987654321002,0.7674493802888186,7951.83950617284
18,138,157.08700000000013,0.2685247863247863,0.21970209790209788,0.1280214555163387,1035789,1448.655944055944,647.3443343537602,90.45558763810917,0.25458944808976164,117,1.1383115942028994,0.7731246806675997,7505.717391304348
19,114,132.75199999999995,0.2794778947368421,0.22424324324324327,0.1287529780092023,893184,1508.7567567567567,653.2935929085997,72.84720725859314,0.2499206211616642,95,1.1644912280701751,0.766812707985191,7834.9473684210525
20,99,112.78000000000006,0.28195,0.22157170923379174,0.12939462061474322,732767,1439.6208251473477,631.4316066749906,62.25861007897336,0.21916802917747702,80,1.1391919191919198,0.778232625987167,7401.686868686868
21,75,92.13299999999998,0.2972032258064517,0.22147355769230773,0.11796923194384097,656298,1577.639423076923,712.918891561881,46.92714557127495,0.21857210465642662,62,1.2284399999999998,0.756889444697983,8750.64
22,60,62.513000000000034,0.3049414634146342,0.24136293436293438,0.12417393275541168,417986,1613.8455598455598,693.6218741746593,29.243993475670532,0.2904830753544249,41,1.041883333333334,0.7132681335529398,6966.433333333333
23,25,16.164000000000005,0.24867692307692307,0.27396610169491525,0.18273412807346448,79592,1349.0169491525423,339.2200671393341,5.9372675902766945,0.3255643177029198,13,0.6465600000000002,0.4567128915597457,3183.68
