,Kx,FOx,FOX_aggregated,FOx_mean,FOx_STD,PSOx,PSOx_mean,PSOx_STD,RMx,RMx_STD,RMk,PROP_FOx,AVG_RMx,PROP_PSOx
0,489,118.04300000000002,0.09919579831932775,0.191939837398374,0.11934965215656164,901344,1465.6,546.5341554646251,68.65457114725936,0.2842565195701014,238,0.24139672801635997,0.28846458465235025,1843.239263803681
1,489,248.78099999999978,0.19823187250996013,0.2068004987531172,0.11143482757987394,1783157,1482.2585203657522,567.5570145411982,85.71093523157701,0.2626083618416742,251,0.5087546012269935,0.34147782960787654,3646.5378323108384
2,489,404.54600000000016,0.26702706270627063,0.21336814345991562,0.11736515072803348,2875277,1516.4963080168777,568.3654389020043,112.63123679126336,0.2615535997803431,303,0.8272924335378327,0.37172025343651277,5879.912065439673
3,478,528.9570000000003,0.29800394366197186,0.2188485726106744,0.13572231650691766,3556416,1471.4174596607365,566.9641850833552,136.4029803960201,0.2558529769792573,355,1.106604602510461,0.3842337475944228,7440.200836820084
4,458,489.59600000000063,0.28884719764011796,0.21896064400715565,0.13520361398515895,3277695,1465.874329159213,574.5780296907132,144.40289225528355,0.27494783642912846,339,1.06898689956332,0.4259672337913969,7156.539301310044
5,434,466.2949999999989,0.28260303030303036,0.2197431668237512,0.1334265993379689,3120069,1470.3435438265788,567.4629022309432,156.13599110290497,0.3021076337112605,330,1.0744124423963108,0.4731393669784999,7189.099078341013
6,394,439.89900000000034,0.2894072368421053,0.22217121212121213,0.14955402888286365,2818731,1423.601515151515,548.77626514785,146.3590631402264,0.3067973480198599,304,1.116494923857869,0.48144428664548156,7154.13959390863
7,357,412.6009999999998,0.28954456140350876,0.22338982133188956,0.16786556698962332,2620785,1418.9415268002165,569.1261539827603,138.28657013316385,0.3079632648095385,285,1.155745098039215,0.4852160355549609,7341.134453781513
8,318,323.1230000000001,0.268151867219917,0.2243909722222222,0.16003768410960556,2066586,1435.1291666666666,576.6464784369623,119.18338427757449,0.3227816126362977,241,1.0161100628930821,0.4945368642223008,6498.698113207547
9,285,286.05000000000035,0.26123287671232875,0.21443028485757124,0.12149004628649818,1903547,1426.946776611694,598.7218427561817,113.19622368071488,0.3131248993475839,219,1.003684210526317,0.5168777337018944,6679.112280701755
10,249,259.55400000000014,0.2648510204081633,0.21665609348914855,0.1213879468817981,1637294,1366.6894824707847,537.2258212750392,97.81816137445436,0.3309634070166117,196,1.0423855421686752,0.49907225191048143,6575.477911646586
11,216,248.42699999999982,0.285548275862069,0.22200804289544235,0.12603645346832063,1581443,1413.2645218945488,565.5058754563213,84.82406711052242,0.307464987953507,174,1.1501249999999992,0.48749463856622083,7321.49537037037
12,187,201.93300000000013,0.2674609271523179,0.22512040133779265,0.1319696723574605,1287935,1435.82497212932,588.9120796796999,73.12865267410916,0.33047987640949755,151,1.0798556149732628,0.4842957130735706,6887.35294117647
13,162,174.6440000000002,0.25682941176470586,0.22361587708066583,0.15569435060611025,1067221,1366.4801536491677,580.4438949313711,71.81892316031457,0.32619640764793484,136,1.0780493827160507,0.5280803173552542,6587.783950617284
14,140,153.551,0.2791836363636364,0.21596483825597748,0.13601737355396237,895906,1260.0646976090013,515.2167501272525,54.54319700639945,0.31951128866695344,110,1.0967928571428571,0.4958472455127223,6399.328571428571
15,119,148.41000000000005,0.29682,0.221177347242921,0.13774774400027595,844291,1258.2578241430701,546.4676739054026,53.81680584148693,0.32896996602745204,100,1.2471428571428576,0.5381680584148694,7094.882352941177
16,100,115.823,0.2895575,0.2339858585858586,0.15066551957869923,614010,1240.4242424242425,533.7116402776506,41.59419014296483,0.3342723491386045,80,1.1582299999999999,0.5199273767870604,6140.1
17,86,91.251,0.2570450704225352,0.2132032710280374,0.130531241251171,520830,1216.892523364486,582.4928924520744,36.868095425781966,0.3175036949027274,71,1.0610581395348837,0.5192689496589009,6056.162790697675
18,75,76.81200000000004,0.24003750000000001,0.21160330578512396,0.12066298575918993,479271,1320.3057851239669,645.1904475873712,36.511616732675144,0.3570167641746054,64,1.0241600000000006,0.5704940114480491,6390.28
19,59,59.56400000000002,0.2589739130434782,0.2206074074074074,0.16803765434706486,348120,1289.3333333333333,680.3289019399476,28.15096790452208,0.3303439879509098,46,1.0095593220338988,0.6119775631417843,5900.338983050848
20,49,51.79100000000001,0.2526390243902439,0.194703007518797,0.09692617021299169,296425,1114.3796992481202,437.31144873751253,24.54952429961303,0.34873770382608504,41,1.0569591836734695,0.5987688853564154,6049.489795918367
21,38,42.644000000000005,0.2584484848484848,0.2343076923076923,0.1593568248715319,206017,1131.9615384615386,339.6089924479022,18.048215994281946,0.34507153824455017,33,1.1222105263157895,0.546915636190362,5421.5
22,28,31.979999999999997,0.27808695652173915,0.2252112676056338,0.1299046145720989,173588,1222.4507042253522,398.43907724287277,14.16797586985366,0.34413382823698485,23,1.1421428571428571,0.6159989508632026,6199.571428571428
23,17,10.630000000000003,0.1771666666666667,0.22617021276595747,0.12852043783969896,52654,1120.2978723404256,364.34703557995175,4.848351185077192,0.3038693941726443,12,0.625294117647059,0.4040292654230993,3097.294117647059
