,Kx,FOx,FOX_aggregated,FOx_mean,FOx_STD,PSOx,PSOx_mean,PSOx_STD,RMx,RMx_STD,RMk,PROP_FOx,AVG_RMx,PROP_PSOx
0,1454,358.3079999999997,0.10476842105263157,0.19305387931034482,0.11867366560178691,2711895,1461.150323275862,551.851838883986,360.7426530492591,0.3597192236828822,684,0.24642916093535056,0.5274015395457005,1865.127235213205
1,1454,789.9160000000002,0.20869643328929988,0.2074359243697479,0.1135249254984986,5513859,1447.967174369748,548.2961540120547,407.3656192602481,0.31318764317420955,757,0.5432709766162312,0.53813159743758,3792.200137551582
2,1454,1248.1699999999994,0.26416296296296293,0.2115542372881356,0.12012403028344043,8811332,1493.4461016949153,570.0646558424188,531.2276332480673,0.2946081826867692,945,0.8584387895460793,0.5621456436487484,6060.063273727648
3,1432,1575.5459999999944,0.2981165562913907,0.21600575815738965,0.12450529458315164,10884352,1492.2336166712366,577.5129978366749,604.4073423583659,0.28993464764279375,1057,1.100241620111728,0.5718139473589081,7600.804469273743
4,1394,1561.0160000000049,0.29397664783427496,0.21644703272323904,0.12786200702559344,10611515,1471.3692457016084,580.6791870874258,640.120330935681,0.29067600195153537,1062,1.1198106169297022,0.6027498408057259,7612.277618364419
5,1348,1552.6570000000029,0.2960261201143946,0.21810043545441773,0.140475991937445,10461472,1469.5142576204523,562.6016605926386,661.5634009779154,0.2932384525693441,1049,1.151822700296738,0.6306610114184131,7760.73590504451
6,1280,1492.3739999999962,0.29377440944881894,0.2216836007130125,0.14908744102946833,9729913,1445.3227866904338,559.3284833488121,650.4813605997824,0.29638014619861097,1016,1.165917187499997,0.6402375596454551,7601.49453125
7,1212,1422.9769999999987,0.29370010319917444,0.22003664759548475,0.14500794639424558,9532356,1473.9996907375908,595.1370442494523,628.6991206406988,0.2964150301682295,969,1.1740734323432334,0.6488123020027851,7864.980198019802
8,1138,1321.33,0.29297782705099773,0.2206998496742943,0.13439050072877448,8770395,1464.906464005345,585.7211640770239,603.4553337624291,0.29002139745027444,902,1.16109841827768,0.6690192170315178,7706.849736379613
9,1069,1178.864999999994,0.2803483947681332,0.21738244514106583,0.1298754029275529,7828832,1443.6348884381339,597.168978958251,572.7837174926834,0.28824648740289555,841,1.1027736202057943,0.6810745749021206,7323.509822263798
10,992,1151.8900000000008,0.2883329161451815,0.21995226274584684,0.13279006825644513,7650729,1460.8991789192285,603.2223626350242,538.5005178245669,0.30313246539436717,799,1.1611794354838718,0.6739681074149774,7712.428427419355
11,896,1085.0469999999998,0.2956531335149864,0.2231688605512135,0.135618245786423,7111671,1462.70485396956,601.7829896671257,510.06829463043516,0.2847725573440764,734,1.2109899553571426,0.6949159327390125,7937.1328125
12,803,887.0920000000009,0.2716973966309342,0.21908915781674487,0.12595481203095638,6011437,1484.6720177821685,604.1637788561986,455.87840201505185,0.28968012373417557,653,1.104722291407224,0.6981292527029891,7486.222914072229
13,721,780.9809999999983,0.26930379310344826,0.22155489361702127,0.1331975130516509,5159816,1463.7775886524823,594.0722991627225,409.8634711361436,0.28890852976979525,580,1.0831914008321752,0.706661157131282,7156.471567267684
14,631,728.7009999999999,0.28632652259332025,0.21968676514923124,0.12555633153049373,4764520,1436.3943322279167,599.6110246068706,364.07205548173755,0.28458465482078965,509,1.154835182250396,0.7152692642077358,7550.744849445325
15,559,650.4370000000006,0.2859063736263736,0.21739204545454546,0.12641060379664842,4375414,1462.3709893048128,617.5911281244726,326.5838922368668,0.29206413255359803,455,1.16357245080501,0.717766796124982,7827.216457960644
16,488,586.9009999999998,0.28490339805825243,0.22138853262919655,0.13265102111561253,3974512,1499.250094304036,651.5598192869135,303.5327091759235,0.28095147345966287,412,1.202665983606557,0.7367298766405911,8144.491803278688
17,430,494.47099999999966,0.27547130919220053,0.22193491921005387,0.132247631622261,3294575,1478.7140933572712,662.4404085110655,265.4699850465837,0.28088482873724246,359,1.149932558139534,0.7394707104361663,7661.802325581395
18,363,396.7410000000009,0.26187524752475244,0.2187105843439912,0.12696180279824254,2703188,1490.180815876516,677.1612973678557,227.50091887917233,0.2778027042265835,303,1.092950413223143,0.75082811511278,7446.798898071625
19,300,364.6429999999997,0.294066935483871,0.22384468999386128,0.13884290690257392,2506428,1538.6298342541436,687.1990774158983,187.15142240623462,0.2612531813459812,248,1.2154766666666657,0.7546428322832041,8354.76
20,261,296.46900000000045,0.2810132701421801,0.21405703971119133,0.120725174945431,1970200,1422.5270758122745,638.1182089118588,159.09844845498813,0.26223214366165565,211,1.1358965517241397,0.7540210827250622,7548.659003831418
21,196,239.31799999999998,0.3010289308176101,0.22577169811320752,0.14943623222261057,1617082,1525.5490566037736,660.3688209394211,116.18327950200798,0.2609838458652235,159,1.2210102040816326,0.7307124496981634,8250.418367346938
22,155,166.8820000000001,0.28285084745762706,0.23307541899441342,0.12967475389607955,1109779,1549.9706703910615,624.8598595780027,88.3806694733906,0.2740007680481105,118,1.0766580645161297,0.7489887243507678,7159.864516129032
23,71,40.21300000000002,0.1827863636363637,0.2482283950617284,0.15467781228564606,226086,1395.5925925925926,464.55517759632176,25.284807849347267,0.344309360907343,44,0.5663802816901412,0.5746547238488016,3184.3098591549297
