,Kx,FOx_STD,RMx_STD,RMk
0,623,0.09979954435870529,0.14230023734648992,180
1,623,0.10241141173612077,0.13998446897101,183
2,623,0.1159742267680527,0.13275093907901397,216
3,618,0.12126862181218366,0.12553465033365413,227
4,610,0.11698254832724254,0.11436386737297873,250
5,596,0.11374127401774625,0.11325760782667017,252
6,582,0.11717295382707485,0.10196762534337364,247
7,565,0.12379595570238011,0.11032153554443941,232
8,543,0.12411810705285434,0.10655867679236716,234
9,512,0.13725062258653203,0.0980234222260142,214
10,484,0.12472387873526898,0.1081572743779851,206
11,448,0.13202339260088752,0.10478847225680171,196
12,413,0.12753156483280334,0.10547661284018747,191
13,382,0.13243377913820065,0.10586013617087192,181
14,345,0.13138043281833522,0.09335751930163202,166
15,317,0.1282143663997061,0.1042539694920127,155
16,285,0.12318457713369114,0.10691670617553445,122
17,260,0.1350736307218235,0.10636328872744286,120
18,229,0.12872280681722528,0.09760583922898744,107
19,204,0.12445328036748021,0.0860430664920509,87
20,173,0.11501473147368525,0.09593991370601203,74
21,135,0.13256356494052318,0.09412874608246348,64
22,106,0.1571005603319485,0.08292628752695366,44
23,62,0.19016317906407,0.11406364887690547,23
