,Kx,FOx,FOX_aggregated,FOx_mean,FOx_STD,PSOx,PSOx_mean,PSOx_STD,RMx,RMx_STD,RMk,PROP_FOx,AVG_RMx,PROP_PSOx
0,342,92.6970000000001,0.11884230769230769,0.19597674418604652,0.16025086533219346,650508,1375.2811839323467,483.99927839334543,86.61017605825263,0.3308632270333019,156,0.2710438596491231,0.5551934362708503,1902.0701754385964
1,342,205.82399999999978,0.21665684210526315,0.20021789883268484,0.10403493497472853,1482507,1442.1274319066147,492.0208529659359,104.34452565419123,0.2723553836637594,190,0.6018245614035082,0.5491817139694275,4334.815789473684
2,342,318.7990000000003,0.2772165217391305,0.19999937264742784,0.11409427027251069,2364333,1483.2703889585948,512.5610447852449,141.5254655394552,0.2390940884618987,230,0.9321608187134512,0.6153281110411096,6913.254385964912
3,342,399.189999999999,0.29569629629629635,0.207048755186722,0.11129018789492161,2879977,1493.7640041493776,508.278000446108,171.0441574953038,0.2483548590463382,270,1.1672222222222193,0.6334968796122363,8420.98538011696
4,338,424.1899999999996,0.30517266187050357,0.20462614568258564,0.11574394795050964,3089406,1490.3068017366136,507.381260778084,180.29831068937344,0.24759585975903545,278,1.2549999999999988,0.6485550744222066,9140.254437869822
5,336,432.53000000000037,0.3203925925925926,0.21680701754385964,0.16204345885369878,3007023,1507.2796992481203,492.06764309122497,186.29890100328123,0.25170125586630504,270,1.2872916666666678,0.6899959296417824,8949.473214285714
6,326,379.64500000000015,0.2801808118081181,0.2126862745098039,0.16459752851803083,2634235,1475.7619047619048,497.61794250209,191.4169451271105,0.25577178640995,271,1.1645552147239269,0.7063355908749465,8080.4754601227
7,321,403.07700000000034,0.3008037313432836,0.21349417372881355,0.13473761761901457,2861141,1515.4348516949153,526.0554533842981,200.3097529352013,0.23324265621654877,268,1.2556915887850477,0.7474244512507511,8913.211838006231
8,305,374.7800000000003,0.2916575875486381,0.21489678899082568,0.1274913277812032,2588836,1484.4243119266055,527.2518156151581,186.06327267724387,0.25296569006148095,257,1.2287868852459027,0.7239816057480306,8487.986885245902
9,290,342.85300000000035,0.28452531120331953,0.2129521739130435,0.11607687353563699,2446483,1519.5546583850933,520.2792320577457,184.31982164096274,0.2332990739060066,241,1.1822517241379322,0.764812537929306,8436.14827586207
10,274,324.49600000000015,0.28464561403508776,0.21925405405405404,0.13227728982135808,2310200,1560.945945945946,535.5064864949436,178.36919372177823,0.23231483972220487,228,1.1842919708029203,0.7823210250955186,8431.38686131387
11,250,291.74500000000023,0.2752311320754717,0.2203512084592145,0.1429889388113874,2000404,1510.8791540785498,548.3750898542879,166.33136365285486,0.232873016498076,212,1.166980000000001,0.7845819040229003,8001.616
12,216,261.00800000000015,0.28370434782608694,0.21306775510204085,0.12441938091801316,1904468,1554.667755102041,548.5616232578496,141.32405575823768,0.2377162641175663,184,1.208370370370371,0.7680655204252048,8816.981481481482
13,199,234.35800000000012,0.2823590361445783,0.21579926335174954,0.1196687195151539,1722111,1585.7375690607735,527.3173518000104,132.60158520466442,0.231473628036504,166,1.1776783919597995,0.7988047301485808,8653.824120603014
14,177,206.548,0.2848937931034483,0.21696218487394958,0.12849325849078336,1470878,1545.0399159663866,578.5896795780916,120.42137514281855,0.21383437430467805,145,1.1669378531073447,0.8304922423642659,8310.045197740114
15,152,170.8149999999999,0.27774796747967484,0.2132521847690387,0.13319081830496007,1246056,1555.625468164794,567.4238163105389,100.26730720690298,0.22514215849076305,123,1.1237828947368416,0.8151813594057153,8197.736842105263
16,127,153.76100000000017,0.29287809523809527,0.2231654571843251,0.1345085509277625,1134119,1646.0362844702468,622.4696775017452,90.39633478482156,0.1842523161894008,105,1.2107165354330722,0.8609174741411577,8930.070866141732
17,110,112.46699999999993,0.24992666666666663,0.21586756238003837,0.1312534131668749,878114,1685.4395393474088,608.8556812466745,75.06425970003507,0.20693822355957514,90,1.022427272727272,0.8340473300003897,7982.854545454546
18,90,91.57399999999988,0.2616400000000001,0.22666831683168318,0.1365423768628083,623194,1542.5594059405942,637.3997330861231,60.36476648806387,0.16870803959003589,70,1.0174888888888876,0.862353806972341,6924.377777777778
19,75,86.75999999999998,0.2754285714285714,0.21475247524752472,0.12008985133999979,664881,1645.7450495049504,609.6496980292665,53.52032487946149,0.21768301719194577,63,1.1567999999999996,0.8495289663406586,8865.08
20,67,77.992,0.27854285714285715,0.22283428571428573,0.133306460979112,564863,1613.8942857142856,606.4854658217798,48.706206721432984,0.19559317129349424,56,1.1640597014925373,0.8697536914541605,8430.791044776119
21,57,77.0,0.32083333333333336,0.22781065088757396,0.12908769416937804,564725,1670.784023668639,630.0060562161424,41.9393027716706,0.15488044437313084,48,1.3508771929824561,0.8737354744098041,9907.456140350878
22,42,46.128000000000014,0.3181241379310345,0.24150785340314135,0.15650264267243205,303507,1589.041884816754,654.4639374068528,24.707359195006667,0.22419149755579285,29,1.0982857142857145,0.851977903276092,7226.357142857143
23,16,6.728000000000001,0.2242666666666667,0.21703225806451615,0.11279941771497151,41023,1323.3225806451612,354.11073419307644,4.781935556945409,0.29913920315480996,6,0.42050000000000004,0.7969892594909015,2563.9375
