,CORR,SE,BE,CON
0,26.100969636272602,25.895661674329663,23.620430645968966,24.38293804342877
1,34.16586139902964,22.998748868387047,21.61436665276518,21.22102307981814
2,39.21306322588754,22.976190101997496,18.90251300507631,18.908233667038647
3,44.28210886024767,21.729497131652682,17.674790933457395,16.31360307464225
4,47.96035991673567,20.78961210466237,15.038778342323795,16.211249636278165
5,52.19806160201556,19.693862496311596,13.28318995846291,14.824885943209928
6,53.99441167422204,19.59524344986693,13.384754294515586,13.025590581395443
7,57.71649645208016,18.463498949939854,12.259469934711511,11.560534663268488
8,57.54424991573175,17.84999203796558,12.791392272865801,11.814365773436881
9,60.26213320526688,16.412779468823512,11.192573065268983,12.13251426064062
10,60.3498755519704,16.62713447701522,11.836460033478726,11.186529937535655
11,59.583524366974295,17.100845088236273,12.645312247273141,10.670318297516305
12,60.3671341313141,17.52616114765203,9.855126788041213,12.251577932992637
13,63.35045951226572,16.98151096316667,9.497250162819306,10.170779361748318
14,64.03794171824603,17.282678504633324,8.955402954316083,9.723976822804554
15,66.0010191425742,16.594717764808824,8.83481237200627,8.569450720610721
16,64.27413700605467,16.217842635775536,8.833890164665007,10.674130193504801
17,62.632140716155185,16.029052680829896,8.049434883686923,13.289371719327997
18,66.56149818232933,13.637410824804663,8.642818931889092,11.158272060976897
19,67.04333091788757,15.309385913774035,6.605608556126427,11.041674612211986
20,65.65225260250833,16.064162806754123,8.58676926995703,9.696815320780518
21,65.15759969840515,14.519169302889742,7.702142306872759,12.621088691832357
22,73.00147988699042,11.59289654244585,7.1236378312928865,8.281985739270823
23,60.434726355285285,20.82416871522836,11.883814206236254,6.857290723250098
