,r,p,lo,hi
0,0.05804369418581969,0.548830631406181,-0.1314936914958417,0.2434869961630196
1,-0.05457703498467644,0.5729908655456012,-0.24021272485529185,0.1349096742867116
2,0.1347539646108027,0.16240338658990575,-0.05473515405539691,0.31487442200065063
3,0.256150882670673,0.007177990008858621,0.07149391051154477,0.42383138205256843
4,0.17903810960111988,0.06249831553749363,-0.009379488913691418,0.3551783562331868
5,0.07047331700738639,0.4664993685132848,-0.11920865298292213,0.2551921726396922
6,0.2987759309803318,0.0016008085187131046,0.11726450558076545,0.46097096174314
7,0.34315845270298606,0.00025924610230022914,0.16575606884255908,0.4990473209047792
8,0.2583960752473316,0.006670395966898438,0.07388554133499033,0.42580180815318097
9,0.3001623650136755,0.0015185467105606118,0.1187663148374026,0.46216950769712484
10,0.430206305598628,3.028350604490117e-06,0.2634213067034732,0.5720188086765033
11,0.3749940050952312,5.880842739343479e-05,0.20107555308382227,0.5259936999115753
12,0.39829303294024554,1.792972650094743e-05,0.22721410184237253,0.545524290343091
13,0.38234783004886125,4.081363944698501e-05,0.2092989481613707,0.5321753490938194
14,0.2993525773379541,0.0015661150845213457,0.11788903803783204,0.4614695334789407
15,0.3233882843616492,0.0006035873600321988,0.1440490507953228,0.48216024982128375
16,0.25042548138475984,0.00863021796476619,0.06540467713282924,0.4187994603066499
17,0.16470580445170527,0.08699556417629513,-0.02414393137395694,0.34220550519992254
18,0.16425765842504794,0.08786992482688619,-0.02460426513934079,0.3417987729508381
19,0.3142628575534673,0.0008750082550892207,0.13408750168328576,0.4743255885251188
20,0.22545419739576483,0.01841794258364785,0.03900668348495475,0.3967312139634377
21,0.21663789199078268,0.02365841727051689,0.02974841687043001,0.38889226930366866
22,0.11582985909037359,0.23037274673158809,-0.07388157962399619,0.2974507840370775
23,0.31127416025435856,0.0009856906541540389,0.13083285999776786,0.47175411031181275
