,Kx,FOx,FOX_aggregated,FOx_mean,FOx_STD,PSOx,PSOx_mean,PSOx_STD,RMx,RMx_STD,RMk,PROP_FOx,AVG_RMx,PROP_PSOx
0,312,110.11899999999999,0.12955176470588237,0.18791638225255972,0.10096191711596515,837840,1429.7610921501707,428.4834088506119,126.84115722997701,0.2789518231512566,170,0.3529455128205128,0.7461244542939824,2685.3846153846152
1,312,227.3899999999999,0.23686458333333335,0.19012541806020067,0.09682708438402024,1780651,1488.8386287625417,458.946933211754,145.47841703705322,0.20735323505519704,192,0.7288141025641023,0.7577000887346522,5707.214743589743
2,312,349.2200000000002,0.28049799196787145,0.19564145658263304,0.10223463574707817,2618246,1466.804481792717,473.8187451222389,186.2472511636686,0.22268858660321778,249,1.1192948717948725,0.747980928368147,8391.814102564103
3,312,419.5119999999993,0.31424119850187265,0.20178547378547382,0.11183570441399332,3034043,1459.3761423761423,475.35946442842055,205.68272187256912,0.21302995637316233,267,1.3445897435897414,0.7703472729309705,9724.496794871795
4,310,400.4689999999997,0.30687279693486597,0.20771213692946058,0.11612281834261462,2835913,1470.9092323651453,473.38602908078235,202.8857008465243,0.22808140815462521,261,1.291835483870967,0.777339849986683,9148.106451612903
5,309,437.87299999999976,0.31845309090909085,0.20801567695961995,0.10757034815291282,3056362,1451.9534441805226,433.05779125209966,216.71045050544552,0.2168290283365664,275,1.417064724919093,0.7880380018379837,9891.139158576052
6,304,443.45699999999886,0.3359522727272728,0.20858748824082785,0.11632629447408321,3041523,1430.631702728128,421.27035997272634,213.17048578387005,0.18304490785270747,264,1.4587401315789437,0.8074639613025381,10005.009868421053
7,299,400.4830000000002,0.31910996015936255,0.21302287234042552,0.11502361925923885,2756535,1466.2420212765958,450.2320541630887,209.88681620613846,0.17556608103104682,251,1.3394080267558535,0.8362024550045357,9219.180602006689
8,291,387.04100000000005,0.3108763052208835,0.2132457300275482,0.12349595950251885,2643451,1456.4468319559228,472.35789334419303,211.51944721238576,0.1783267230811011,249,1.3300378006872855,0.849475691616007,9084.024054982818
9,274,370.40299999999996,0.3112630252100841,0.21263088404133182,0.12141950709849103,2595097,1489.7227324913893,491.4461281067436,202.23346980631527,0.184786370300094,238,1.3518357664233576,0.8497204613710726,9471.15693430657
10,253,332.45300000000026,0.2968330357142857,0.2226744809109176,0.1243063050157133,2225889,1490.8834561286,512.1219359111369,193.97433342939493,0.17087530922822258,224,1.3140434782608705,0.8659568456669416,8797.98023715415
11,229,297.9310000000001,0.2949811881188119,0.21636238198983296,0.11484372941923612,2014310,1462.8249818445897,491.0872549292801,170.32982012704764,0.213021490135556,202,1.3010087336244545,0.843216931322018,8796.113537117904
12,206,269.49800000000005,0.30451751412429384,0.2180404530744337,0.11887740134798974,1711684,1384.8576051779935,445.35839803585264,148.35617422360974,0.20957147773591397,177,1.3082427184466021,0.838170475839603,8309.14563106796
13,189,244.41699999999977,0.29097261904761906,0.22059296028880868,0.12223808449343015,1651431,1490.46119133574,524.4511841179963,141.92745589054098,0.2011776961448182,168,1.293211640211639,0.8448062850627439,8737.730158730159
14,169,204.92999999999975,0.284625,0.21436192468619247,0.1241008867751864,1401026,1465.508368200837,506.4663525328853,122.29215535860207,0.21624961936359027,144,1.2126035502958565,0.849251078879181,8290.094674556212
15,147,170.74700000000004,0.26889291338582677,0.22378374836173004,0.12135158088840427,1174523,1539.348623853211,533.7607237127099,112.06649998316169,0.17125197360467906,127,1.1615442176870752,0.8824133856941866,7989.952380952381
16,133,151.095,0.2798055555555556,0.2183453757225434,0.12372550528410385,1052715,1521.2644508670521,534.7545309667215,94.77662622228301,0.17919767545223292,108,1.1360526315789474,0.8775613539100279,7915.150375939849
17,114,138.56599999999992,0.28867916666666665,0.22979436152570482,0.13799828453778615,917418,1521.4228855721392,478.3769255088869,83.28166651704888,0.20655311483538413,96,1.2154912280701746,0.8675173595525925,8047.526315789473
18,95,121.38899999999991,0.2823,0.2281748120300752,0.12742965583063876,804383,1511.998120300752,561.0324749659253,75.71869617948032,0.1880545393214612,86,1.27777894736842,0.8804499555753525,8467.189473684211
19,86,102.25699999999989,0.2801561643835616,0.22133549783549786,0.12828990942827811,708519,1533.590909090909,525.4837591491068,64.25511680996104,0.18914552190172115,73,1.189034883720929,0.8802070795885074,8238.593023255815
20,69,81.40100000000008,0.2668885245901639,0.2305977337110482,0.13750484800299112,503934,1427.5750708215298,492.939389308169,53.72220040787494,0.20825906912637018,61,1.1797246376811605,0.880691809965163,7303.391304347826
21,51,68.37600000000005,0.2972869565217391,0.2382439024390244,0.1416834687603413,443380,1544.878048780488,568.8070551286587,41.60214898316555,0.16751222565766016,46,1.340705882352942,0.9043945431122945,8693.725490196079
22,38,42.94199999999999,0.25259999999999994,0.2359450549450549,0.14986212437337287,282584,1552.6593406593406,648.6493188898518,31.315040798603388,0.12399037904868732,34,1.1300526315789472,0.9210306117236291,7436.421052631579
23,23,11.675999999999998,0.1946,0.2653636363636364,0.13690890981516454,73675,1674.4318181818182,485.8001552138339,10.931329565606145,0.12919277164353685,12,0.5076521739130434,0.9109441304671787,3203.2608695652175
