,Kx,FOx,RMx,RMk,PROP_FOx,AVG_RMx
0,1644,136,78.68507936507935,136,0.0827250608272506,0.5785667600373481
1,1644,99,53.014920634920614,99,0.060218978102189784,0.535504248837582
2,1644,102,58.53111111111107,102,0.06204379562043796,0.5738344226579517
3,1644,100,56.86666666666663,100,0.06082725060827251,0.5686666666666663
4,1644,112,66.31174603174598,112,0.0681265206812652,0.592069160997732
5,1644,144,89.31650793650795,144,0.08759124087591241,0.6202535273368608
6,1644,164,100.53650793650796,164,0.09975669099756691,0.6130274874177315
7,1644,217,126.25555555555563,217,0.13199513381995134,0.5818228366615467
8,1644,244,135.61714285714294,244,0.14841849148418493,0.5558079625292743
9,1644,272,154.08793650793646,272,0.1654501216545012,0.5664997665732958
10,1644,327,199.21873015873004,327,0.1989051094890511,0.6092315906994803
11,1644,310,183.58190476190472,310,0.18856447688564476,0.5921996927803378
12,1644,381,225.16761904761898,381,0.23175182481751824,0.5909911261092362
13,1644,396,241.2793650793649,396,0.24087591240875914,0.6092913259579922
14,1644,448,267.06190476190477,448,0.2725060827250608,0.5961203231292517
15,1644,469,273.1965079365078,469,0.28527980535279807,0.5825085457068397
16,1644,475,283.27999999999986,475,0.2889294403892944,0.5963789473684208
17,1644,475,290.0866666666666,475,0.2889294403892944,0.6107087719298244
18,1644,499,309.6288888888888,499,0.3035279805352798,0.6204987753284344
19,1644,513,317.55174603174595,513,0.31204379562043794,0.6190092515238712
20,1644,501,325.8311111111112,501,0.30474452554744524,0.650361499223775
21,1643,512,313.91555555555556,512,0.31162507608034085,0.6131163194444444
22,1642,543,332.8638095238091,543,0.33069427527405604,0.6130088573182488
23,1642,525,318.77492063492065,525,0.3197320341047503,0.6071903250188965
24,1641,507,326.2412698412698,507,0.30895795246800734,0.6434739050123665
25,1641,531,338.9673015873014,531,0.3235831809872029,0.6383565001644094
26,1640,545,340.9003174603176,545,0.3323170731707317,0.6255051696519589
27,1640,545,332.48952380952375,545,0.3323170731707317,0.6100725207514197
28,1640,541,360.534920634921,541,0.3298780487804878,0.6664231435026265
29,1640,554,357.94158730158773,554,0.3378048780487805,0.6461039481978118
30,1640,529,349.655873015873,529,0.3225609756097561,0.6609751852852042
31,1639,516,333.20380952380975,516,0.3148261134838316,0.6457438169066081
32,1637,544,348.1485714285716,544,0.3323152107513745,0.639978991596639
33,1637,553,358.94920634920635,553,0.33781307269395233,0.6490944056947674
34,1636,564,365.8863492063498,564,0.34474327628361856,0.6487346617133861
35,1634,522,352.9746031746034,522,0.31946144430844553,0.6761965578057536
36,1634,542,359.65365079365097,542,0.3317013463892289,0.6635676213905
37,1633,547,358.2038095238098,547,0.33496631965707285,0.6548515713415171
38,1632,553,349.79333333333324,553,0.3388480392156863,0.6325376732971668
39,1631,521,355.26444444444445,521,0.31943592887798894,0.6818895286841544
40,1630,537,354.52190476190447,537,0.3294478527607362,0.660189766781945
41,1630,557,379.15746031746045,557,0.34171779141104297,0.6807135732808984
42,1627,551,364.28539682539673,551,0.338660110633067,0.6611350214617
43,1627,546,382.5330158730161,546,0.3355869698832207,0.7006099191813482
44,1620,555,373.42412698412704,555,0.3425925925925926,0.6728362648362649
45,1619,558,376.34888888888935,558,0.34465719579987647,0.6744603743528483
46,1618,564,378.69174603174645,564,0.34857849196538937,0.6714392660137348
47,1618,552,367.44888888888886,552,0.3411619283065513,0.6656682769726248
48,1617,576,394.6187301587303,576,0.3562152133580705,0.685101962081129
49,1614,549,365.18825396825366,549,0.34014869888475835,0.6651880764449065
50,1614,523,359.7698412698415,523,0.32403965303593557,0.6878964460226414
51,1613,522,361.7180952380955,522,0.3236205827650341,0.6929465426017155
52,1610,530,373.49460317460347,530,0.32919254658385094,0.704706798442648
53,1605,553,393.23619047619064,553,0.3445482866043614,0.7110961853095672
54,1604,548,388.5977777777781,548,0.341645885286783,0.7091200324412009
55,1604,553,388.363174603175,553,0.34476309226932667,0.7022842217055606
56,1603,566,385.9704761904765,566,0.35308796007485965,0.6819266363789338
57,1602,544,376.34190476190514,544,0.33957553058676654,0.6918049719887962
58,1601,573,403.35492063492103,573,0.3579013116801999,0.7039352890661799
59,1601,550,363.8774603174605,550,0.3435352904434728,0.6615953823953827
60,1601,562,391.91333333333336,562,0.3510306058713304,0.6973546856465006
61,1600,563,380.94507936507983,563,0.351875,0.6766342439877084
62,1598,545,371.19428571428614,545,0.34105131414267836,0.6810904325032773
63,1596,540,378.7768253968259,540,0.3383458646616541,0.7014385655496777
64,1595,539,390.86984126984174,539,0.33793103448275863,0.7251759578290199
65,1592,539,397.6200000000005,539,0.3385678391959799,0.7376994434137301
66,1589,533,385.88920634920686,533,0.3354310887350535,0.7239947586289059
67,1586,552,384.26603174603224,552,0.3480453972257251,0.6961341154819425
68,1584,562,380.64984126984183,562,0.3547979797979798,0.6773128848217826
69,1584,580,417.3253968253971,580,0.3661616161616162,0.7195265462506847
70,1584,571,412.6593650793655,571,0.36047979797979796,0.7226959108220061
71,1582,544,408.3882539682539,544,0.3438685208596713,0.7507137021475255
72,1580,512,382.35174603174653,512,0.3240506329113924,0.7467807539682549
73,1579,566,414.8644444444446,566,0.3584547181760608,0.7329760502552024
74,1577,577,420.28031746031763,577,0.3658845909955612,0.7283887650958711
75,1577,558,404.65873015873024,558,0.3538363982244769,0.7251948569152872
76,1576,584,436.7488888888896,584,0.37055837563451777,0.7478576864535781
77,1575,565,421.00793650793736,565,0.35873015873015873,0.7451467902795351
78,1575,612,450.82507936508006,612,0.38857142857142857,0.7366422865442485
79,1575,617,464.48761904762,617,0.39174603174603173,0.7528162383267747
80,1553,547,408.0873015873023,547,0.35222150676110753,0.7460462551870243
81,1506,558,409.42126984127054,558,0.3705179282868526,0.7337298742675099
82,1471,545,408.22888888888957,545,0.37049626104690686,0.7490438328236506
83,1435,558,413.72984126984204,558,0.38885017421602786,0.7414513284405772
84,1405,548,402.87269841269887,548,0.3900355871886121,0.7351691576874066
85,1367,531,395.1784126984136,531,0.3884418434528164,0.7442154664753552
86,1328,523,381.8885714285718,523,0.3938253012048193,0.7301884730947836
87,1298,512,392.6768253968258,512,0.39445300462249616,0.7669469246031754
88,1264,493,372.6126984126988,493,0.3900316455696203,0.7558066904922897
89,1230,478,356.9238095238098,478,0.3886178861788618,0.7467025303845393
90,1186,455,341.57746031746046,455,0.3836424957841484,0.7507196930054076
91,1158,446,339.79269841269866,446,0.385146804835924,0.7618670367997727
92,1124,451,349.4574603174606,451,0.4012455516014235,0.7748502446063428
93,1093,409,300.14476190476194,409,0.37419945105215,0.7338502736057749
94,1056,395,294.99587301587275,395,0.3740530303030303,0.746824994976893
95,1028,422,315.98539682539695,422,0.41050583657587547,0.7487805611976232
96,997,416,305.2822222222224,416,0.4172517552657974,0.7338514957264961
97,972,373,273.67428571428576,373,0.3837448559670782,0.7337112217541173
98,941,359,267.5596825396827,359,0.38150903294367694,0.7452915948180576
