,Kx,FOx,RMx,RMk,PROP_FOx,AVG_RMx
0,4274,338,184.83873015873024,338,0.07908282639213851,0.5468601483986102
1,4274,279,148.88984126984136,279,0.06527842770238652,0.5336553450531948
2,4274,298,161.89936507936505,298,0.06972391202620495,0.5432864599978693
3,4274,324,172.23968253968252,324,0.07580720636406177,0.5316039584558102
4,4273,387,198.5701587301587,387,0.0905686871050784,0.5131011853492473
5,4273,478,270.7701587301586,478,0.11186520009361105,0.566464767217905
6,4272,573,313.83619047619044,573,0.13412921348314608,0.547707138701903
7,4272,681,376.9355555555553,681,0.15941011235955055,0.5535030184369388
8,4269,751,409.9561904761906,751,0.17591941906769734,0.5458804134170314
9,4266,850,457.44539682539715,850,0.1992498827941866,0.5381710550887026
10,4265,969,540.6895238095251,969,0.2271981242672919,0.5579871246744325
11,4258,1018,585.364444444446,1018,0.2390793799906059,0.5750141890416954
12,4250,1073,609.3869841269853,1073,0.2524705882352941,0.5679282237902938
13,4239,1108,635.0031746031759,1108,0.26138240150979003,0.5731075583061155
14,4231,1182,696.0342857142882,1182,0.279366580004727,0.5888614938361152
15,4214,1188,707.5869841269867,1188,0.28191741813004273,0.5956119395008306
16,4206,1276,771.5657142857184,1276,0.30337612933903946,0.6046753246753279
17,4186,1301,797.779365079369,1301,0.3107978977544195,0.6132047387235734
18,4172,1319,817.7273015873059,1319,0.31615532118887824,0.619960046692423
19,4146,1314,796.5209523809566,1314,0.31693198263386396,0.6061803290570446
20,4123,1311,823.7215873015926,1311,0.31797235023041476,0.6283154746770349
21,4106,1282,783.2339682539717,1282,0.31222601071602535,0.6109469331154226
22,4081,1320,809.20793650794,1320,0.32345013477088946,0.6130363155363181
23,4063,1332,832.3742857142904,1332,0.327836573960128,0.6249056199056234
24,4040,1299,853.8828571428619,1299,0.32153465346534654,0.6573386121192163
25,4011,1300,822.8228571428613,1300,0.32410870107205186,0.6329406593406625
26,3969,1348,876.9234920634968,1348,0.3396321491559587,0.6505367151806356
27,3949,1347,866.939047619053,1347,0.3410990124082046,0.643607310778807
28,3922,1293,849.9838095238147,1293,0.3296787353391127,0.6573734025706224
29,3873,1281,819.2450793650837,1281,0.3307513555383424,0.639535581081252
30,3839,1251,818.4831746031792,1251,0.3258661109663975,0.6542631291792
31,3813,1243,796.9095238095282,1243,0.3259900340938893,0.6411178791709801
32,3773,1248,820.5996825396861,1248,0.33077126954677977,0.6575317969067997
33,3739,1238,825.2326984127022,1238,0.3311045734153517,0.6665853783624412
34,3708,1219,823.8812698412733,1219,0.32874865156418553,0.675866505202029
35,3663,1227,832.5114285714321,1227,0.33497133497133497,0.6784934218186081
36,3627,1231,830.5892063492106,1231,0.3393989523021781,0.6747272188052076
37,3598,1203,800.6771428571471,1203,0.33435241801000554,0.6655670347939711
38,3549,1202,790.6139682539715,1202,0.33868695407156946,0.6577487256688614
39,3497,1175,816.3231746031794,1175,0.3360022876751501,0.6947431273218548
40,3451,1130,777.8793650793683,1130,0.32744132135612863,0.6883888186543082
41,3402,1138,804.2444444444493,1138,0.33450911228689006,0.7067174380003948
42,3348,1128,762.6726984127017,1128,0.33691756272401435,0.6761282787346646
43,3303,1117,800.1079365079407,1117,0.3381774144716924,0.7163007488880401
44,3245,1095,772.4117460317497,1095,0.337442218798151,0.7053988548235157
45,3208,1091,755.2101587301615,1091,0.34008728179551123,0.6922182939781499
46,3157,1063,738.7428571428607,1063,0.3367120684193855,0.694960354791026
47,3107,1062,744.6352380952417,1062,0.3418088187962665,0.7011631243834667
48,3063,1052,735.9479365079393,1052,0.3434541299379693,0.6995702818516533
49,3011,1015,714.6596825396857,1015,0.33709730986383263,0.7040982093987052
50,2960,962,667.9031746031768,962,0.325,0.6942860442860466
51,2902,959,677.7768253968276,959,0.3304617505168849,0.7067537282552947
52,2845,948,683.1917460317487,948,0.33321616871704746,0.7206663987676675
53,2796,962,694.4641269841294,962,0.3440629470672389,0.7218961818961844
54,2747,947,685.6517460317489,947,0.34473971605387693,0.7240250750071265
55,2691,946,689.0673015873044,946,0.35154217762913414,0.7284009530521188
56,2627,907,640.4558730158753,907,0.3452607537114579,0.7061255490803476
