,Kx,FOx,RMx,RMk,PROP_FOx,AVG_RMx
36,1217,415,268.9441269841268,415,0.3410024650780608,0.6480581373111489
37,1208,401,265.45968253968243,401,0.33195364238410596,0.661994220797213
38,1187,401,262.4349206349205,401,0.33782645324347094,0.6544511736531683
39,1170,389,262.8676190476188,389,0.33247863247863246,0.6757522340555753
40,1153,389,259.5888888888888,389,0.33738074588031225,0.6673236218223362
41,1140,388,266.20507936507926,388,0.34035087719298246,0.6860955653739156
42,1120,390,261.10730158730144,390,0.3482142857142857,0.6695059015059012
43,1106,392,270.3425396825394,392,0.35443037974683544,0.6896493359248453
44,1080,372,253.27841269841264,372,0.34444444444444444,0.6808559481140125
45,1064,361,231.61714285714274,361,0.3392857142857143,0.6415987336762957
46,1051,373,257.8958730158731,373,0.3549000951474786,0.6914098472275418
47,1035,349,246.55365079365077,349,0.33719806763285026,0.7064574521308045
48,1022,364,250.73238095238094,364,0.3561643835616438,0.6888252223966509
49,1006,344,241.5895238095237,344,0.341948310139165,0.7022951273532666
50,987,309,217.19682539682523,309,0.3130699088145897,0.7029023475625412
51,971,338,241.2844444444443,338,0.34809474768280124,0.7138593030900718
52,953,301,214.04095238095223,301,0.31584470094438616,0.7110995095712699
53,937,298,217.9692063492063,298,0.31803628601921025,0.7314402897624372
54,921,298,215.9380952380953,298,0.32356134636264927,0.7246244806647493
55,902,310,222.16444444444437,310,0.3436807095343681,0.7166594982078851
56,887,308,222.4619047619047,308,0.34723788049605414,0.7222789115646256
57,870,296,213.8228571428571,296,0.34022988505747126,0.7223745173745172
58,851,305,222.1568253968253,305,0.3584018801410106,0.7283830340879518
59,835,294,197.84158730158728,294,0.3520958083832335,0.672930569053018
60,816,298,205.86222222222221,298,0.36519607843137253,0.6908128262490678
61,799,273,188.92507936507928,273,0.34167709637046306,0.6920332577475432
62,784,272,190.77460317460304,272,0.3469387755102041,0.7013772175536876
63,770,260,177.62698412698413,260,0.33766233766233766,0.6831807081807082
64,755,254,181.6787301587301,254,0.33642384105960266,0.7152705911761028
65,734,259,191.58761904761894,259,0.3528610354223433,0.7397205368633936
66,716,229,167.95619047619047,229,0.3198324022346369,0.7334331461842378
67,700,213,144.37999999999997,213,0.30428571428571427,0.6778403755868543
68,680,227,161.98793650793658,227,0.3338235294117647,0.713603244528355
69,663,234,166.10793650793659,234,0.35294117647058826,0.7098629765296435
70,656,238,174.8457142857143,238,0.3628048780487805,0.7346458583433374
71,647,225,175.543492063492,225,0.34775888717156106,0.7801932980599645
72,629,213,160.93555555555554,213,0.3386327503974563,0.7555659885237349
