,PART_ID,SEX,AGE,ACC,ACC_EASY,ACC_MEDIUM,ACC_HARD,PERC_SE_MED,PERC_BE_MED,PERC_CON_MED,TRS,ERS,LAT_P,LAT_N,LAT_EASY_P,LAT_MED_P,LAT_HARD_P,LAT_EASY_N,LAT_MED_N,LAT_HARD_N,PUP_SIZE_EASY,PUP_SIZE_MED,PUP_SIZE_HARD,PUP_SIZE_EASY_P,PUP_SIZE_MED_P,PUP_SIZE_HARD_P,PUP_SIZE_EASY_N,PUP_SIZE_MED_N,PUP_SIZE_HARD_N,NT_EASY,NT_MEDIUM,NT_HARD,NT_EASY_P,NT_MED_P,NT_HARD_P,NT_EASY_N,NT_MED_N,NT_HARD_N,NT_PR_EASY,NT_PR_MEDIUM,NT_PR_HARD,NT_PR_EASY_P,NT_PR_MEDIUM_P,NT_PR_HARD_P,NT_PR_EASY_N,NT_PR_MED_N,NT_PR_HARD_N,NT_OP_EASY,NT_OP_MEDIUM,NT_OP_HARD,NT_OP_EASY_P,NT_OP_MEDIUM_P,NT_OP_HARD_P,NT_OP_EASY_N,NT_OP_MED_N,NT_OP_HARD_N,NT_COR_EASY,NT_COR_MED,NT_COR_HARD,NT_ERR_EASY,NT_ERR_MED,NT_ERR_HARD,NT_SE_MED,NT_BE_MED,NT_CON_MED,NT_COR_EASY_P,NT_COR_MED_P,NT_COR_HARD_P,NT_ERR_EASY_P,NT_ERR_MED_P,NT_ERR_HARD_P,NT_COR_EASY_N,NT_COR_MED_N,NT_COR_HARD_N,NT_ERR_EASY_N,NT_ERR_MED_N,NT_ERR_HARD_N,RT_PR_EASY,RT_PR_MEDIUM,RT_PR_HARD,RT_SE_MED,RT_BE_MED,RT_CON_MED,RT_PR_EASY_P,RT_PR_MED_P,RT_PR_HARD_P,RT_PR_EASY_N,RT_PR_MED_N,RT_PR_HARD_N,RT_OP_EASY,RT_OP_MEDIUM,RT_OP_HARD,RT_OP_EASY_P,RT_OP_MED_P,RT_OP_HARD_P,RT_OP_EASY_N,RT_OP_MED_N,RT_OP_HARD_N,RT_COR_EASY,RT_COR_MED,RT_COR_HARD,RT_COR_EASY_P,RT_COR_MED_P,RT_COR_HARD_P,RT_COR_EASY_N,RT_COR_MED_N,RT_COR_HARD_N,RT_ERR_EASY,RT_ERR_MED,RT_ERR_HARD,RT_ERR_EASY_P,RT_ERR_MED_P,RT_ERR_HARD_P,RT_ERR_EASY_N,RT_ERR_MED_N,RT_ERR_HARD_N,DUR_PR_EASY,DUR_PR_MEDIUM,DUR_PR_HARD,DUR_SE_MED,DUR_BE_MED,DUR_CON_MED,DUR_PR_EASY_P,DUR_PR_MED_P,DUR_PR_HARD_P,DUR_PR_EASY_N,DUR_PR_MED_N,DUR_PR_HARD_N,DUR_OP_EASY,DUR_OP_MEDIUM,DUR_OP_HARD,DUR_OP_EASY_P,DUR_OP_MED_P,DUR_OP_HARD_P,DUR_OP_EASY_N,DUR_OP_MED_N,DUR_OP_HARD_N,DUR_COR_EASY,DUR_COR_MED,DUR_COR_HARD,DUR_COR_EASY_P,DUR_COR_MED_P,DUR_COR_HARD_P,DUR_COR_EASY_N,DUR_COR_MED_N,DUR_COR_HARD_N,DUR_ERR_EASY,DUR_ERR_MED,DUR_ERR_HARD,DUR_ERR_EASY_P,DUR_ERR_MED_P,DUR_ERR_HARD_P,DUR_ERR_EASY_N,DUR_ERR_MED_N,DUR_ERR_HARD_N,FIX_PR_EASY,FIX_PR_MEDIUM,FIX_PR_HARD,FIX_SE_MED,FIX_BE_MED,FIX_CON_MED,FIX_PR_EASY_P,FIX_PR_MED_P,FIX_PR_HARD_P,FIX_PR_EASY_N,FIX_PR_MED_N,FIX_PR_HARD_N,FIX_OP_EASY,FIX_OP_MEDIUM,FIX_OP_HARD,FIX_OP_EASY_P,FIX_OP_MED_P,FIX_OP_HARD_P,FIX_OP_EASY_N,FIX_OP_MED_N,FIX_OP_HARD_N,FIX_COR_EASY,FIX_COR_MED,FIX_COR_HARD,FIX_COR_EASY_P,FIX_COR_MED_P,FIX_COR_HARD_P,FIX_COR_EASY_N,FIX_COR_MED_N,FIX_COR_HARD_N,FIX_ERR_EASY,FIX_ERR_MED,FIX_ERR_HARD,FIX_ERR_EASY_P,FIX_ERR_MED_P,FIX_ERR_HARD_P,FIX_ERR_EASY_N,FIX_ERR_MED_N,FIX_ERR_HARD_N
0,10,MALE,26,0.2619047619047619,0.42857142857142855,0.2857142857142857,0.07142857142857142,0.6,0.3,0.1,0.7170445956160242,0.6166410650281618,20.553315288558636,20.8866492639623,19.885752515741085,20.91239069804442,23.12239028752083,21.57168374563173,20.8912460936097,20.461553560129268,987.2220228766115,997.3055243731641,994.2677138802362,1016.5964737596232,973.8122378470207,911.0171888118068,965.191184714353,1006.7028389836216,1000.6716004239614,570,603,564,252,174,34.0,318.0,429.0,530.0,395,382,381,174,94,20.0,221.0,288.0,361.0,175,221,183,78,80,14.0,97.0,141.0,169.0,26,16,51,158,140,171,51,61,28,5,5,1,64,57,14,21,11,50,94,83,157,0.39985544446513777,0.40040398445151554,0.3901217173602003,0.7699965739732895,0.9684838717385869,0.523002563289406,0.4077626260433464,0.3579695936294858,0.2696088043875159,0.3943885465928359,0.4173949203856863,0.4005974487596224,0.17672190237458726,0.2063323162409682,0.19450573082964567,0.1733653276269551,0.25160920508682166,0.1521036517534317,0.1790425840440993,0.18820323030911382,0.19819158307753013,0.02891520183086514,0.02225510993199609,0.050265875705015305,0.015522000810496536,0.010914581852248216,0.008952361647131181,0.03817504510591385,0.02679591238797546,0.05385710311592968,0.15221250025397004,0.14434204228509642,0.15964162657680356,0.15195133622802495,0.1768449171306767,0.21784080008019208,0.1523930648513097,0.1313277335256332,0.15458259270025915,291.05486284289276,296.56455696202534,287.00508905852416,280.21153846153845,307.04761904761904,296.92857142857144,278.01142857142855,299.44,311.7,301.15486725663715,295.58983050847456,285.6809651474531,276.80104712041884,304.625,263.8652173913043,277.52777777777777,245.40625,276.0,276.3613445378151,344.1041666666667,262.77251184834125,301.42857142857144,383.0,274.20754716981133,264.57142857142856,152.16666666666666,207.0,313.7142857142857,508.90909090909093,275.5,272.57055214723925,295.3076923076923,260.7683615819209,278.9230769230769,255.05172413793105,279.8333333333333,268.35714285714283,322.77647058823527,258.61006289308176,116713,117143,112793,14571,19344,8314,48652,29944.0,6234.0,68061.0,87199.0,106559.0,52869,48740,60689,19982,15706,5244.0,32887.0,33034.0,55445.0,8440,6511,14533,1852,913,207.0,6588.0,5598.0,14326.0,44429,42229,46156,18130,14793,5037.0,26299.0,27436.0,41119.0
1,25,FEMALE,18,0.4523809523809524,0.5714285714285714,0.35714285714285715,0.42857142857142855,0.3333333333333333,0.2222222222222222,0.4444444444444444,0.6405420054200541,0.3301010101010101,54.920091361121244,77.11492328861728,48.52212715140121,52.612408594315276,65.37377927975292,83.72118962307077,72.0467574154064,77.22838941098803,1182.3680462810848,1140.3318503399073,1171.5352508424824,1150.3932066578222,1085.4771758664892,1120.5850271849008,1225.0011657787688,1174.6160218857935,1209.7479185856685,2376,2455,2894,997,787,1160.0,1379.0,1668.0,1734.0,1541,1341,1651,626,365,618.0,915.0,976.0,1033.0,835,1114,1243,371,422,542.0,464.0,692.0,701.0,170,157,284,821,885,1093,283,410,192,79,57,136,338,220,382,91,100,148,483,665,711,0.44347462929281434,0.3930793530299098,0.41431493520818696,0.9191166996837743,1.41459877189814,0.5971307328001348,0.4008197113724098,0.3346282839045363,0.38131495952415456,0.47643653312758916,0.41975692015714583,0.4352657779914453,0.20023376534395274,0.28418720537255826,0.26099087643020463,0.20463859651118488,0.34083974634716835,0.2917963982425192,0.1968298994259909,0.25833050185295436,0.24143323643296286,0.041480996797919736,0.038194687972496984,0.06110072843674586,0.044309681504511554,0.04546836124621892,0.07853811405582146,0.03929510973440307,0.03487492137241839,0.05003017710803466,0.19539717926396571,0.21678004972924939,0.2369628337968547,0.1882440143545156,0.1710813140946478,0.20130140062759225,0.2009248404424389,0.23763734294499786,0.25960336804780587,250.42232086239696,243.15770081061163,248.50771971496437,205.4049295774648,206.0462287104623,203.94240837696336,242.7285491419657,239.20652173913044,234.8006279434851,255.69123931623932,244.62790697674419,256.847182425979,212.00100502512564,205.21093000958774,218.95636363636365,215.44630071599045,204.9136690647482,211.4932562620424,209.49479166666666,205.31895424836603,223.48130841121494,216.01754385964912,204.21656050955414,215.7902097902098,220.51282051282053,206.22413793103448,223.231884057971,212.247311827957,203.04040404040404,208.85135135135135,211.16747572815535,205.38713318284425,219.78787878787878,214.2873900293255,204.5681818181818,207.24146981627297,208.9648033126294,205.65765765765767,226.53954802259886,394916,329965,418487,58335,84685,38953,155589,88028.0,149568.0,239327.0,241937.0,268919.0,210941,214035,301065,90272,56966,109765.0,120669.0,157069.0,191300.0,36939,32062,61716,17200,11961,30806.0,19739.0,20101.0,30910.0,174002,181973,239349,73072,45005,78959.0,100930.0,136968.0,160390.0
2,64,FEMALE,21,0.9047619047619048,0.9285714285714286,1.0,0.7857142857142857,0.0,0.0,0.0,0.975609756097561,0.6666666666666666,40.93933392933353,73.83747736513881,28.097308551592086,42.926535860282456,53.58710691818388,32.317218402438805,0.0,94.59760684648882,1368.6212512751715,1362.1436539512626,1368.188958297326,1364.0769412445527,1362.1436539512626,1351.8978268993005,1427.6972816732161,0.0,1457.790180986466,1131,1531,2008,1036,1531,1543.0,95.0,0.0,465.0,492,687,934,440,687,703.0,52.0,0.0,231.0,639,844,1074,596,844,840.0,43.0,0.0,234.0,124,108,154,634,778,824,306,369,103,113,108,136,589,778,643,11,0,18,45,0,181,0.2764283507288476,0.2615015844603325,0.2763899866373312,1.3724033317950346,1.7229774204888522,0.5105160618628986,0.2748689223701218,0.2615015844603325,0.27215501710638473,0.2940537728730657,0.0,0.28958449281338017,0.29558162125649623,0.26253657530080415,0.2635729872755829,0.2998234067068116,0.26253657530080415,0.2666346933040598,0.24763888712018783,0.0,0.2540339105935,0.06277192023092953,0.030505606235317204,0.03580797356756161,0.06229723434792949,0.030505606235317204,0.041565289944918045,0.06813705228522474,0.0,0.01787043093746876,0.30469420157450955,0.24857085484408584,0.1956172052888548,0.3071961358695879,0.24857085484408584,0.19749323144556097,0.2764161162869721,0.0,0.18977224264385634,218.93027888446215,226.12230215827338,227.25659978880677,193.94788273615634,194.16120218579235,193.5979381443299,224.10714285714286,226.12230215827338,225.63150492264415,175.9814814814815,0.0,232.15254237288136,192.48748353096178,191.2394526795895,187.12357217030114,192.25498575498577,191.2394526795895,184.9278215223097,195.35087719298247,0.0,195.44776119402985,202.90243902439025,171.33644859813083,188.3918918918919,203.16964285714286,171.33644859813083,188.46923076923076,200.1818181818182,0.0,187.83333333333334,190.47327044025158,194.0051948051948,186.89325153374233,190.18305084745762,194.0051948051948,184.1993670886076,194.19565217391303,0.0,196.19672131147541,109903,157155,215212,59542,71063,18779,100400,157155.0,160424.0,9503.0,0.0,54788.0,146098,167717,180200,134963,167717,140915.0,11135.0,0.0,39285.0,24957,18333,27882,22755,18333,24501.0,2202.0,0.0,3381.0,121141,149384,152318,112208,149384,116414.0,8933.0,0.0,35904.0
3,139,MALE,20,0.4523809523809524,0.7142857142857143,0.42857142857142855,0.21428571428571427,0.875,0.125,0.0,0.8589365079365081,0.7313076341647771,82.51151059740464,99.17196880554668,63.9881845221491,107.95872185970074,93.36150832366427,57.12575382721237,104.6413625673431,107.41031828960986,1417.9724585022864,1421.2408293606063,1419.1230687495818,1420.3639554005308,1343.7144768036585,1385.3711144234205,1410.0008021748047,1479.3855937783178,1429.24865504743,1959,3467,3282,1545,1526,676.0,414.0,1941.0,2606.0,1130,1952,1871,887,832,420.0,243.0,1120.0,1451.0,829,1515,1411,658,694,256.0,171.0,821.0,1155.0,161,220,164,1209,1063,981,499,382,182,150,89,15,988,356,223,11,131,149,221,707,758,0.3993717880304329,0.3740677974827865,0.3982638424989549,1.3420952298035724,1.016222344213568,0.41272906139994037,0.3986017135893476,0.3633749948520254,0.454059359449334,0.4022470624399983,0.3823416383196648,0.3837145318652952,0.26968325925993136,0.2789976956818046,0.28773115996873455,0.2720158437058813,0.2864397256097006,0.2677870189642493,0.260973944929049,0.27323922680765195,0.29293181978256555,0.05128940884139299,0.040778964101305236,0.03303751742841176,0.06038927387699884,0.040723898210961895,0.015306093760246078,0.017312681824583308,0.04082157280063081,0.03766118622880298,0.4044725011882998,0.19575680686205246,0.19859137580238215,0.4154016901479558,0.14958494989396648,0.2243501314701616,0.3636655146731817,0.23148351097216632,0.19187448960379444,275.97444633730834,272.8128683693517,276.0102354145343,274.0451866404715,271.6709183673469,235.22105263157894,277.84095860566447,274.33216783216784,285.1457399103139,269.28125,271.7062818336163,273.3083554376658,263.72396576319545,267.093536121673,266.04664970313826,261.10634648370495,270.3355263157895,270.66129032258067,276.65677966101697,265.37252619324795,264.8174006444683,250.65662650602408,270.32142857142856,263.17058823529413,249.30322580645162,296.39325842696627,285.8,269.72727272727275,253.13333333333333,260.98064516129034,265.4789644012945,266.4307974335472,266.5312190287413,262.9159248269041,264.01634877384197,269.68669527897,276.99555555555554,267.6546961325967,265.5837628865979,323994,555447,539324,139489,106495,44692,255058,235377.0,127175.0,68936.0,320070.0,412149.0,369741,351228,313669,304450,123273,67124.0,65291.0,227955.0,246545.0,41609,60552,44739,38642,26379,4287.0,2967.0,34173.0,40452.0,328132,290676,268930,265808,96894,62837.0,62324.0,193782.0,206093.0
4,148,FEMALE,20,0.9523809523809523,1.0,1.0,0.8571428571428571,0.0,0.0,0.0,0.99442932728647,0.883015873015873,49.774582757103374,69.04713759089282,43.436715537628,48.93260118219899,58.15107301721309,0.0,0.0,69.04713759089282,1652.861513978349,1661.2896449449986,1640.6402487825194,1652.861513978349,1661.2896449449986,1636.4545719217701,0.0,0.0,1665.7543099470145,1535,1815,2176,1535,1815,1823.0,0.0,0.0,353.0,914,986,1059,914,986,879.0,0.0,0.0,180.0,621,829,1117,621,829,944.0,0.0,0.0,173.0,140,249,118,592,851,714,387,281,183,140,249,108,592,851,655,0,0,10,0,0,59,0.3905534047149905,0.372770758481128,0.329589236726133,1.7969457632395416,1.2884733107289505,1.0373692338587883,0.3905534047149905,0.372770758481128,0.32930604727330864,0.0,0.0,0.33102023917954077,0.22777471988449516,0.2704390405286651,0.2934476629283457,0.22777471988449516,0.2704390405286651,0.29521524612713107,0.0,0.0,0.28451577698118996,0.04882636996390541,0.08638412628547786,0.03005596968308264,0.04882636996390541,0.08638412628547786,0.03373683805890595,0.0,0.0,0.011455941949204443,0.2158394580901389,0.27139516616178866,0.1931195345462518,0.2158394580901389,0.27139516616178866,0.21002765210743587,0.0,0.0,0.10768006117867893,252.66063829787234,252.09180651530107,254.86216466234967,215.62982005141387,206.56993006993008,226.1157894736842,252.66063829787234,252.09180651530107,257.0402684563758,0.0,0.0,244.44919786096256,218.67798913043478,220.01705565529622,224.22355769230768,218.67798913043478,220.01705565529622,223.52431011826545,0.0,0.0,231.71830985915494,215.15942028985506,237.66265060240963,214.73504273504273,215.15942028985506,237.66265060240963,220.01869158878506,0.0,0.0,158.2,219.48996655518394,214.93757225433527,225.7762237762238,219.48996655518394,214.93757225433527,224.09785932721712,0.0,0.0,243.7704918032787,237501,255369,275506,83880,59079,42962,237501,255369.0,229794.0,0.0,0.0,45712.0,160947,245099,186554,160947,245099,170102.0,0.0,0.0,16452.0,29692,59178,25124,29692,59178,23542.0,0.0,0.0,1582.0,131255,185921,161430,131255,185921,146560.0,0.0,0.0,14870.0
5,149,FEMALE,20,0.5,0.7142857142857143,0.5714285714285714,0.21428571428571427,0.8333333333333334,0.16666666666666666,0.0,0.8660468631897205,0.7320937263794407,55.77778665616903,65.54284993120052,51.151133751211816,63.921724942335004,49.4827942429171,67.63069224892661,64.22685832567852,65.5014481459485,2074.0494427084896,2115.901206990511,2166.9667729457638,2053.7680465297576,2085.552146855422,2171.755628327332,2124.752933155318,2156.3666205039626,2165.660721478063,2007,2212,2010,1306,1251,369.0,701.0,961.0,1641.0,1028,1161,1025,692,637,185.0,336.0,524.0,840.0,979,1051,985,614,614,184.0,365.0,437.0,801.0,166,159,133,950,826,776,317,344,165,123,87,41,693,496,164,43,72,92,257,330,612,0.36322968223018015,0.3679214244818134,0.34818691136724295,1.6298815119451386,1.6480927291521714,0.8897730746665412,0.3731432443478893,0.3571164579897229,0.39744454547414176,0.34448486663789496,0.382259602498998,0.33803832780404813,0.3615814165224912,0.34069598845547133,0.3393338435360275,0.3477870126305567,0.3485434728192764,0.3603340030840223,0.3876642265245498,0.33028238579620567,0.3350071665066206,0.05957668548249415,0.049125998741232406,0.04137108911116526,0.06431919996146825,0.04688351265087946,0.08050609767731302,0.05060941838953783,0.05210177518515547,0.03330807691252885,0.36231795728868893,0.2777197433208921,0.2577482145364152,0.3884586429040639,0.2903199188811206,0.3038093050997253,0.31289048354130744,0.26099932495008227,0.24825821699452832,272.6084452975048,280.0747028862479,290.36660268714013,304.94670846394985,293.7906976744186,307.26666666666665,271.8903133903134,282.69349845201236,308.9005235602094,274.0911764705882,276.89473684210526,286.2068155111633,295.3769024171889,296.65384615384613,285.0043859649123,282.7851037851038,295.77530017152657,276.9466019417476,329.98322147651004,297.9185185185185,287.3555240793201,280.6686746987952,275.33125,268.2835820895522,267.479674796748,272.4431818181818,291.4878048780488,318.3953488372093,278.8611111111111,258.0537634408602,297.944269190326,300.77415458937196,287.8843187660668,285.48994252873564,299.9232323232323,273.3333333333333,331.9372549019608,302.03903903903904,291.8009787928222,284058,329928,302562,97278,101064,50699,190867,182620.0,59000.0,93191.0,147308.0,243562.0,329936,293094,259924,231601,172437,57051.0,98335.0,120657.0,202873.0,46591,44053,35950,32900,23975,11951.0,13691.0,20078.0,23999.0,283345,249041,223974,198701,148462,45100.0,84644.0,100579.0,178874.0
6,37,MALE,20,0.8809523809523809,0.9285714285714286,0.9285714285714286,0.7857142857142857,1.0,0.0,0.0,0.9667053813395277,0.726984126984127,43.819045465368816,40.70754288544049,37.164536105574676,43.61284745188431,51.322198782898674,31.860549115801405,36.14884196644198,45.17610778165302,1572.6532341629504,1584.1057817275127,1569.5857955033994,1568.8979692568316,1582.3002321816764,1565.0909727511541,1617.716413036379,1607.5779258233836,1586.0668122616328,1370,1657,2033,1283,1551,1629.0,87.0,106.0,404.0,758,854,1043,721,796,835.0,37.0,58.0,208.0,612,803,990,562,755,794.0,50.0,48.0,196.0,152,151,105,704,610,724,231,276,103,148,143,67,642,553,541,4,8,38,62,57,183,0.3414086578310496,0.3185009931079617,0.3286616696521673,1.3331702436660855,1.4088074597941824,0.44316911157422373,0.3463786003794368,0.3162229806389024,0.33157369155355165,0.27184088913597954,0.3542298813302859,0.31653162188695827,0.2608473732468887,0.2657549086970229,0.27547003668504005,0.2596090523662628,0.26602958463347043,0.2763114096279597,0.2781810184057484,0.26144682611890135,0.27196529175811546,0.06329172437144506,0.049927388840129226,0.029114127051291357,0.0661472896190566,0.050715472230662396,0.023549972376458263,0.02332037647246655,0.03756690190132981,0.05229165258660745,0.297686450855279,0.20182357703862414,0.20096775405260933,0.29281050719302115,0.19468328265104975,0.1877124988851474,0.36593845126848923,0.3138136488723751,0.2561826129260633,206.24146649810368,214.62905027932962,213.0435185185185,190.34710743801654,203.39007092198582,172.66981132075472,205.42021276595744,215.23169267707084,216.65277777777777,222.07692307692307,206.53225806451613,198.6064814814815,198.94809688581316,193.6670918367347,191.7547619047619,200.35794743429287,193.50904033379695,192.98867313915858,182.38235294117646,195.41538461538462,188.31981981981983,196.38311688311688,195.53246753246754,192.28301886792454,196.66666666666666,196.94520547945206,195.51470588235293,185.75,169.75,186.5,199.50210378681626,193.2111111111111,191.67847411444143,201.21109399075502,192.63350785340313,192.67636363636365,182.171875,199.01754385964912,188.69565217391303,163137,192093,230087,46064,57356,18303,154476,179288.0,187188.0,8661.0,12805.0,42899.0,172488,151835,161074,160086,139133,119267.0,12402.0,12702.0,41807.0,30243,30112,20382,29500,28754,13295.0,743.0,1358.0,7087.0,142245,121723,140692,130586,110379,105972.0,11659.0,11344.0,34720.0
7,95,MALE,25,0.47619047619047616,0.7857142857142857,0.35714285714285715,0.2857142857142857,0.6666666666666666,0.2222222222222222,0.1111111111111111,0.8380874951606658,0.6838851095993953,72.23383180738384,84.7202556185865,59.567799887332846,82.04151023637606,94.80582155128377,76.16786804402606,83.07531485441314,88.60192450229333,1795.224998233222,1853.120070697968,1808.1428851836079,1796.1603667223605,1746.4335477365573,1789.5689139599526,1791.795313773051,1919.7991475488502,1815.5724736730692,2252,2736,3262,1677,1061,982.0,575.0,1675.0,2280.0,1449,1700,1901,1085,655,556.0,364.0,1045.0,1345.0,803,1036,1361,592,406,426.0,211.0,630.0,935.0,199,178,236,891,913,855,356,374,183,179,95,51,693,361,150,20,83,185,198,552,705,0.41462658848831274,0.39369095229377066,0.3744776106602391,0.8799846712270067,0.9412648329066816,0.47029237223964615,0.41743571727944573,0.39109713982048844,0.3709555956010149,0.406571267673751,0.39529191141254544,0.37598506112739954,0.1920001297252294,0.20592847627159006,0.22777451191138615,0.18958534375185687,0.21453042428509841,0.24225569299640756,0.19892465229443992,0.20061916141043237,0.22157645119200375,0.0460786732830669,0.03651156710819851,0.03926677990485959,0.05651924830353204,0.0527781605619461,0.02639869534431676,0.016139789190669773,0.026471461514818172,0.04477442247766658,0.216513866231402,0.17817380516069972,0.14487103893202868,0.22082095035736507,0.1797675342336734,0.08234462686214958,0.20416308170366762,0.17719011990260347,0.17163284076980054,243.14930325149302,241.1071225071225,240.87697000508388,209.9138888888889,208.67733333333334,200.4255319148936,242.70008873114463,240.16616766467067,243.38235294117646,244.48157894736843,241.6853725850966,239.83441324694024,210.3952855847688,210.34275296262535,213.9384756657484,206.27241770715096,207.8257080610022,205.16417910447763,226.75675675675674,212.15360501567397,215.92454954954954,202.59701492537314,225.5344827586207,210.51694915254237,205.74444444444444,237.9120879120879,204.30612244897958,175.61904761904762,211.96385542168676,212.14438502673798,212.1330376940133,207.4788732394366,214.88511137162953,206.4079885877318,200.3858695652174,205.44078947368422,232.09950248756218,212.18198198198198,216.93295292439373,366426,423143,473805,75569,78254,37680,273523,160431.0,140675.0,92903.0,262712.0,333130.0,232066,230746,232979,181726,95392,41238.0,50340.0,135354.0,191741.0,40722,39243,49682,37034,21650,10011.0,3688.0,17593.0,39671.0,191344,191503,183297,144692,73742,31227.0,46652.0,117761.0,152070.0
8,159,FEMALE,23,0.8809523809523809,0.9285714285714286,1.0,0.7142857142857143,0.0,0.0,0.0,0.967694633408919,0.7286349206349206,63.598930524809354,80.08456485400202,51.83825891272503,68.91545094831304,71.44467502761381,86.17861614605319,0.0,78.56105203098923,1105.3074901580671,1128.3320178548324,1148.2172925253387,1101.7816730232578,1128.3320178548324,1107.1632580669152,1151.1431129105865,0.0,1250.8523786713981,2329,2942,3115,2071,2942,2159.0,258.0,0.0,956.0,1312,1685,1767,1178,1685,1197.0,134.0,0.0,570.0,1017,1257,1348,893,1257,962.0,124.0,0.0,386.0,171,246,203,1096,963,945,392,349,222,169,246,121,1033,963,657,2,0,82,63,0,288,0.4032741558137683,0.4080092703482651,0.40781052518674615,1.3732791332152725,1.2319338612564728,0.7017499349495678,0.40708424442006674,0.4080092703482651,0.3923133528029449,0.3734801211643041,0.0,0.44304396517335853,0.29145244060172726,0.2867343723289136,0.28543557965812183,0.2915770411829134,0.2867343723289136,0.290686464624173,0.290478092124092,0.0,0.27349748309791627,0.045799368515599646,0.054678801834155695,0.04543541441512458,0.05098402477931803,0.054678801834155695,0.0403766970580389,0.005256524417058031,0.0,0.05693661024594704,0.3120438030054976,0.21751705180785236,0.2053823826045796,0.329973095701944,0.21751705180785236,0.2099890578857193,0.1718407728304909,0.0,0.19490892247674996,230.63882618510158,231.69746909947028,236.8780350084698,213.3248730964467,219.39306358381504,223.7847533632287,229.5673640167364,231.69746909947028,233.18386023294508,240.19402985074626,0.0,244.68189806678384,214.16377952755906,217.2200165425972,221.6615120274914,212.87396351575455,217.2200165425972,226.996192893401,238.46875,0.0,210.48138297872342,207.20833333333334,214.4512195121951,231.38118811881188,206.97590361445782,214.4512195121951,238.40495867768595,226.5,0.0,220.88888888888889,215.22413793103448,217.92731048805814,219.62058212058213,213.8153846153846,217.92731048805814,224.92653673163417,238.8548387096774,0.0,207.62372881355932,306519,393654,419511,84050,75910,49904,274333,393654.0,280287.0,32186.0,0.0,139224.0,271988,262619,258014,256726,262619,178873.0,15262.0,0.0,79141.0,34811,52755,46739,34358,52755,28847.0,453.0,0.0,17892.0,237177,209864,211275,222368,209864,150026.0,14809.0,0.0,61249.0
9,152,FEMALE,22,0.9047619047619048,0.9285714285714286,0.9285714285714286,0.8571428571428571,1.0,0.0,0.0,1.0,0.0,77.09554723178502,0.0,73.57765703384547,73.38914733629736,85.29639916988195,0.0,0.0,0.0,1730.1106951846016,1689.9866839136173,1689.3791089313897,1730.1106951846016,1689.9866839136173,1689.3791089313897,0.0,0.0,0.0,2234,2257,2366,2234,2257,2366.0,0.0,0.0,0.0,1475,1441,1427,1475,1441,1427.0,0.0,0.0,0.0,759,816,939,759,816,939.0,0.0,0.0,0.0,185,200,199,988,833,628,298,376,159,185,200,199,988,833,628,0,0,0,0,0,0,0.4058035839513388,0.42416239725503246,0.3941624346495012,0.8826361028576097,1.2267581394978422,0.46249964330013915,0.4058035839513388,0.42416239725503246,0.3941624346495012,0.0,0.0,0.0,0.16788750455980134,0.20639404984395798,0.22290507201989207,0.16788750455980134,0.20639404984395798,0.22290507201989207,0.0,0.0,0.0,0.04185007913223349,0.05034463724001631,0.04685159943637815,0.04185007913223349,0.05034463724001631,0.04685159943637815,0.0,0.0,0.0,0.22538928328455715,0.2056105552526322,0.14413163053253547,0.22538928328455715,0.2056105552526322,0.14413163053253547,0.0,0.0,0.0,258.0817819148936,254.11360544217686,251.75425459496256,216.29794520547946,224.96226415094338,220.8653846153846,258.0817819148936,254.11360544217686,251.75425459496256,0.0,0.0,0.0,216.4411515664691,220.12890625,218.26065773447016,216.4411515664691,220.12890625,218.26065773447016,0.0,0.0,0.0,210.68421052631578,216.2780487804878,220.89949748743717,210.68421052631578,216.2780487804878,220.89949748743717,0.0,0.0,0.0,217.5449041372351,221.0927960927961,217.41639871382637,217.5449041372351,221.0927960927961,217.41639871382637,0.0,0.0,0.0,388155,373547,369827,63159,83461,34455,388155,373547.0,369827.0,0.0,0.0,0.0,255617,225412,179192,255617,225412,179192.0,0.0,0.0,0.0,40030,44337,43959,40030,44337,43959.0,0.0,0.0,0.0,215587,181075,135233,215587,181075,135233.0,0.0,0.0,0.0
