PART_ID,SEX,AGE,ACC,ACC_EASY,ACC_MEDIUM,ACC_HARD,PERC_SE_MED,PERC_BE_MED,PERC_CON_MED,TRS,ERS,LAT_P,LAT_N,LAT_EASY_P,LAT_MED_P,LAT_HARD_P,LAT_EASY_N,LAT_MED_N,LAT_HARD_N,PUP_SIZE_EASY,PUP_SIZE_MED,PUP_SIZE_HARD,PUP_SIZE_EASY_P,PUP_SIZE_MED_P,PUP_SIZE_HARD_P,PUP_SIZE_EASY_N,PUP_SIZE_MED_N,PUP_SIZE_HARD_N,NT_EASY,NT_MEDIUM,NT_HARD,NT_EASY_P,NT_MED_P,NT_HARD_P,NT_EASY_N,NT_MED_N,NT_HARD_N,NT_PR_EASY,NT_PR_MEDIUM,NT_PR_HARD,NT_PR_EASY_P,NT_PR_MEDIUM_P,NT_PR_HARD_P,NT_PR_EASY_N,NT_PR_MED_N,NT_PR_HARD_N,NT_OP_EASY,NT_OP_MEDIUM,NT_OP_HARD,NT_OP_EASY_P,NT_OP_MEDIUM_P,NT_OP_HARD_P,NT_OP_EASY_N,NT_OP_MED_N,NT_OP_HARD_N,NT_COR_EASY,NT_COR_MED,NT_COR_HARD,NT_ERR_EASY,NT_ERR_MED,NT_ERR_HARD,NT_SE_MED,NT_BE_MED,NT_CON_MED,NT_COR_EASY_P,NT_COR_MED_P,NT_COR_HARD_P,NT_ERR_EASY_P,NT_ERR_MED_P,NT_ERR_HARD_P,NT_COR_EASY_N,NT_COR_MED_N,NT_COR_HARD_N,NT_ERR_EASY_N,NT_ERR_MED_N,NT_ERR_HARD_N,RT_PR_EASY,RT_PR_MEDIUM,RT_PR_HARD,RT_SE_MED,RT_BE_MED,RT_CON_MED,RT_PR_EASY_P,RT_PR_MED_P,RT_PR_HARD_P,RT_PR_EASY_N,RT_PR_MED_N,RT_PR_HARD_N,RT_OP_EASY,RT_OP_MEDIUM,RT_OP_HARD,RT_OP_EASY_P,RT_OP_MED_P,RT_OP_HARD_P,RT_OP_EASY_N,RT_OP_MED_N,RT_OP_HARD_N,RT_COR_EASY,RT_COR_MED,RT_COR_HARD,RT_COR_EASY_P,RT_COR_MED_P,RT_COR_HARD_P,RT_COR_EASY_N,RT_COR_MED_N,RT_COR_HARD_N,RT_ERR_EASY,RT_ERR_MED,RT_ERR_HARD,RT_ERR_EASY_P,RT_ERR_MED_P,RT_ERR_HARD_P,RT_ERR_EASY_N,RT_ERR_MED_N,RT_ERR_HARD_N,DUR_PR_EASY,DUR_PR_MEDIUM,DUR_PR_HARD,DUR_SE_MED,DUR_BE_MED,DUR_CON_MED,DUR_PR_EASY_P,DUR_PR_MED_P,DUR_PR_HARD_P,DUR_PR_EASY_N,DUR_PR_MED_N,DUR_PR_HARD_N,DUR_OP_EASY,DUR_OP_MEDIUM,DUR_OP_HARD,DUR_OP_EASY_P,DUR_OP_MED_P,DUR_OP_HARD_P,DUR_OP_EASY_N,DUR_OP_MED_N,DUR_OP_HARD_N,DUR_COR_EASY,DUR_COR_MED,DUR_COR_HARD,DUR_COR_EASY_P,DUR_COR_MED_P,DUR_COR_HARD_P,DUR_COR_EASY_N,DUR_COR_MED_N,DUR_COR_HARD_N,DUR_ERR_EASY,DUR_ERR_MED,DUR_ERR_HARD,DUR_ERR_EASY_P,DUR_ERR_MED_P,DUR_ERR_HARD_P,DUR_ERR_EASY_N,DUR_ERR_MED_N,DUR_ERR_HARD_N,FIX_PR_EASY,FIX_PR_MEDIUM,FIX_PR_HARD,FIX_SE_MED,FIX_BE_MED,FIX_CON_MED,FIX_PR_EASY_P,FIX_PR_MED_P,FIX_PR_HARD_P,FIX_PR_EASY_N,FIX_PR_MED_N,FIX_PR_HARD_N,FIX_OP_EASY,FIX_OP_MEDIUM,FIX_OP_HARD,FIX_OP_EASY_P,FIX_OP_MED_P,FIX_OP_HARD_P,FIX_OP_EASY_N,FIX_OP_MED_N,FIX_OP_HARD_N,FIX_COR_EASY,FIX_COR_MED,FIX_COR_HARD,FIX_COR_EASY_P,FIX_COR_MED_P,FIX_COR_HARD_P,FIX_COR_EASY_N,FIX_COR_MED_N,FIX_COR_HARD_N,FIX_ERR_EASY,FIX_ERR_MED,FIX_ERR_HARD,FIX_ERR_EASY_P,FIX_ERR_MED_P,FIX_ERR_HARD_P,FIX_ERR_EASY_N,FIX_ERR_MED_N,FIX_ERR_HARD_N
25,FEMALE,18,0.452380952380952,0.571428571428571,0.357142857142857,0.428571428571429,0.214285714285714,0.142857142857143,0.285714285714286,0.640542005420054,0.33010101010101,54.9200913611212,77.1149232886173,48.5221271514012,52.6124085943153,65.3737792797529,83.7211896230708,72.0467574154064,77.228389410988,1182.36804628108,1140.33185033991,1171.53525084248,1150.39320665782,1085.47717586649,1120.5850271849,1225.00116577877,1174.61602188579,1209.74791858567,2376,2455,2894,997,787,1160,1379,1668,1734,1541,1341,1651,626,365,618,915,976,1033,835,1114,1243,371,422,542,464,692,701,170,157,284,821,885,1093,283,410,192,79,57,136,338,220,382,91,100,148,483,665,711,0.443474629292814,0.39307935302991,0.414314935208187,0.919116699683774,1.41459877189814,0.597130732800135,0.40081971137241,0.334628283904536,0.381314959524155,0.476436533127589,0.419756920157146,0.435265777991445,0.200233765343953,0.284187205372558,0.260990876430205,0.204638596511185,0.340839746347168,0.291796398242519,0.196829899425991,0.258330501852954,0.241433236432963,0.04148099679792,0.038194687972497,0.061100728436746,0.044309681504512,0.045468361246219,0.078538114055822,0.039295109734403,0.034874921372418,0.050030177108035,0.195397179263966,0.216780049729249,0.236962833796855,0.188244014354516,0.171081314094648,0.201301400627592,0.200924840442439,0.237637342944998,0.259603368047806,250.422320862397,243.157700810612,248.507719714964,205.404929577465,206.046228710462,203.942408376963,242.728549141966,239.20652173913,234.800627943485,255.691239316239,244.627906976744,256.847182425979,212.001005025126,205.210930009588,218.956363636364,215.44630071599,204.913669064748,211.493256262042,209.494791666667,205.318954248366,223.481308411215,216.017543859649,204.216560509554,215.79020979021,220.512820512821,206.224137931034,223.231884057971,212.247311827957,203.040404040404,208.851351351351,211.167475728155,205.387133182844,219.787878787879,214.287390029325,204.568181818182,207.241469816273,208.964803312629,205.657657657658,226.539548022599,394916,329965,418487,58335,84685,38953,155589,88028,149568,239327,241937,268919,210941,214035,301065,90272,56966,109765,120669,157069,191300,36939,32062,61716,17200,11961,30806,19739,20101,30910,174002,181973,239349,73072,45005,78959,100930,136968,160390
36,FEMALE,20,0.904761904761905,0.928571428571429,1,0.785714285714286,0,0,0,0.970619803476946,0.691507936507936,52.9571352046502,46.6615507649553,34.383836842525,53.3356817644295,74.4256103747154,19.8830279304584,nan,55.587725043121,1157.09561940702,1170.82087343168,1173.73990709059,1152.46526718265,1170.82087343168,1182.84410188916,1217.29019832388,nan,1140.35785949585,1086,1814,2359,1047,1814,1965,39,nan,394,704,1145,1335,680,1145,1104,24,nan,231,382,669,1024,367,669,861,15,nan,163,111,101,70,620,667,601,285,259,123,96,101,60,571,667,507,15,0,10,49,0,94,0.495344657165585,0.499878435239916,0.468313352713877,1.30398132827777,1.53959834596838,0.646837317851954,0.491534619340202,0.499878435239916,0.477107272902709,0.580998027081364,nan,0.425141821298392,0.209530256645318,0.227314990620139,0.261156156784724,0.210161358060446,0.227314990620139,0.263720315570479,0.195342480711913,nan,0.248568066468179,0.05728753929747,0.034877482094077,0.018541879103847,0.051475438445953,0.034877482094077,0.020030983613198,0.187949240581982,nan,0.011231496393296,0.331456372212848,0.237973896275661,0.145538326459813,0.316181655681103,0.237973896275661,0.145446023706198,0.674846911995996,nan,0.145991463529728,320.753120665742,322.609334485739,340.337020648968,250.31914893617,281.352713178295,280.617886178862,315.676724137931,322.609334485739,349.372987477639,462.08,nan,297.890756302521,244.931174089069,266.67277486911,238.483775811209,243.465185185185,266.67277486911,236.015679442509,259.924242424242,nan,252.105769230769,230.568965517241,257.851485148515,257.352112676056,230.09,257.851485148515,268.83606557377,233.5625,nan,187.3,247.5968,268.016591251885,236.276771004942,245.791304347826,268.016591251885,232.11306042885,268.36,nan,259,231263,373259,461497,70590,72589,34516,219711,373259,390599,11552,nan,70898,181494,203738,161692,164339,203738,135473,17155,nan,26219,26746,26043,18272,23009,26043,16399,3737,0,1873,154748,177695,143420,141330,177695,119074,13418,0,24346
115,FEMALE,23,0.285714285714286,0.357142857142857,0.428571428571429,0.071428571428572,0.428571428571429,0.142857142857143,0,0.702091982091982,0.585056689342404,94.2062772330198,101.473808880845,88.4069549755968,96.3738960704919,112.364794332774,102.789612686659,88.9769230585961,107.776806089463,1371.42911013773,1391.40206559704,1440.84358028239,1365.90366329564,1399.79376732319,1346.58718915565,1374.49880282779,1385.40799293551,1448.69827954295,2556,2239,2782,831,971,189,1725,1268,2593,1362,1184,1731,461,414,103,901,770,1628,1194,1055,1051,370,557,86,824,498,965,226,152,148,1191,859,861,324,338,197,135,47,1,332,482,32,91,105,147,859,377,829,0.244059632073526,0.271559557652261,0.297337997975605,0.810220039942016,0.922098272489838,0.696484048414832,0.261008876579557,0.205175891047683,0.238811454774079,0.235960937096529,0.322918400935982,0.302422829635635,0.214419681671674,0.232296691549575,0.171844864129416,0.208596710576565,0.275360871377342,0.197864465752109,0.217202016113918,0.198979362513042,0.16958426087361,0.040929200549973,0.031241741545673,0.024934436528134,0.075118524349506,0.023319592666007,0.001406134376325,0.024592843798282,0.037370845639977,0.026978593745421,0.210467639521207,0.182106050291459,0.140359180069539,0.176811880969261,0.229724032157072,0.070146526292364,0.226549047906971,0.145265595504732,0.146459310118765,251.063957863055,255.09693877551,243.426907396622,223.283950617284,246.487654320988,246.070351758794,259.269662921348,240.554744525547,250.785046728972,246.933257918552,262.909803921569,242.937888198758,240.17819706499,235.687,230.050495049505,241.04329004329,232.255238095238,243.636363636364,239.765737874097,239.48,229.591606960082,247.592920353982,225.575163398693,235.234899328859,251.55303030303,224.74,158,242.031914893617,225.980582524272,235.756756756757,238.78755186722,237.513577331759,229.15331010453,236.839393939394,233.046315789474,246.3125,239.522285714286,243.217741935484,228.490952955368,333664,299994,417964,72344,79862,48968,115375,98868,26834,218289,201126,391130,343695,235687,232351,111362,121934,8040,232333,113753,224311,55956,34513,35050,33205,11237,158,22751,23276,34892,287739,201174,197301,78157,110697,7882,209582,90477,189419
131,FEMALE,20,0.595238095238095,1,0.428571428571429,0.357142857142857,0.571428571428571,0,0,0.95021164021164,0.876993464052288,62.397253296848,97.2815256063574,32.4382417066443,98.5866594739708,102.855198336871,nan,88.7777672340857,104.840421937265,1586.21254574109,1618.32649903406,1646.39139136545,1586.21254574109,1630.34954178215,1605.45456083128,nan,1609.30921697299,1669.13407499555,1451,4121,4589,1451,1812,1608,nan,2309,2981,867,2427,2797,867,1046,991,nan,1381,1806,584,1694,1792,584,766,617,nan,928,1175,273,231,255,1388,844,1089,372,249,223,273,146,114,1388,368,320,0,85,141,0,476,769,0.404397028977733,0.401444343023881,0.421245190715232,0.891294983811828,0.526199941420039,0.546227954535292,0.404397028977733,0.398037288980537,0.421390466411293,nan,0.404281962908161,0.421166010268862,0.248500786335082,0.261978160946134,0.240153275149251,0.248500786335082,0.264731558400057,0.229822122578381,nan,0.259684949489791,0.245784122526045,0.116958514759802,0.036659335358125,0.034445485968195,0.116958514759802,0.04982925708419,0.041351337304994,nan,0.025690553739499,0.030681550181012,0.605110303549336,0.127168047090043,0.147193814849551,0.605110303549336,0.123593463169159,0.122889267673202,nan,0.130145196933539,0.160440661682303,209.408209806157,214.083162638263,216.999293286219,196.846774193548,186.4,202.269911504425,209.408209806157,222.750236518448,218.019114688129,nan,207.46387283237,216.447167755991,196.710857828434,196.916897506925,198.650412603151,196.710857828434,199.190291262136,198.741176470588,nan,194.855633802817,198.607929515419,195.275735294118,203.068085106383,204.130081300813,195.275735294118,199.155405405405,198.747663551402,nan,209.724137931034,208.273381294964,196.990681003584,195.212264150943,197.410303587856,196.990681003584,199.204359673025,198.738993710692,nan,192.16632016632,196.860858257477,183651,522577,614108,73227,46600,45713,183651,235447,216711,nan,287130,397397,327917,213261,264801,327917,102583,84465,nan,110678,180336,53115,47721,50216,53115,29475,21266,0,18246,28950,274802,165540,214585,274802,73108,63199,0,92432,151386
59,FEMALE,22,0.357142857142857,0.714285714285714,0.214285714285714,0.142857142857143,0.642857142857143,0.071428571428572,0.071428571428572,0.754459561602419,0.618048206937096,46.6496223300271,52.4233369617532,39.7448377121326,57.3480117563371,65.1259612800348,48.7582676176677,60.3814488107357,46.3500908815478,1125.05796958107,1105.82915129155,1100.58513202944,1138.8544620774,1102.85316926776,1174.62140867399,1090.56673834026,1106.64078275259,1088.24575258868,1383,2123,1690,899,422,300,484,1701,1390,874,1228,1024,575,241,194,299,987,830,509,895,666,324,181,106,185,714,560,82,136,110,695,497,555,193,188,116,62,41,19,500,178,110,20,95,91,195,319,445,0.364327019651502,0.368188570554375,0.391537359230319,0.835791094010143,0.712246395358756,0.481888263813458,0.347944558238277,0.352874773630325,0.399602546948941,0.397712038336927,0.372155242543259,0.389648642678064,0.187136661326064,0.241015745125019,0.219742643870563,0.179263532325987,0.235027037913724,0.18987051794644,0.203180926723702,0.242566976166053,0.226738138662791,0.032596801264399,0.036148714490338,0.037891886993213,0.037461468852482,0.053951303719926,0.040390958510219,0.022683332571874,0.031537380516351,0.03730665105028,0.267348455624688,0.133989050663235,0.175343392331632,0.282371262433765,0.224076353125064,0.176435015685866,0.236734210708861,0.11065409454479,0.175087754500263,247.258877434135,249.508914100486,261.70593962999,238.564766839378,213.661375661376,226.743362831858,241.765734265734,249.835390946502,264.208121827411,257.697674418605,249.428859737639,261.112048192771,228.421593830334,225.834920634921,217.175074183976,226.186832740214,217.422727272727,217.246153846154,234.236111111111,230.348780487805,217.158088235294,238.432098765432,223.918518518518,232.241071428571,244.081967213115,232.05,276.894736842105,221.2,220.494736842105,223.118279569892,227.25824964132,226.357575757576,214.172597864769,224.007984031936,214.172222222222,207.036036036036,235.566326530612,233.320634920635,215.929046563193,215857,307894,268772,46043,40382,25622,138290,60710,52049,77567,247184,216723,177712,142276,146376,127117,47833,28242,50595,94443,118134,19313,30229,26011,14889,9282,5261,4424,20947,20750,158399,112047,120365,112228,38551,22981,46171,73496,97384
128,FEMALE,22,0.357142857142857,0.642857142857143,0.214285714285714,0.214285714285714,0.5,0.285714285714286,0,0.758335269066976,0.633027630805409,69.8449689783231,68.3161409201505,67.2842749788304,96.5340259554505,59.7343463253831,82.7255542890569,73.6047218899505,56.4778266008477,1040.4983326347,1008.91910802646,1020.58909068373,1073.61089668099,1015.87341928782,985.598826520896,980.895717351371,1007.65468779712,1030.13189000086,2071,1819,1645,1290,380,338,781,1439,1307,1339,1215,1046,867,259,211,472,956,835,732,604,599,423,121,127,309,483,472,143,65,119,589,444,514,188,158,98,95,15,15,438,73,171,48,50,104,151,371,343,0.364552603967467,0.338252954433068,0.351789352995758,0.606860730273756,0.607664397386881,0.383279303074586,0.398407437161056,0.363788826296405,0.311138696746213,0.314988521067509,0.332163719311006,0.363515147274405,0.178575800712391,0.1532790820158,0.188196991021414,0.171421925905108,0.16160105046483,0.17672133341564,0.189049201717694,0.151294641349911,0.191507176211819,0.031834220800395,0.016900032036226,0.039031349343366,0.035061849322942,0.016745390902333,0.019313288545629,0.027108914763677,0.016936907464989,0.044719078541851,0.144422082363156,0.110426640344338,0.16187209925803,0.178425378381493,0.091646441888613,0.239382101135625,0.094640647225445,0.114904930517782,0.13951412474035,274.812869822485,271.773237179487,266.15595463138,245.761904761905,253.025974025974,258.285714285714,275.724571428571,270.138461538462,263.004716981132,273.140461215933,272.203441295547,266.945626477541,246.417009602195,249.849315068493,254.857369255151,243.922641509434,235.134831460674,249.241935483871,253.060301507538,252.952606635071,257.204494382022,233.41726618705,242.085714285714,258.206611570248,225.872340425532,215.533333333333,247.214285714286,249.177777777778,249.327272727273,259.644859813084,249.479661016949,251.081632653061,254.062745098039,247.814220183486,239.108108108108,249.406976744186,254.194805194805,253.495912806539,256.431952662722,371547,339173,281593,46449,38966,25312,241259,70236,55757,130288,268937,225836,179638,127673,160815,129279,20927,46359,50359,106746,114456,32445,16946,31243,21232,3233,3461,11213,13713,27782,147193,110727,129572,108047,17694,42898,39146,93033,86674
81,MALE,30,0.785714285714286,0.928571428571429,0.928571428571429,0.5,0.071428571428572,0,0,0.940580720092915,0.729312169312169,70.751962072577,90.4135516236753,43.6460933732314,86.9845807370258,94.31067048152,112.710662452839,114.876058855903,83.7336061863337,1186.93073175281,1190.35455598893,1169.77237670501,1172.66312419086,1177.7036288486,1162.9270835464,1372.40963005822,1354.81660881316,1175.63977084097,1267,2015,1859,1013,1769,847,254,246,1012,696,1085,915,521,938,356,175,147,559,571,930,944,492,831,491,79,99,453,110,142,104,726,712,684,309,270,133,103,136,64,672,639,309,7,6,40,54,73,375,0.252375396946984,0.232216154864667,0.205617318475116,0.943575190223271,0.740498161432048,0.341393002959987,0.225477929607017,0.221029447785452,0.156724931101297,0.387780526250462,0.342334167725315,0.252818784901249,0.191104414930952,0.176767529610896,0.191306545470482,0.19799815942167,0.175018640636419,0.198644896040733,0.156400464839571,0.1939829780194,0.184221988412211,0.03548985368532,0.027907747221296,0.020251749011168,0.0398431993702,0.029729406960276,0.026471023769142,0.013574580848908,0.009975968982689,0.014247565037928,0.238961387949546,0.137407362591562,0.140864673061996,0.268630967895129,0.136790822084488,0.123946738373475,0.089601105877855,0.143476370656783,0.15719750868514,232.578590785908,245.974489795918,246.997914494265,249.009523809524,229.13309352518,213.441176470588,230.10071942446,246.003937007874,238.400537634409,240.148351648352,245.7875,252.446337308348,227.076642335766,237.245391705069,239.491612903226,229.394495412844,238.355696202532,234.479338842975,197.101694915254,226,243.907766990291,225.579439252336,250.10071942446,222.190476190476,226.07,250.880597014925,234.046875,218.571428571429,229.2,203.682926829268,227.300699300699,234.794238683128,242.202985074627,229.89592760181,235.797256097561,234.571906354515,194.211538461538,225.780821917808,248.353099730458,171643,289266,236871,78438,63699,29028,127936,249940,88685,43707,39326,148186,186657,205929,185606,175028,188301,85116,11629,17628,100490,24137,34764,23330,22607,33618,14979,1530,1146,8351,162520,171165,162276,152421,154683,70137,10099,16482,92139
37,MALE,20,0.880952380952381,0.928571428571429,0.928571428571429,0.785714285714286,0.071428571428572,0,0,0.966705381339528,0.726984126984127,43.8190454653688,40.7075428854405,37.1645361055747,43.6128474518843,51.3221987828987,31.8605491158014,36.148841966442,45.176107781653,1572.65323416295,1584.10578172751,1569.5857955034,1568.89796925683,1582.30023218168,1565.09097275115,1617.71641303638,1607.57792582338,1586.06681226163,1370,1657,2033,1283,1551,1629,87,106,404,758,854,1043,721,796,835,37,58,208,612,803,990,562,755,794,50,48,196,152,151,105,704,610,724,231,276,103,148,143,67,642,553,541,4,8,38,62,57,183,0.34140865783105,0.318500993107962,0.328661669652167,1.33317024366609,1.40880745979418,0.443169111574224,0.346378600379437,0.316222980638902,0.331573691553552,0.27184088913598,0.354229881330286,0.316531621886958,0.260847373246889,0.265754908697023,0.27547003668504,0.259609052366263,0.26602958463347,0.27631140962796,0.278181018405748,0.261446826118901,0.271965291758115,0.063291724371445,0.049927388840129,0.029114127051291,0.066147289619057,0.050715472230662,0.023549972376458,0.023320376472467,0.03756690190133,0.052291652586608,0.297686450855279,0.201823577038624,0.200967754052609,0.292810507193021,0.19468328265105,0.187712498885147,0.365938451268489,0.313813648872375,0.256182612926063,206.241466498104,214.62905027933,213.043518518519,190.347107438017,203.390070921986,172.669811320755,205.420212765957,215.231692677071,216.652777777778,222.076923076923,206.532258064516,198.606481481482,198.948096885813,193.667091836735,191.754761904762,200.357947434293,193.509040333797,192.988673139159,182.382352941176,195.415384615385,188.31981981982,196.383116883117,195.532467532468,192.283018867925,196.666666666667,196.945205479452,195.514705882353,185.75,169.75,186.5,199.502103786816,193.211111111111,191.678474114441,201.211093990755,192.633507853403,192.676363636364,182.171875,199.017543859649,188.695652173913,163137,192093,230087,46064,57356,18303,154476,179288,187188,8661,12805,42899,172488,151835,161074,160086,139133,119267,12402,12702,41807,30243,30112,20382,29500,28754,13295,743,1358,7087,142245,121723,140692,130586,110379,105972,11659,11344,34720
74,MALE,20,0.404761904761905,0.785714285714286,0.285714285714286,0.142857142857143,0.428571428571429,0.285714285714286,0,0.838366013071895,0.710760233918129,85.7749241447032,83.5913135861366,80.8725456206208,82.4105459122596,115.333384113781,51.9765924587931,100.82344878562,82.7364488046496,1638.53406974178,1662.3277106506,1654.51753955099,1661.58338680681,1602.521558873,1734.36469366579,1561.70301285837,1692.23078653941,1638.54810872802,1960,1715,2012,1671,487,375,289,1228,1637,1179,994,1108,1017,249,187,162,745,921,781,721,904,654,238,188,127,483,716,207,116,149,746,481,758,222,171,88,198,34,12,665,162,188,9,82,137,81,319,570,0.323234653319594,0.299032239013541,0.285696663692611,0.618447108819497,0.416443324445502,0.250284136726744,0.333652165799018,0.243710718221872,0.219099614514655,0.269204514405719,0.321641447407274,0.30426372371188,0.197710014272858,0.203005887211271,0.215650528892219,0.196388031044621,0.220489580132287,0.193629972549566,0.204566443540835,0.195860522241427,0.221789794765385,0.058892543182513,0.031480721728923,0.03757450431096,0.067570520478419,0.030530073210275,0.01465750799727,0.013884455146589,0.031869239798559,0.043963694992377,0.185642490462545,0.13367249314441,0.174497680390056,0.198485158057237,0.156375617432755,0.19594500043201,0.119034351951891,0.124394012349259,0.168518231099332,259.6253122398,251.805335968379,265.620386643234,239.118721461187,232.784431137725,257.613636363636,259.704523580366,239.099206349206,261.860103626943,259.117283950617,256.018421052632,266.38835978836,245.465140478668,238.137055837563,247.658940397351,247.033295063146,244.492063492063,242.895,230.288888888889,235.149253731343,249.008498583569,273.129807692308,229.290598290598,272.294520547945,273.23,228.727272727273,281.75,270.625,229.511904761905,271.44776119403,237.823373173971,240.320675105485,242.926315789474,239.225037257824,247.826923076923,240.414893617021,226.353658536585,236.638364779874,243.751748251748,311810,254827,302276,52367,38875,22670,269833,60253,50539,41977,194574,251737,235892,140739,224379,215166,46209,48579,20726,94530,175800,56811,26827,39755,54646,7548,3381,2165,19279,36374,179081,113912,184624,160520,38661,45198,18561,75251,139426
55,FEMALE,24,0.928571428571429,0.928571428571429,0.928571428571429,0.928571428571429,0.071428571428572,0,0,0.979591836734694,0.714285714285714,36.6147175225906,38.2803754663364,27.4722403420858,39.710785841971,42.661126383715,33.406993313356,41.9418542036619,39.4922788819913,1400.29761111158,1424.69394192979,1406.99883327359,1392.68700929996,1423.38279979248,1405.27261406755,1499.23543466275,1441.73878971483,1429.43968295218,1325,1917,2014,1214,1786,1885,111,131,129,779,1018,978,721,920,920,58,98,58,546,899,1036,493,866,965,53,33,71,139,137,180,645,671,750,262,240,169,126,131,159,615,641,709,13,6,21,30,30,41,0.348094613715706,0.311299859476904,0.292287195034254,0.964090036561127,1.20228420423634,0.644783651365413,0.352173680760155,0.298988717330496,0.291263181212173,0.30448714449059,0.462831230725731,0.30666753965223,0.212302712098274,0.241043213666852,0.248350863431756,0.210581800905816,0.250131617048605,0.247130046661653,0.230700198838869,0.129178838248094,0.265494934625847,0.055368621058121,0.039678809450251,0.04482340718117,0.055465779703263,0.040835640751825,0.042569830593366,0.054329941727332,0.025439981618811,0.076470644021942,0.248626207211597,0.171476306959127,0.182469931603155,0.260584723513765,0.177661478449522,0.184855734356893,0.120783093592168,0.095346285373594,0.148965827410955,171.00251572327,169.855327468231,177.731832139202,142.774319066148,142.652719665272,147.502958579882,171.589358799454,166.325431034483,175.579347826087,164.064516129032,204.336842105263,212.473684210526,149.52644836272,147.14481897628,147.575956284153,149.899070385126,147.254569190601,147.175029171529,142.682926829268,144.742857142857,153.5,151.216783216783,162.852941176471,144.722826086957,152.376923076923,162.161538461538,144.840490797546,139.615384615385,177.833333333333,143.809523809524,149.155145929339,143.932330827068,148.294117647059,149.38202247191,144.207547169811,147.723342939481,144.107142857143,137.896551724138,159,135947,173762,173644,36693,34094,24928,125775,154350,161533,10172,19412,12111,118724,117863,135032,112874,112797,126129,5850,5066,8903,21624,22148,26629,19809,21081,23609,1815,1067,3020,97100,95715,108403,93065,91716,102520,4035,3999,5883
