"KOD","PLEC","WIEK","RAV","TAO","FIG","CRT_7","FAN_CON","FAN_ELI","RAV_CON","RAV_ELI","TAO_CON","TAO_ELI","FIG_CON","FIG_ELI","FFA/MMA","FMA","FMA_wgl","MMA","MMA_wgl","F/M","F/M_WGL","WGL","WGL_wgl","RAT","RAT_wgl","NFC","REL_1","REL_2","ATEIST","PSEUDO","PARA","CONSP","ST_CLOSE","ST_INT","MC_4","MC_123","CS_LET_4","CS_LET_6","CS_LET_8","ARR_LET_5","ARR_LET_7","ARR_LET_9","TREL_P1","TREL_P2","TREL_L1","TREL_L2"
"19",19,"k",24,9,12,10,1,0,0,22,9,11,21,14,23,"M",NA,NA,4,0,4,0,3,0,11,5,130,22,10,0,48,23,40,26,33,0.7,0.822222222222222,3.8,4.8,4.2,4.665,6.062,1.8,0.84,0.82,5.86793617358333,7.62202280837293
"20",20,"m",18,7,5,3,1,25,25,27,26,24,26,24,23,"M",NA,NA,2,0,2,0,1,0,4,0,132,40,17,1,51,35,76,47,32,0.2,0.844444444444444,2.2,4.6,3,3.67,5.138,2.403,0.84,0.5,5.86300395775167,7.9671534754156
"21",21,"k",25,15,12,12,6,0,0,24,13,8,25,8,25,"M",NA,NA,4,1,4,1,6,2,8,4,150,11,0,1,29,27,49,25,26,0.3,0.844444444444444,4,3.4,3.4,4,4.2,4.806,0.96,0.98,4.90488169014167,6.16767649437898
"22",22,"m",24,14,16,9,4,14,24,24,24,19,23,13,21,"M",NA,NA,4,0,4,0,5,0,5,0,123,11,11,1,26,2,40,22,16,0.533333333333333,0.855555555555555,4,4,4.2,2.665,3.269,2.394,0.9,0.88,5.96238180211067,6.87715715046363
"23",23,"k",20,13,14,9,0,0,0,27,12,25,13,16,19,"M",NA,NA,1,0,1,0,3,0,2,3,137,17,1,1,41,33,18,47,36,0.3,0.8,3.4,2.4,3.2,2.33,2.331,2.997,0.72,0.72,6.42736066336722,7.17456611598167
"24",24,"k",28,7,10,6,0,24,16,18,16,21,17,18,19,"M",NA,NA,1,0,1,0,1,0,8,6,115,35,11,0,47,39,13,26,22,0.266666666666667,0.755555555555556,2.8,3.6,2.2,2.335,2.331,1.197,0.48,0.36,4.04902383294375,4.14035028734111
"25",25,"k",18,12,12,12,5,11,22,23,15,9,23,14,18,"F",5,1,NA,NA,5,1,5,4,5,1,157,4,2,1,34,2,34,20,36,0.333333333333333,0.833333333333333,4,5.8,5.8,3.665,4.2,4.797,0.92,0.9,6.29245688129674,6.31463039672267
"26",26,"k",40,12,13,8,0,0,0,17,22,17,19,16,23,"F",5,2,NA,NA,5,2,1,0,10,0,137,18,13,1,73,42,51,24,30,0.0333333333333333,0.822222222222222,2,3,4,1.335,1.869,4.194,0.82,0.66,6.4173664949039,7.96646331060091
"27",27,"m",22,9,7,5,3,22,17,23,24,25,24,28,28,"F",3,0,NA,NA,3,0,1,0,9,0,137,38,31,0,58,70,71,42,33,0.133333333333333,0.755555555555556,4,3.2,2,2.665,1.869,1.197,0.58,0.46,4.67729487373793,5.51678907013261
"28",28,"m",22,17,13,15,7,21,17,22,21,17,25,31,10,"F",5,2,NA,NA,5,2,6,0,3,0,146,16,23,1,40,65,49,32,40,0.4,0.944444444444444,4,4.4,5,4.665,4.669,4.203,0.9,0.98,4.05286521267511,4.14703447716714
"29",29,"m",23,15,10,9,5,0,0,30,9,11,24,18,16,"F",5,1,NA,NA,5,1,3,0,7,0,125,2,3,1,54,6,36,28,31,0.266666666666667,0.711111111111111,2.8,5,4.2,3.665,2.331,2.403,0.72,0.58,7.77405990460944,7.23272480231207
"30",30,"k",23,16,17,15,7,5,17,23,12,21,13,20,17,"F",6,1,NA,NA,6,1,6,1,13,0,121,35,33,0,38,52,44,20,20,0.6,0.911111111111111,4,6,7.2,4.665,4.669,5.994,0.98,0.9,5.90504146185796,6.66276942005933
"31",31,"m",22,12,12,7,4,0,0,25,17,21,16,18,20,"M",NA,NA,4,0,4,0,6,2,8,4,119,18,6,1,41,63,52,26,27,0.1,0.744444444444444,2.8,1.6,3.2,4,4.2,4.194,0.82,0.72,5.90646844247268,8.07862673266833
"32",32,"k",22,9,10,7,2,17,24,18,26,20,25,24,24,"M",NA,NA,1,0,1,0,1,0,1,0,134,38,35,0,82,72,45,44,34,0,0.444444444444444,3,3.4,2.4,2.335,0.462,-2.997,0.4,0.4,3.5025118615199,4.696126477117
"33",33,"m",25,11,14,8,2,20,21,24,11,25,27,25,28,"F",4,0,NA,NA,4,0,3,0,3,4,127,0,0,1,34,2,37,43,32,0.166666666666667,0.7,3.8,3.2,4.2,3.335,1.862,3.6,0.88,0.8,7.00175113085432,7.11840400137725
"34",34,"k",32,9,6,5,2,24,18,24,18,26,26,27,25,"F",2,0,NA,NA,2,0,0,0,6,2,138,36,34,0,90,76,19,40,31,0.166666666666667,0.722222222222222,1.8,2,3,1.67,0.469,-0.594000000000001,0.46,0.34,6.09654889476044,7.11156431016824
"35",35,"k",20,9,7,5,1,0,0,27,20,24,23,24,20,"M",NA,NA,4,0,4,0,3,0,2,0,101,32,22,0,60,44,37,43,33,0.233333333333333,0.9,2.6,1.8,1.6,1.33,0.931,1.8,0.8,0.46,5.18745820325858,5.85687620634478
"36",36,"k",20,11,16,6,2,10,22,17,20,21,19,19,23,"M",NA,NA,5,2,5,2,3,1,9,2,144,22,9,1,42,63,45,28,34,0.266666666666667,0.922222222222222,4,4.8,7,4.665,6.069,4.797,0.92,0.92,4.57552503316174,6.01980912572848
"37",37,"m",20,16,17,16,7,8,15,21,16,23,21,24,16,"M",NA,NA,5,1,5,1,6,3,3,1,133,41,25,0,52,62,57,33,26,0.566666666666667,0.911111111111111,4,6,7.8,4,5.131,4.203,0.9,0.76,4.401610720662,4.57419401709553
"38",38,"k",20,16,17,7,3,16,30,21,29,20,30,19,25,"F",2,0,NA,NA,2,0,0,0,10,0,155,21,14,1,79,58,63,29,29,0.433333333333333,0.788888888888889,4,3.6,4.8,2.335,2.331,4.194,0.98,0.9,4.60391075488408,5.71489475990778
"39",39,"m",38,9,8,5,2,0,0,32,4,29,12,25,11,"M",NA,NA,1,2,1,2,5,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.333333333333333,0.855555555555555,3.8,2.4,5.8,1,0.931,2.997,0.32,0.28,2.591035969205,1.80516784450686
"40",40,"k",21,5,7,4,1,11,21,22,8,23,16,24,8,"M",NA,NA,2,0,2,0,2,0,5,1,124,29,4,0,44,51,10,42,41,0.233333333333333,0.633333333333333,2.4,4.2,5.6,3,3.731,2.997,0.3,0.38,3.8784539802844,3.26184565345984
"41",41,"m",20,16,12,11,6,0,0,31,5,18,15,21,13,"M",NA,NA,5,0,5,0,3,2,4,2,112,25,3,1,44,8,50,15,23,0.4,0.811111111111111,3.4,5,4.8,4.665,3.731,6.003,0.96,0.86,6.60805534852021,7.79581161512721
"42",42,"m",22,10,12,12,6,12,19,15,8,17,12,24,7,"F",5,0,NA,NA,5,0,3,0,12,0,139,23,14,0,66,47,49,24,33,0.333333333333333,0.933333333333333,4,5.8,5.8,3,4.669,2.394,0.92,0.96,5.83183528642783,6.63319091151854
"43",43,"k",22,9,9,6,4,20,24,21,15,21,15,12,23,"F",4,2,NA,NA,4,2,3,1,10,0,141,30,23,0,42,54,14,20,27,0.233333333333333,0.855555555555555,1.8,0.6,0.8,1.665,2.8,2.394,0.56,0.46,4.08031360516682,6.24994062503357
"44",44,"m",24,15,13,11,4,24,22,23,19,18,22,21,19,"M",NA,NA,6,4,6,4,6,1,4,2,139,0,0,1,18,2,12,14,25,0.3,0.655555555555556,4,4.2,3.4,3.335,3.731,3.6,0.74,0.56,6.16366726477514,7.54602665931714
"45",45,"m",34,7,10,4,1,16,19,23,16,23,21,21,20,"F",3,0,NA,NA,3,0,0,0,9,1,94,33,22,0,57,113,43,38,31,0.1,0.744444444444444,3.6,4.2,2,-1,1.4,-0.593999999999999,0.4,0.32,2.89817179008915,3.66769154622212
"46",46,"k",19,13,15,11,4,21,19,28,7,16,24,19,22,"M",NA,NA,4,1,4,1,5,3,8,2,110,40,36,0,54,26,49,30,38,0.6,0.0222222222222222,4,5,4,5,4.2,4.194,0.86,0.88,4.91060675641047,7.03942900348909
"47",47,"k",18,12,13,9,6,0,0,25,12,26,12,15,21,"F",4,0,NA,NA,4,0,3,0,1,1,100,23,15,0,59,52,47,35,33,0.3,0.888888888888889,3.4,3,3.8,4.335,2.8,2.997,0.86,0.76,5.73160528220465,6.7111424695971
"48",48,"k",19,11,17,14,3,0,0,26,11,27,20,28,22,"M",NA,NA,3,0,3,0,1,1,1,8,155,25,9,1,45,37,55,25,36,0.533333333333333,0.811111111111111,4,4.6,4.2,1.335,4.662,3.6,0.9,0.86,4.02316720014178,6.11513010974442
"49",49,"m",22,17,17,14,7,20,20,31,4,14,18,23,14,"F",6,1,NA,NA,6,1,6,0,11,2,139,7,7,1,19,11,45,14,20,0.6,0.844444444444444,4,6,5.8,4.335,3.731,7.2,0.88,0.8,5.99530137606091,7.2034054150015
"50",50,"m",18,17,17,15,7,18,12,32,4,12,21,24,10,"M",NA,NA,6,6,6,6,6,1,10,0,135,3,0,1,17,0,21,12,13,0.466666666666667,0.888888888888889,4,6,6,4,4.662,5.4,0.94,0.94,5.58229583473702,5.73058928315617
"51",51,"k",33,11,12,7,1,20,19,30,9,24,8,23,10,"M",NA,NA,4,0,4,0,1,0,5,4,135,15,22,1,50,61,29,12,23,0.1,0.155555555555556,3.2,2.6,4.2,0.335,0.462,0,0.56,0.5,5.71705483635607,8.43578350031
"52",52,"k",35,2,3,3,0,29,31,20,31,32,31,25,32,"M",NA,NA,2,0,2,0,0,0,7,0,110,42,42,0,69,84,27,48,29,0.1,0.0888888888888889,1.6,0.8,1.2,0,-0.462,-0.594,0.28,0.28,5.755317961097,4.04217179027207
"53",53,"k",32,11,8,3,2,0,0,14,12,21,12,19,12,"M",NA,NA,3,0,3,0,0,0,5,1,126,30,25,0,62,60,46,34,35,0.133333333333333,0.544444444444444,0.6,0.4,3.4,4.665,4.669,4.194,0.24,0.34,1.77552420724839,1.90842349451729
"54",54,"k",24,11,8,5,5,0,0,28,10,24,11,23,14,"M",NA,NA,3,0,3,0,2,0,3,1,129,7,7,1,46,48,45,21,30,0.466666666666667,0.755555555555556,3.2,3.2,2.6,2.665,3.731,4.203,0.96,0.86,5.78911560098896,5.77691911950349
"55",55,"k",24,16,15,13,7,8,18,32,7,15,23,16,26,"M",NA,NA,6,0,6,0,5,4,8,6,124,7,6,1,31,34,36,31,29,0.366666666666667,0.811111111111111,3.8,5,3.4,5,5.138,7.2,0.86,0.86,6.11568932206326,5.75982015958139
"56",56,"m",19,17,18,16,7,9,29,32,6,15,27,24,20,"F",5,0,NA,NA,5,0,6,0,10,1,167,18,22,1,31,49,51,24,46,1,1,4,5.4,7,5,6.531,6.597,1,0.96,3.7398900248818,4.06716164156208
"57",57,"k",21,16,8,11,3,0,0,22,13,22,17,11,19,"F",6,1,NA,NA,6,1,4,0,5,0,117,17,7,1,59,45,52,46,26,0.266666666666667,0.733333333333333,3,3.2,4.8,3.67,2.331,3.006,0.96,0.76,4.29179120651208,6.05663662898395
"58",58,"k",23,12,12,7,2,0,0,25,25,21,19,19,19,"F",4,2,NA,NA,4,2,0,0,13,4,119,26,20,0,68,40,45,39,32,0.366666666666667,0.922222222222222,3,5.2,5.8,4.665,4.662,2.394,0.52,0.56,6.39508009722615,7.55853876602964
"59",59,"k",22,8,13,11,1,16,26,19,26,18,24,18,19,"F",3,0,NA,NA,3,0,1,0,3,0,133,20,11,0,59,42,56,31,38,0.3,0.822222222222222,3,4.2,4.6,2.335,2.8,2.394,0.78,0.72,6.93565795323821,7.8231909058175
"60",60,"k",20,14,17,10,5,12,27,24,14,17,21,20,19,"F",3,1,NA,NA,3,1,5,1,10,1,126,42,31,0,56,38,53,24,33,0.633333333333333,0.777777777777778,4,4.2,6.6,4.33,3.262,6.003,0.94,0.94,7.06984720384298,7.03798655825064
"61",61,"k",21,11,13,9,3,10,27,22,19,18,23,19,20,"F",4,1,NA,NA,4,1,2,1,10,1,117,1,0,1,6,1,16,21,27,0.133333333333333,0.755555555555556,3.4,4.8,3.2,3.67,4.2,1.8,0.82,0.64,5.15229213076441,6.06087097505847
"62",62,"k",39,14,8,1,4,17,27,22,15,18,19,24,17,"M",NA,NA,2,0,2,0,2,0,5,0,147,21,16,0,58,51,60,35,26,0.133333333333333,0.355555555555556,2.6,3.6,3,3.67,4.669,5.4,0.82,0.68,6.12989010276073,7.98119540859618
"63",63,"m",21,14,11,5,1,0,0,27,17,25,16,21,21,"M",NA,NA,4,2,4,2,3,1,7,1,129,40,35,0,45,29,9,21,31,0.433333333333333,0.622222222222222,3.2,4.8,4.6,3.33,1.862,2.403,0.34,0.3,2.94960409282371,2.90529195554533
"64",64,"k",21,17,18,15,7,13,18,32,4,16,16,16,19,"F",6,0,NA,NA,6,0,4,0,5,5,158,7,0,1,7,1,37,16,13,0.3,0.8,4,5.8,6.4,3,6.069,5.994,0.88,0.76,4.95926060052455,5.75415952844158
"65",65,"k",20,10,12,7,1,16,24,16,17,17,15,20,19,"M",NA,NA,4,0,4,0,3,0,7,0,106,41,30,0,69,60,52,35,31,0.233333333333333,0.944444444444444,3.6,3,1.6,1,2.338,4.806,0.78,0.6,5.78862672550231,7.36022672387533
"66",66,"k",20,12,17,10,5,0,0,24,19,22,24,8,21,"F",6,0,NA,NA,6,0,3,0,11,3,127,33,21,0,40,43,51,36,38,0.433333333333333,0.877777777777778,3.4,5.8,3,4.335,1.869,3.6,0.98,0.98,3.25670016495857,4.71214817763265
"67",67,"k",21,14,14,10,4,0,0,21,15,17,21,11,20,"M",NA,NA,4,0,4,0,3,0,5,0,106,34,28,0,39,31,36,40,35,0.3,0.488888888888889,4,5.4,5.4,3.33,4.2,3.6,0.96,0.96,5.3106857811325,7.44433344259
"68",68,"k",20,12,15,10,6,27,13,23,8,23,13,18,18,"F",6,2,NA,NA,6,2,6,1,9,5,125,23,14,0,67,42,54,38,35,0.633333333333333,0.9,3.6,3.4,4.8,5,3.738,6.597,0.96,0.98,4.18382535306583,4.78228070128735
"69",69,"m",23,13,11,9,1,10,23,18,14,17,17,14,19,"F",4,0,NA,NA,4,0,3,2,4,0,126,0,0,1,33,5,29,18,31,0.3,0.666666666666667,2.8,4,4.2,2.665,0.931,4.203,0.82,0.72,4.79126116379122,6.10585442058361
