,Kx,FOx_STD,RMx_STD,RMk
0,1194,0.09609010505251153,0.1616099137311977,119
1,1194,0.09642489487403419,0.16614022569319412,142
2,1194,0.11012184268853831,0.14807804160132368,187
3,1163,0.12088555783332595,0.13241666761862203,244
4,1110,0.11870841128914197,0.1258208175701842,262
5,1044,0.12268960357521744,0.12182961008454243,302
6,949,0.12962406776491728,0.12369033042994522,300
7,844,0.12756135731904936,0.11174048525199266,275
8,747,0.13366041244210033,0.10905573285299448,258
9,646,0.1442041642367174,0.11331404424675416,229
10,549,0.13740016022846882,0.10595345621014277,202
11,473,0.13944526036572183,0.11910229359840759,177
12,410,0.1393800094815835,0.10595247141367911,155
13,339,0.1400222082150563,0.11384541947746506,131
14,285,0.12324591345591258,0.11053960074984838,108
15,239,0.19896480161175606,0.11579320280604431,87
16,201,0.20496671336855307,0.10158513194337716,83
17,168,0.11696172085029127,0.10814608011669237,63
18,148,0.12489055872195728,0.11343695130637976,67
19,122,0.1517613888172124,0.1138383304230483,44
20,95,0.122050206293704,0.11084828389457185,34
21,71,0.15582425411051912,0.1386008240973103,29
22,48,0.16085389349162724,0.11030010545685628,21
23,28,0.20504897918974047,0.11131086250725007,10
