,Kx,FOx,FOx_STD,RMx,RMx_STD,RMk,PROP_FOx,AVG_RMx
0,1465,469.5900000000009,0.1105403508943514,553.9990037809349,0.30825388281665794,766,0.3205392491467583,0.7232362973641447
1,1465,956.9230000000003,0.10986609305945452,599.391166040999,0.254517793454309,833,0.6531897610921504,0.7195572221380541
2,1465,1417.132999999996,0.11092861401610661,736.8870304853906,0.24647480307217615,1025,0.9673262798634784,0.7189141760833079
3,1456,1703.5649999999957,0.11834824943183866,828.2468107443751,0.23464731150506749,1115,1.1700309065934036,0.7428222517886772
4,1435,1784.031,0.13266250173976107,867.1427119345265,0.23772017046748004,1156,1.2432271777003483,0.7501234532305592
5,1417,1830.7319999999982,0.13189010731485604,878.4276065332658,0.2350923283800022,1161,1.2919774170783331,0.7566129255239155
6,1382,1840.211000000002,0.13036176410246525,877.3419153690382,0.23395836531881434,1148,1.3315564399421145,0.7642351179172807
7,1351,1781.7489999999884,0.12738699647202356,873.1627364441752,0.22319758741699078,1122,1.3188371576609832,0.778219907704256
8,1316,1719.9959999999962,0.1270510084169002,871.2114839740209,0.22271232665843532,1101,1.3069878419452858,0.7912910844450689
9,1266,1606.3470000000011,0.12365811349713389,832.1422895397701,0.23719780261653323,1055,1.268836492890996,0.7887604640187394
10,1197,1561.5619999999908,0.13601806708753972,815.1022949866455,0.231372463547549,1016,1.3045630743525403,0.8022660383726825
11,1112,1490.8819999999998,0.13291480524603363,763.5616002410139,0.22807003626748062,951,1.3407212230215826,0.8029038908948621
12,1031,1335.7159999999983,0.13522619051822238,696.0970980250042,0.23592161636120065,875,1.2955538312318122,0.7955395406000049
13,953,1244.9979999999987,0.1290825716966576,643.7876118823621,0.2283850796180896,798,1.3063987408184665,0.8067513933362933
14,867,1109.545999999998,0.1239549332126165,595.425291046425,0.2280418812871419,735,1.2797531718569757,0.8101024367978571
15,787,1003.8899999999967,0.12715081782680515,539.2246317087207,0.22495934524214486,663,1.2755908513341763,0.8133101534068186
16,716,901.3899999999983,0.13023419261656852,494.5219629080036,0.20808327871119028,597,1.2589245810055842,0.8283449964958185
17,638,849.6249999999986,0.13363600154200725,441.03599097881573,0.2243138175761321,538,1.3317006269592455,0.8197694999606241
18,547,699.2740000000016,0.13149278549202661,378.8564459982186,0.2169480731529347,461,1.278380255941502,0.821814416482036
19,482,640.0489999999988,0.1361718221149751,341.13580505498936,0.2281466784418578,419,1.3279024896265537,0.8141665991765856
20,416,546.3829999999995,0.14419112346722254,301.47812495616984,0.21253963533899067,366,1.3134206730769218,0.8237107239239613
21,336,447.23599999999954,0.15919358612427695,235.47487250689971,0.226792484734682,286,1.3310595238095224,0.82333871505909
22,263,330.8159999999996,0.1531872588439051,187.16789168471314,0.20340496616329884,224,1.2578555133079832,0.8355709450210408
23,148,85.06900000000003,0.1861511441566803,81.93377789831722,0.21034134544241934,98,0.5747905405405408,0.8360589581460941
