,Kx,FOx_STD,RMx_STD,RMk
0,1460,0.11372857814143249,0.13898281141658553,390
1,1460,0.09770031842858617,0.13999693354394915,431
2,1460,0.10700641868439445,0.12641420089115413,566
3,1453,0.1166999861032983,0.12374450887316057,615
4,1440,0.17714327757721812,0.11440434819019064,656
5,1417,0.17618505833633905,0.11214864990266885,671
6,1380,0.18036331989549584,0.10500655206605417,671
7,1348,0.18703779196798556,0.1032710675089606,658
8,1283,0.1230208840906543,0.09952211152798719,613
9,1198,0.127662731368047,0.09927306509118365,610
10,1130,0.12652812421394416,0.10991336352526743,573
11,1029,0.13280405583507562,0.10543494092636702,527
12,919,0.1261981922798598,0.10624901344239791,477
13,838,0.12658924751650805,0.10679929384148605,445
14,752,0.1279419749651781,0.10444571325666024,404
15,662,0.12819011546710093,0.10829589012051422,355
16,590,0.12291145345745175,0.11057226877993367,309
17,519,0.13377956236412605,0.10596746947216874,270
18,451,0.13721713509135453,0.10783510264065037,236
19,391,0.12507562351209764,0.10167602517024324,206
20,344,0.12239203442142406,0.10772087634173196,185
21,276,0.13339177151785228,0.10172947197550351,156
22,217,0.1646962672790446,0.10008694225649079,108
23,114,0.16932880036681344,0.11441521667054044,52
