,Kx,FOx_STD,RMx_STD,RMk
0,1465,0.1057412614036967,0.11084421247370062,607
1,1465,0.10424583289718933,0.12116519278495252,688
2,1465,0.10652611697330473,0.11509732041899151,822
3,1456,0.1136300026174659,0.11253326401045045,898
4,1435,0.1292828463955266,0.10624209633806267,906
5,1417,0.12855036218407895,0.09993468892260673,895
6,1382,0.12639170947304712,0.10106982214134808,856
7,1351,0.12308125402558016,0.10321399838281019,864
8,1316,0.12167965358563584,0.10176169701894898,868
9,1266,0.11888520218913896,0.09772575223601515,805
10,1197,0.13097473084450992,0.10053239579358257,798
11,1112,0.12911751089275497,0.10418299014831521,729
12,1031,0.12923985943086938,0.1029385134312819,663
13,953,0.1244284048909945,0.09784518441350337,610
14,867,0.11997980743937608,0.09329137961237073,563
15,787,0.12293703349134467,0.09404712449461976,514
16,716,0.1255546268271254,0.09491995198609342,465
17,638,0.12909417412548405,0.1009896605226667,421
18,547,0.12709468611368874,0.1001587126327471,339
19,482,0.13120990304781519,0.09333198999087554,313
20,416,0.13885010653448981,0.09243011357985258,268
21,336,0.14764284297762117,0.09515315871509764,219
22,263,0.14747431028065555,0.09565058476527416,163
23,148,0.17450174315929182,0.13226949652894696,65
