,Kx,FOx_STD,RMx_STD,RMk
0,2721,0.10625289721110392,0.1292757656015587,629
1,2721,0.09671465630887541,0.14046794710541616,748
2,2721,0.1055625720038212,0.12524337643193964,964
3,2687,0.11728325294188477,0.12104448412665843,1103
4,2625,0.156881281781675,0.11383770538184008,1134
5,2547,0.15954924095262027,0.11008750918371105,1173
6,2416,0.16077212873540145,0.10976533504094342,1165
7,2285,0.1631559518875329,0.10378728373660266,1147
8,2130,0.12577888011868799,0.10200030028820048,1082
9,1946,0.12704016859826422,0.10321800811308213,1028
10,1772,0.13038737321439603,0.10441704680994786,982
11,1584,0.13116481241226044,0.10811943103366055,882
12,1399,0.12931597412668067,0.10483216484215822,761
13,1237,0.12677687113467995,0.10399731801831641,699
14,1089,0.12174841173188378,0.10321606510563507,612
15,940,0.14562895421509497,0.10576240646635596,533
16,828,0.1462017409862764,0.103133881195348,489
17,704,0.1292264100878268,0.10177224153213207,411
18,595,0.13328636286349643,0.10588575792975405,346
19,506,0.13193132410099062,0.10188996788923099,298
20,433,0.13001506798050255,0.10850482492455557,257
21,337,0.14485693118186935,0.10374791618717143,216
22,253,0.16866265815227266,0.10318837940925456,150
23,126,0.1778525017478296,0.11687210280717542,59
