,Kx,FOx_STD,RMx_STD,RMk
0,4415,0.108180917716318,0.1296594278172024,1148
1,4415,0.12146926687300214,0.13830415414378028,1288
2,4415,0.1231709842380374,0.12529678896329838,1601
3,4361,0.12907531406921843,0.1214463366572463,1791
4,4263,0.1465356021300033,0.11438674518189669,1857
5,4143,0.14638296820687982,0.10960084491732903,1898
6,3962,0.16536746581039607,0.10765561464499343,1867
7,3783,0.16772329417711346,0.10575094367381013,1832
8,3571,0.14895138891507642,0.10342315871152805,1778
9,3318,0.13000543955868918,0.10211500021469344,1678
10,3062,0.13061937724291137,0.10574868564766135,1606
11,2784,0.13271190942819996,0.10755837328830192,1453
12,2515,0.12974071978577004,0.10586833458126833,1319
13,2273,0.12916734823329107,0.10360608033533367,1208
14,2032,0.1251029061629734,0.10119777149869484,1090
15,1800,0.136376766687869,0.10312477203310838,970
16,1606,0.13819192523789806,0.10383044059472742,868
17,1414,0.13072181956311488,0.10386858172383258,765
18,1224,0.13079284747549264,0.1064109218011804,652
19,1060,0.13116419854599806,0.1004017577047912,575
20,911,0.12960369987909856,0.10194558529283647,494
21,734,0.14139343394742634,0.10363997606952112,410
22,568,0.15486781853007658,0.10027956442767678,296
23,309,0.17409915971144038,0.12312732457328152,129
